site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh_2009,type_2009,dead_2009,hcom_2009,htot_2009,dbh_2011,type_2011,dead_2011,hcom_2011,htot_2011,plot_id
DUC_A01,1001,Sloanea guianensis,Elaeocarpaceae,173084.5705,9674548.727,27.1,O,False,8.66,19.83,27.4,O,False,8.03,16.55,T01
DUC_A01,1002,Sterculia pruriens,Malvaceae,173086.79,9674526.441,9.9,O,False,9.6,14.36,10.7,O,False,9.25,14.94,T01
DUC_A01,1003,Pouteria macrophylla,Sapotaceae,173086.91,9674525.236,12.0,O,False,14.16,19.53,12.3,O,False,17.23,19.65,T01
DUC_A01,1004,Qualea paraensis,Vochysiaceae,173084.7413,9674523.804,42.7,O,False,17.27,25.65,43.5,O,False,19.87,32.02,T01
DUC_A01,1005,Zygia racemosa,Fabaceae,173087.0709,9674521.603,14.8,O,False,11.77,16.24,15.2,O,False,12.69,16.41,T01
DUC_A01,1007,Protium heptaphyllum,Burseraceae,173087.8697,9674515.599,14.4,O,False,13.21,19.32,15.0,O,False,15.82,19.38,T01
DUC_A01,1008,,,173087.8697,9674515.599,13.7,L,False,10.13,13.61,11.4,L,False,0.0,0.0,T01
DUC_A01,1009,Virola elongata,Myristicaceae,173087.6121,9674513.14,11.5,O,False,5.65,9.08,11.6,O,False,5.91,10.32,T01
DUC_A01,1010,Protium heptaphyllum,Burseraceae,173088.7328,9674499.869,12.1,O,False,5.99,19.81,12.0,O,False,12.71,17.99,T01
DUC_A01,1011,Ocotea canaliculata,Lauraceae,173089.2917,9674496.275,17.8,O,False,10.71,24.08,17.9,O,False,11.22,15.34,T01
DUC_A01,1013,Licania guianensis,Chrysobalanaceae,173089.8725,9674488.425,25.3,O,False,16.37,24.63,25.9,O,False,17.45,25.59,T01
DUC_A01,1014,Simarouba amara,Simaroubaceae,173090.3919,9674484.219,27.0,O,False,22.5,29.61,28.4,O,False,25.03,33.13,T01
DUC_A01,1015,,,173090.4724,9674482.402,33.1,O,True,,5.94,33.1,O,True,1.36,4.89,T01
DUC_A01,1016,,,173091.2712,9674476.398,10.6,O,False,10.13,20.16,10.8,O,False,13.53,20.01,T01
DUC_A01,1017,Brosimum rubescens,Moraceae,173087.2514,9674475.39,82.3,O,False,16.93,37.3,83.1,O,False,28.28,38.58,T01
DUC_A01,1018,Cordia scabrifolia,Boraginaceae,173091.9706,9674470.385,10.2,O,False,13.46,15.3,10.7,O,False,12.86,14.5,T01
DUC_A01,1019,Protium heptaphyllum,Burseraceae,173095.239,9674447.254,10.9,O,False,16.1,19.98,11.8,O,False,16.38,20.51,T01
DUC_A01,1020,Ocotea canaliculata,Lauraceae,173090.3059,9674445.005,62.0,O,False,25.6,40.01,62.0,O,False,27.18,37.52,T01
DUC_A01,1021,Oenocarpus bacaba,Arecaceae,173096.0448,9674444.509,14.2,P,False,11.74,20.64,14.2,P,False,16.23,23.85,T01
DUC_A01,1022,,,173095.6785,9674441.508,50.4,O,True,,15.2,,O,False,,,T01
DUC_A01,1023,Chrysophyllum sanguinolentum,Sapotaceae,173099.7323,9674427.208,19.1,O,False,10.53,16.32,19.8,O,False,15.04,20.77,T01
DUC_A01,1024,Brosimum parinarioides,Moraceae,173097.803,9674426.201,36.5,O,False,26.1,32.2,37.7,O,False,36.05,47.73,T01
DUC_A01,1025,Ocotea cernua,Lauraceae,173099.2682,9674424.186,18.4,O,False,16.42,22.41,18.6,O,False,19.53,26.96,T01
DUC_A01,1026,Virola michelii,Myristicaceae,173100.9533,9674421.634,6.0,O,False,5.45,9.23,6.7,O,False,8.33,10.83,T01
DUC_A01,1027,,,173101.2463,9674419.361,6.9,O,False,6.11,9.6,6.9,O,False,7.0,10.44,T01
DUC_A01,1028,,,173102.7604,9674413.852,7.9,L,False,,,8.6,L,False,0.0,0.0,T01
DUC_A01,1029,,,173102.8092,9674412.694,16.5,O,True,,1.35,16.5,O,True,0.0,0.0,T01
