site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap
DUC_A01,001a,Licania guianensis,Chrysobalanaceae,-2.943539052,-59.94080937,49.6,20160824,False,O,P02,29.16,29.16,feldpausch_regional,0.18,default,1.0,49.78,29.22
DUC_A01,001b,Sacoglottis guianensis,Humiriaceae,-2.94356803,-59.94106181,43.6,20160824,False,O,P02,27.3,27.3,feldpausch_regional,0.18,default,1.0,43.78,27.36
DUC_A01,002a,Pourouma minor,Urticaceae,-2.943541712,-59.94081504,31.5,20160824,False,O,P02,22.78,22.78,feldpausch_regional,0.18,default,1.0,31.68,22.85
DUC_A01,002b,Pouteria gongrijpii,Sapotaceae,-2.94362256,-59.94096717,39.2,20160824,False,O,P02,25.79,25.79,feldpausch_regional,0.18,default,1.0,39.38,25.85
DUC_A01,003a,Peltogyne lecointei,Fabaceae,-2.94353624,-59.94082183,10.0,20160824,False,O,P02,10.62,10.62,feldpausch_regional,0.18,default,1.0,10.18,10.76
DUC_A01,003b,,,-2.943684742,-59.94097498,47.5,20160824,True,O,P02,28.54,28.54,feldpausch_regional,0.18,default,1.0,47.68,28.59
DUC_A01,004a,Protium paniculatum,Burseraceae,-2.943529507,-59.94085807,10.4,20160824,False,O,P02,10.93,10.93,feldpausch_regional,0.18,default,1.0,10.58,11.06
DUC_A01,004b,Qualea paraensis,Vochysiaceae,-2.943710721,-59.94101056,91.1,20160824,False,O,P02,37.77,37.77,feldpausch_regional,0.18,default,1.0,91.28,37.79
DUC_A01,005a,Protium paniculatum,Burseraceae,-2.943578954,-59.94083236,12.6,20160824,False,O,P02,12.53,12.53,feldpausch_regional,0.18,default,1.0,12.78,12.66
DUC_A01,005b,Mouriri collocarpa,Melastomataceae,-2.943710549,-59.94103993,39.6,20160824,False,O,P02,25.93,25.93,feldpausch_regional,0.18,default,1.0,39.78,25.99
DUC_A01,006a,Eschweilera ovata,Lecythidaceae,-2.943600546,-59.94082317,10.1,20160824,False,O,P02,10.7,10.7,feldpausch_regional,0.18,default,1.0,10.28,10.84
DUC_A01,006b,,,-2.943704327,-59.94106295,49.4,20160824,False,O,P02,29.11,29.11,feldpausch_regional,0.18,default,1.0,49.58,29.16
DUC_A01,007a,Pouteria sp.,Sapotaceae,-2.943661306,-59.9407891,43.8,20160824,False,O,P02,27.37,27.37,feldpausch_regional,0.18,default,1.0,43.98,27.43
DUC_A01,007b,Ormosia coccinea,Fabaceae,-2.943753545,-59.94091431,58.0,20160824,False,O,P02,31.44,31.44,feldpausch_regional,0.18,default,1.0,58.18,31.49
DUC_A01,008a,Ocotea cernua,Lauraceae,-2.943670486,-59.94078564,10.1,20160824,False,O,P02,10.7,10.7,feldpausch_regional,0.18,default,1.0,10.28,10.84
DUC_A01,008b,Qualea paraensis,Vochysiaceae,-2.943907331,-59.94099955,52.0,20160824,False,O,P02,29.85,29.85,feldpausch_regional,0.18,default,1.0,52.18,29.9
DUC_A01,009a,Eperua bijuga,Fabaceae,-2.943669032,-59.94076827,33.7,20160824,False,O,P02,23.69,23.69,feldpausch_regional,0.18,default,1.0,33.88,23.76
DUC_A01,010a,Brosimum rubescens,Moraceae,-2.94369302,-59.94075946,25.4,20160824,False,O,P02,20.0,20.0,feldpausch_regional,0.18,default,1.0,25.58,20.08
DUC_A01,011a,Protium paniculatum,Burseraceae,-2.943700546,-59.94077609,21.9,20160824,False,O,P02,18.21,18.21,feldpausch_regional,0.18,default,1.0,22.08,18.3
DUC_A01,012a,,,-2.943702957,-59.94077429,27.2,20160824,False,O,P02,20.86,20.86,feldpausch_regional,0.18,default,1.0,27.38,20.94
DUC_A01,013a,Licania guianensis,Chrysobalanaceae,-2.943740831,-59.9407774,34.0,20160824,False,O,P02,23.81,23.81,feldpausch_regional,0.18,default,1.0,34.18,23.88
DUC_A01,014a,Oenocarpus bataua,Arecaceae,-2.943741499,-59.94077889,19.5,20160824,False,P,P02,16.88,16.88,feldpausch_regional,0.18,default,1.0,19.68,16.99
DUC_A01,015a,Hevea brasiliensis,Euphorbiaceae,-2.943788967,-59.94081817,49.4,20160824,False,O,P02,29.11,29.11,feldpausch_regional,0.18,default,1.0,49.58,29.16
DUC_A01,016a,Eperua bijuga,Fabaceae,-2.943857725,-59.94072489,22.0,20160824,False,O,P02,18.26,18.26,feldpausch_regional,0.18,default,1.0,22.18,18.36
DUC_A01,017a,,,-2.943876197,-59.94070095,18.5,20160824,False,O,P02,16.31,16.31,feldpausch_regional,0.18,default,1.0,18.68,16.41
DUC_A01,018a,,,-2.943916026,-59.94071684,12.9,20160824,False,O,P02,12.74,12.74,feldpausch_regional,0.18,default,1.0,13.08,12.87
DUC_A01,019a,,,-2.943917227,-59.94071717,13.7,20160824,True,O,P02,13.29,13.29,feldpausch_regional,0.18,default,1.0,13.88,13.41
DUC_A01,020a,,,-2.943917517,-59.94071785,16.1,20160824,True,O,P02,14.85,14.85,feldpausch_regional,0.18,default,1.0,16.28,14.96
DUC_A01,021a,Brosimum rubescens,Moraceae,-2.943953424,-59.94080453,18.3,20160824,False,O,P02,16.19,16.19,feldpausch_regional,0.18,default,1.0,18.48,16.29
DUC_A01,022a,,,-2.943894423,-59.94080951,16.2,20160824,False,O,P02,14.91,14.91,feldpausch_regional,0.18,default,1.0,16.38,15.03
DUC_A01,023a,Pouteria sp.,Sapotaceae,-2.943890874,-59.94081107,32.4,20160824,False,O,P02,23.15,23.15,feldpausch_regional,0.18,default,1.0,32.58,23.23
DUC_A01,024a,Oenocarpus bataua,Arecaceae,-2.943885244,-59.94081271,20.9,20160824,False,P,P02,17.67,17.67,feldpausch_regional,0.18,default,1.0,21.08,17.76
DUC_A01,025a,Nectandra cuspidata,Lauraceae,-2.943859769,-59.94082221,10.2,20160824,False,O,P02,10.78,10.78,feldpausch_regional,0.18,default,1.0,10.38,10.91
DUC_A01,026a,Inga thibaudiana,Fabaceae,-2.943839302,-59.94081663,11.3,20160824,False,O,P02,11.6,11.6,feldpausch_regional,0.18,default,1.0,11.48,11.73
DUC_A01,027a,Oenocarpus bataua,Arecaceae,-2.943844069,-59.94085148,20.2,20160824,False,P,P02,17.28,17.28,feldpausch_regional,0.18,default,1.0,20.38,17.38
DUC_A01,028a,Eriotheca globosa,Malvaceae,-2.943856166,-59.94084774,10.8,20160824,False,O,P02,11.23,11.23,feldpausch_regional,0.18,default,1.0,10.98,11.36
DUC_A01,029a,Oenocarpus bataua,Arecaceae,-2.943810353,-59.94083517,19.3,20160824,False,P,P02,16.77,16.77,feldpausch_regional,0.18,default,1.0,19.48,16.87
DUC_A01,030a,Iryanthera paraensis,Myristicaceae,-2.943807378,-59.9408452,10.8,20160824,False,O,P02,11.23,11.23,feldpausch_regional,0.18,default,1.0,10.98,11.36
