site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,agb_source,dbh,htot,hcom,dead,type,plot_id,htot_feldpausch
FNA_A01,1,,,715679.7056,8617104.557,,0.0047418,6.3,4.46,,D,O,T01,7.54
FNA_A01,2,,,715680.2481,8617104.949,,0.014259592,9.1,9.5,,D,O,T01,9.92
FNA_A01,3,,,715676.4788,8617105.656,,0.022395566,13.7,6.07,,D,O,T01,13.29
FNA_A01,4,,,715680.411,8617106.393,,0.005589774,6.6,4.86,,D,O,T01,7.81
FNA_A01,5,,,715679.9634,8617109.056,,0.004430187,5.4,5.98,,D,O,T01,6.71
FNA_A01,6,,,715680.6854,8617110.793,,0.005143372,6.2,5.12,,D,O,T01,7.45
FNA_A01,7,,,715679.4661,8617112.015,,0.005437994,6.8,4.37,,D,O,T01,7.99
FNA_A01,8,,,715677.4917,8617111.695,,0.003928912,5.7,6.17,,D,O,T01,6.99
FNA_A01,9,,,715679.2009,8617113.592,,0.003166704,5.8,3.33,,D,O,T01,7.09
FNA_A01,10,,,715680.3538,8617112.766,,0.004821431,7.4,4.18,,D,O,T01,8.51
FNA_A01,11,,,715679.293,8617119.077,,1.02336457,71.0,8.52,,D,O,T01,34.35
FNA_A01,12,,,715677.2192,8617119.35,,0.033047805,15.2,7.57,,D,O,T01,14.28
FNA_A01,13,,,715693.0141,8617121.903,0.58,0.041707423,18.5,4.56,,D,O,T01,16.31
FNA_A01,14,,,715695.9978,8617104.152,0.58,0.328829029,27.6,21.42,,D,O,T01,21.05
FNA_A01,15,,,715712.6142,8617107.851,0.58,0.012548255,10.4,4.3,,D,O,T01,10.93
FNA_A01,16,,,715710.0651,8617147.147,0.58,0.338522984,32.6,14.77,,D,O,T01,23.24
FNA_A01,17,,,715715.41,8617109.316,0.58,0.765077167,45.4,17.81,,D,O,T01,27.88
FNA_A01,18,,,715720.0144,8617112.086,0.58,0.036296321,13.8,7.89,,D,O,T01,13.36
FNA_A01,19,,,715721.1673,8617111.26,0.58,0.01182659,8.0,7.59,,D,O,T01,9.02
FNA_A01,20,,,715696.9555,8617128.618,0.58,0.088543873,22.6,7.02,,D,O,T01,18.58
FNA_A01,21,Mabea angularis,Euphorbiaceae,715693.8355,8617123.049,0.615698006,0.005754093,5.4,6.3,1.78,A,O,T01,6.71
FNA_A01,22,Mabea angularis,Euphorbiaceae,715693.5188,8617112.868,0.615698006,0.391266885,52.5,4.53,,A,O,T01,29.99
FNA_A01,23,Mabea angularis,Euphorbiaceae,715692.1853,8617126.834,0.615698006,0.012446016,7.2,7.66,,A,O,T01,8.34
FNA_A01,24,Mabea angularis,Euphorbiaceae,715690.8666,8617128.647,0.615698006,0.225464874,27.7,9.38,,A,O,T01,21.09
FNA_A01,25,Mabea angularis,Euphorbiaceae,715711.4317,8617132.984,0.615698006,0.010805015,8.1,5.25,,A,O,T01,9.1
FNA_A01,26,Mabea angularis,Euphorbiaceae,715691.1907,8617132.751,0.615698006,0.026970955,15.5,3.58,,A,O,T01,14.47
FNA_A01,27,,,715688.7043,8617147.543,0.58,0.113012135,23.8,8.34,,D,O,T01,19.2
FNA_A01,28,,,715688.5459,8617142.453,0.45,0.05140671,22.8,4.82,,D,O,T01,18.68
FNA_A01,29,,,715706.6468,8617143.353,0.58,0.1770212,31.2,7.45,,D,O,T01,22.65
FNA_A01,30,,,715673.7456,8617133.983,0.58,0.216848136,27.7,12.76,,D,O,T01,21.09
