site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,agb_source,dbh,htot,hcom,dead,type,plot_id,htot_feldpausch
FST_A01,1,Brosimum rubescens,Moraceae,587710.9825,9821885.241,0.825151429,0.151940343,13.6,19.56,11.24,A,O,1,13.22
FST_A01,2,Aspidosperma nitidum,Apocynaceae,587708.5653,9821888.458,0.763327689,0.076589941,11.6,14.65,7.26,A,O,1,11.82
FST_A01,3,Swartzia corrugata,Fabaceae,587705.9342,9821894.535,1.0565,2.562283696,40.0,29.78,23.11,A,O,1,26.07
FST_A01,4,Protium hepytaphillum ,Burseraceae,587702.1446,9821893.9,0.629,0.051819431,11.1,13.14,7.69,A,O,1,11.45
FST_A01,5,Mezilaurus itauba,Lauraceae,587696.2038,9821894.51,0.720305556,18.99623864,100.2,51.61,32.58,A,O,1,38.99
FST_A01,6,Nectandra cuspidata,Lauraceae,587692.7628,9821897.703,0.56,1.120577127,30.8,41.44,29.24,A,O,1,22.48
FST_A01,7,Protium hepytaphillum ,Burseraceae,587695.5423,9821900.838,0.629,0.090869113,13.0,16.79,9.81,A,O,1,12.81
FST_A01,8,Alibertia edulis,Rubiaceae,587689.6922,9821900.7,0.76,0.155259586,14.5,19.09,13.85,A,O,1,13.82
FST_A01,9,,,587690.4693,9821901.878,0.58,1.160396277,42.5,34.83,,D,O,1,26.93
FST_A01,10,Protium hepytaphillum ,Burseraceae,587686.281,9821905.735,0.629,0.070090457,10.9,18.43,13.75,A,O,1,11.3
FST_A01,11,Nectandra cuspidata,Lauraceae,587686.424,9821905.875,0.56,0.268344123,21.0,21.35,14.36,A,O,1,17.72
FST_A01,12,Protium paniculatum,Burseraceae,587686.002,9821908.252,0.49,0.127785326,14.6,24.04,10.01,A,O,1,13.89
FST_A01,13,Maquira sclerophylla,Moraceae,587684.2446,9821911.416,0.53,0.368015713,22.5,26.95,16.8,A,O,1,18.53
FST_A01,14,Pourouma minor,Urticaceae,587681.7061,9821910.47,0.444604162,0.273720367,20.2,29.64,22.11,A,O,1,17.28
FST_A01,15,Protium paniculatum,Burseraceae,587680.6991,9821912.833,0.49,0.372872418,23.3,27.54,21.25,A,O,1,18.94
FST_A01,16,Anacardium spruceanum,Anacardiaceae,587696.6795,9821927.056,0.479166667,1.687410298,44.3,35.25,23.3,A,O,1,27.53
FST_A01,17,Pouteria macrophilla,Sapotaceae,587704.7393,9821926.565,0.737,10.93263939,80.0,45.54,32.35,A,O,1,36.02
FST_A01,18,Nectandra cuspidata,Lauraceae,587712.9279,9821920.619,0.56,1.304465611,37.6,32.37,18.71,A,O,1,25.2
FST_A01,19,Pouteria sp.,Sapotaceae,587712.3736,9821913.103,0.781766198,11.2790538,82.0,42.16,29.33,A,O,1,36.36
FST_A01,20,Cordia scabrifolia,Boraginaceae,587722.5146,9821917.435,0.474,1.235438346,40.7,30.91,19.88,A,O,1,26.32
FST_A01,21,Inga alba,Fabaceae,587740.8764,9821914.458,0.586080352,1.548182887,40.1,32.27,22.39,A,O,1,26.11
FST_A01,22,Pouteria guianensis,Sapotaceae,587739.4782,9821911.697,0.929561667,2.526229265,40.1,33.2,18.97,A,O,1,26.11
FST_A01,23,Pouteria sp.,Sapotaceae,587712.2169,9821882.542,0.781766198,0.236772404,18.7,17.02,12.83,A,O,1,16.42
FST_A01,24,Nectandra cuspidata,Lauraceae,587712.3342,9821883.773,0.56,0.875367053,31.6,30.75,19.6,A,O,1,22.82
FST_A01,25,Protium paniculatum,Burseraceae,587598.7819,9821985.699,0.49,0.102603637,14.6,19.3,13.5,A,O,2,13.89
FST_A01,26,Pouteria retinervis,Sapotaceae,587590.6649,9821994.402,0.783318031,0.53751337,23.3,24.83,16.75,A,O,2,18.94
FST_A01,27,,,587583.3611,9821995.157,0.6,0.411927361,48.8,6.72,,D,O,2,28.93
FST_A01,28,Maquira sclerophylla,Moraceae,587574.9777,9822004.88,0.53,0.051091903,10.8,16.24,8.58,A,O,2,11.23
FST_A01,29,Licania octandra,Chrysobalanaceae,587574.2501,9822006.429,0.825,0.758402435,27.3,24.23,17.59,A,O,2,20.91
FST_A01,31,,,587588.4046,9822020.595,0.58,0.347541429,53.0,4.65,,D,O,2,30.13
FST_A01,32,Pouteria sp.,Sapotaceae,587597.1473,9822035.468,0.781766198,1.723964405,39.6,27.63,20.79,A,O,2,25.93
FST_A01,33,Pouteria hispida,Sapotaceae,587600.1783,9822032.858,0.87,1.867010075,37.3,30.3,25.89,A,O,2,25.09
FST_A01,34,Tamarindus indica,Fabaceae,587602.5167,9822029.527,0.64,1.121171479,54.5,11.59,8.02,A,O,2,30.54
FST_A01,35,Lecythis pisonis,Lecythidaceae,587604.0322,9822028.222,0.852360511,13.7580743,87.6,41.32,30.93,A,O,2,37.25
FST_A01,36,Pouteria sp.,Sapotaceae,587602.3457,9822017.814,0.781766198,5.717221876,65.0,34.01,23.47,A,O,2,33.09
FST_A01,37,Tetragastris altissima,Burseraceae,587623.6036,9822014.004,0.707804286,32.85512518,140.3,46.33,21.59,A,O,2,42.75
FST_A01,38,Ocotea canaliculata,Lauraceae,587628.5819,9822016.305,0.479426667,1.17341634,37.0,35.12,22.05,A,O,2,24.98
FST_A01,39,Caryocar glabrum,Caryocaraceae,587632.9329,9822016.512,0.6758827,1.682056996,40.4,29.96,21.97,A,O,2,26.21
FST_A01,40,Ocotea sp.,Lauraceae,587619.6437,9822005.554,0.500567938,3.236961759,60.3,34.94,25.86,A,O,2,32.01
FST_A01,41,Pouteria oppositifolia,Sapotaceae,587610.8114,9822007.889,0.65,1.384474935,40.4,25.64,19.29,A,O,2,26.21
FST_A01,42,Geissospermum sericeum,Apocynaceae,587603.8857,9822000.675,0.782,0.891126672,35.0,18.28,9.36,A,O,2,24.21
FST_A01,43,Goupia glabra,Goupiaceae,587603.519,9821993.084,0.7272025,11.47435169,90.0,38.27,20.48,A,O,2,37.61
FST_A01,44,Strychnos subcordata,Loganiaceae,587496.7756,9822078.996,0.54,0.120198203,13.5,23.99,16.57,A,O,3,13.15
FST_A01,45,Poeppigia sp.,Fabaceae,587495.9355,9822077.876,0.69,0.612828123,25.5,26.83,15.61,A,O,3,20.05
FST_A01,46,Eschweilera coriacea,Lecythidaceae,587495.9806,9822080.259,0.852013744,0.437478237,18.0,31.13,18.84,A,O,3,16.01
FST_A01,47,Xylopia cayennensis,Annonaceae,587495.2865,9822083.315,0.57,0.523830149,25.0,28.89,19.42,A,O,3,19.8
FST_A01,48,,,587495.95,9822087.019,0.58,0.754126721,53.1,11.93,,D,O,3,30.16
FST_A01,49,Protium paniculatum,Burseraceae,587493.8271,9822083.028,0.49,0.066880321,13.2,15.39,11.33,A,O,3,12.95
FST_A01,50,Goupia glabra,Goupiaceae,587490.9709,9822087.515,0.7272025,6.021710031,69.7,33.49,18.36,A,O,3,34.09
FST_A01,51,Virola melinoni,Myristicaceae,587483.7173,9822092.776,0.476163695,0.042479335,14.2,8.69,4.9,A,O,3,13.62
FST_A01,52,,,587478.3196,9822099.847,0.58,0.409550462,35.8,14.83,,D,O,3,24.52
FST_A01,53,Pouteria retinervis,Sapotaceae,587472.8672,9822105.352,0.783318031,0.060330036,13.0,8.95,5.27,A,O,3,12.81
FST_A01,54,Pouteria gongrijpii,Sapotaceae,587463.4783,9822113.904,0.799402922,1.381599063,33.0,31.18,14.88,A,O,3,23.4
FST_A01,55,Inga heterophylla,Fabaceae,587459.8212,9822111.849,0.56,0.103455364,12.9,21.81,11.66,A,O,3,12.74
FST_A01,56,Dimorphandra macrostachya,Fabaceae,587468.5573,9822117.357,0.6,1.318856905,36.5,32.41,24.11,A,O,3,24.79
FST_A01,57,,,587473.1322,9822111.843,0.6,1.92008129,56.8,30.44,,D,O,3,31.14
FST_A01,58,Parkia pendula,Fabaceae,587473.6363,9822120.81,0.53,2.463474511,50.4,35.95,25.01,A,O,3,29.4
FST_A01,59,Manilkara huberi,Sapotaceae,587485.177,9822134.536,0.93,4.912482595,54.5,34.94,21.56,A,O,3,30.54
FST_A01,60,Parkia paraensis,Fabaceae,587484.481,9822141.902,0.41,1.119131409,38.2,36.75,20.6,A,O,3,25.42
FST_A01,61,Geissospermum sericeum,Apocynaceae,587489.9776,9822140.935,0.782,3.80711415,45.5,46.2,21.85,A,O,3,27.91
FST_A01,62,Goupia glabra,Goupiaceae,587488.6815,9822147.502,0.7272025,5.014953915,86.0,18.32,12.33,A,O,3,37.01
FST_A01,63,Caryocar glabrum,Caryocaraceae,587493.0739,9822136.768,0.6758827,2.936268345,51.0,32.81,23.87,A,O,3,29.57
FST_A01,64,Chimarrhis turbinata,Rubiaceae,587499.4923,9822140.348,0.72,7.552203035,76.0,35.68,26.37,A,O,3,35.31
FST_A01,65,Pouteria hispida,Sapotaceae,587488.2301,9822123.675,0.87,3.180797459,47.0,32.52,18.48,A,O,3,28.38
FST_A01,66,Enterolobium schomburgkii,Fabaceae,587488.3693,9822122.202,0.711902716,8.089124333,74.7,40.01,19.32,A,O,3,35.07
FST_A01,67,Chimarrhis turbinata,Rubiaceae,587482.8294,9822116.476,0.72,2.168028117,49.4,24.24,15.29,A,O,3,29.11
FST_A01,68,Pouteria sp.,Sapotaceae,587492.5265,9822121.108,0.781766198,0.50930077,39.2,8.33,5.02,A,O,3,25.79
FST_A01,69,Geissospermum sericeum,Apocynaceae,587495.5269,9822125.108,0.782,2.101816188,42.1,29.79,15.19,A,O,3,26.8
FST_A01,70,Mezilaurus itauba,Lauraceae,587501.4844,9822126.414,0.720305556,13.46123452,97.0,39.02,28.14,A,O,3,38.58
FST_A01,71,Geissospermum sericeum,Apocynaceae,587505.6417,9822125.32,0.782,2.091004703,44.7,26.29,19.83,A,O,3,27.66
FST_A01,72,Pouteria hispida,Sapotaceae,587509.8422,9822130.92,0.87,2.342796041,43.1,28.48,23.59,A,O,3,27.14
FST_A01,73,Protium paniculatum,Burseraceae,587517.3742,9822122.713,0.49,0.833132157,35.6,26.36,16.7,A,O,3,24.44
FST_A01,74,Swartzia corrugata,Fabaceae,587513.4521,9822114.166,1.0565,9.186070247,70.0,34.86,27.71,A,O,3,34.15
FST_A01,75,Pouteria gongrijpii,Sapotaceae,587513.1737,9822117.113,0.799402922,1.929499757,41.0,28.21,21.93,A,O,3,26.42
FST_A01,76,Tachigali alba,Fabaceae,587375.4896,9822191.398,0.560284357,0.165495762,16.1,22.39,14.72,A,O,4,14.85
FST_A01,77,Pouteria retinervis,Sapotaceae,587373.8983,9822197.4,0.783318031,0.363360033,20.0,22.78,13.73,A,O,4,17.17
FST_A01,78,Pouteria gongrijpii,Sapotaceae,587384.5689,9822193.161,0.799402922,1.972595592,40.0,30.3,18.11,A,O,4,26.07
FST_A01,79,,,587385.9689,9822201.305,0.6,0.884101125,72.1,6.58,,D,O,4,34.57
FST_A01,80,Manilkara huberi,Sapotaceae,587385.4952,9822207.106,0.93,2.256558736,46.4,22.14,15.06,A,O,4,28.2
FST_A01,81,Terminalia amazonia,Combretaceae,587376.3964,9822200.524,0.68038,13.27258603,90.0,47.32,27.35,A,O,4,37.61
FST_A01,82,Manilkara huberi,Sapotaceae,587373.3062,9822204.651,0.93,3.212202618,42.5,37.57,27.79,A,O,4,26.93
FST_A01,83,Pseudopiptadenia suaveolens,Fabaceae,587382.6742,9822216.366,0.679712857,5.661699149,60.0,45.46,26.83,A,O,4,31.94
FST_A01,84,Tachigali alba,Fabaceae,587376.6261,9822220.471,0.560284357,1.013394255,35.2,28.68,21.27,A,O,4,24.28
FST_A01,85,Nectandra cuspidata,Lauraceae,587369.3221,9822202.866,0.56,1.609860158,39.5,36.2,27.16,A,O,4,25.89
FST_A01,86,Pouteria gongrijpii,Sapotaceae,587364.1214,9822207.551,0.799402922,3.963671182,51.5,36.73,27.62,A,O,4,29.71
FST_A01,87,Annona ambotay,Annonaceae,587362.798,9822206.056,0.413,0.11004344,16.7,18.77,5.01,A,O,4,15.22
FST_A01,88,Pouteria guianensis,Sapotaceae,587351.2843,9822213.876,0.929561667,0.284060738,17.4,19.83,13.19,A,O,4,15.65
FST_A01,89,Jacaranda copaia,Bignoniaceae,587348.0562,9822214.635,0.353578132,0.050743601,13.2,16.18,13.41,A,O,4,12.95
FST_A01,90,,,587358.4795,9822226.071,0.6,0.967593603,40.0,31.04,,D,O,4,26.07
FST_A01,92,Geissospermum sericeum,Apocynaceae,587401.7332,9822227.412,0.782,2.626395911,55.1,21.73,16.76,A,O,4,30.7
FST_A01,93,Tachigali alba,Fabaceae,587403.0683,9822219.491,0.560284357,1.306050634,42.5,25.35,14.12,A,O,4,26.93
FST_A01,1,Eschweilera coriacea,Lecythidaceae,587316.4276,9820665.597,0.852013744,0.11531968,13.2,15.26,3.38,A,O,1,12.95
FST_A01,2,Inga marginata,Fabaceae,587312.8833,9820672.1,0.573055556,2.332162803,48.7,33.71,26.07,A,O,1,28.9
FST_A01,3,Ocotea canaliculata,Lauraceae,587315.8723,9820675.596,0.479426667,1.844333196,47.9,32.94,21.2,A,O,1,28.66
FST_A01,4,,,587309.9289,9820677.771,0.58,4.625031326,86.0,33.7,,D,O,1,37.01
FST_A01,5,Pouteria gongrijpii,Sapotaceae,587305.8853,9820671.672,0.799402922,0.123005012,13.0,17.89,11.48,A,O,1,12.81
