site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,htot,hcom,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap
HUM_A01,65,Eschweilera amazonica,Lecythidaceae,646734.0354,8921462.621,12.9,10.42,7.11,20140701,False,O,1,12.74,12.74,feldpausch_regional,0.18,default,-1.0,12.72,12.62
HUM_A01,66,Byrsonima crispa,Malpighiaceae,646730.5238,8921463.746,32.3,20.46,15.28,20140701,False,O,1,23.11,23.11,feldpausch_regional,0.18,default,-1.0,32.12,23.04
HUM_A01,67,Annona exsucca,Annonaceae,646732.3802,8921459.308,20.3,18.23,8.37,20140701,False,O,1,17.33,17.33,feldpausch_regional,0.18,default,-1.0,20.12,17.23
HUM_A01,68,Euterpe oleracea,Arecaceae,646729.6473,8921457.1,15.7,21.88,14.9,20140701,False,P,1,14.6,14.6,feldpausch_regional,0.18,default,-1.0,15.52,14.48
HUM_A01,69,Inga marginata,Fabaceae,646725.1324,8921454.069,16.8,14.86,11.06,20140701,False,O,1,15.29,15.29,feldpausch_regional,0.18,default,-1.0,16.62,15.18
HUM_A01,70,Inga marginata,Fabaceae,646725.565,8921451.132,10.1,12.62,7.89,20140701,False,O,1,10.7,10.7,feldpausch_regional,0.18,default,-1.0,9.92,10.56
HUM_A01,71,Byrsonima crispa,Malpighiaceae,646725.4651,8921447.418,31.2,22.07,11.9,20140701,False,O,1,22.65,22.65,feldpausch_regional,0.18,default,-1.0,31.02,22.57
HUM_A01,72,Protium hepytaphillum ,Burseraceae,646718.7887,8921444.788,18.4,20.43,13.75,20140701,False,O,1,16.25,16.25,feldpausch_regional,0.18,default,-1.0,18.22,16.14
HUM_A01,73,Poeppigia sp.,Fabaceae,646717.6124,8921443.602,23.5,18.81,11.43,20140701,False,O,1,19.05,19.05,feldpausch_regional,0.18,default,-1.0,23.32,18.95
HUM_A01,74,Protium hepytaphillum ,Burseraceae,646713.9571,8921444.845,39.4,19.61,10.41,20140701,False,O,1,25.86,25.86,feldpausch_regional,0.18,default,-1.0,39.22,25.79
HUM_A01,75,Vitex triflora,Lamiaceae,646721.1845,8921441.164,59.1,26.55,16.68,20140701,False,O,1,31.72,31.72,feldpausch_regional,0.18,default,-1.0,58.92,31.67
HUM_A01,76,Mouriri collocarpa,Melastomataceae,646719.2453,8921438.865,19.8,19.96,15.08,20140701,False,O,1,17.05,17.05,feldpausch_regional,0.18,default,-1.0,19.62,16.95
HUM_A01,79,Protium hepytaphillum ,Burseraceae,646716.7797,8921437.042,13.5,13.68,10.46,20140701,False,O,1,13.15,13.15,feldpausch_regional,0.18,default,-1.0,13.32,13.03
HUM_A01,80,Duguetia stelechantha,Annonaceae,646717.4824,8921435.756,11.1,16.25,13.15,20140701,False,O,1,11.45,11.45,feldpausch_regional,0.18,default,-1.0,10.92,11.32
HUM_A01,81,Protium hepytaphillum ,Burseraceae,646712.2965,8921432.622,31.9,18.81,13.34,20140701,False,O,1,22.95,22.95,feldpausch_regional,0.18,default,-1.0,31.72,22.87
