site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,agb_source,dbh,htot,hcom,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap
JAM_A01,1,Symphonia globulifera,Clusiaceae,522939.6159,8998328.641,0.6,0.417999492,26.8,19.06,10.8,20111208,A,O,T07,20.67,20.67,feldpausch_regional,0.18,default,0.0,26.8,20.67
JAM_A01,2,Euterpe oleracea,Arecaceae,522940.3271,8998327.749,,0.018618115,8.9,12.9,8.6,20111208,A,P,T07,9.76,9.76,feldpausch_regional,0.18,default,0.0,8.9,9.76
JAM_A01,3,Casearia grandiflora,Salicaceae,522940.19,8998314.747,0.77,0.352661378,18.8,25.46,18.67,20111208,A,O,T07,16.48,16.48,feldpausch_regional,0.18,default,0.0,18.8,16.48
JAM_A01,4,Sacoglottis guianensis,Humiriaceae,522939.5126,8998312.938,0.84,0.264257028,18.1,18.87,15.42,20111208,A,O,T07,16.07,16.07,feldpausch_regional,0.18,default,0.0,18.1,16.07
JAM_A01,5,NI,NI,522940.7127,8998304.952,0.62,0.030096123,9.8,9.93,6.74,20111208,A,O,T07,10.47,10.47,feldpausch_regional,0.18,default,0.0,9.8,10.47
JAM_A01,6,Tetragastris altissima,Burseraceae,522938.7595,8998293.227,0.71,0.231170857,20.6,15.12,10.59,20111208,A,O,T07,17.5,17.5,feldpausch_regional,0.18,default,0.0,20.6,17.5
JAM_A01,7,Neea oppositifolia,Nyctaginaceae,522939.0945,8998290.431,0.89,0.316796624,22.4,13.9,10.72,20111208,A,O,T07,18.47,18.47,feldpausch_regional,0.18,default,0.0,22.4,18.47
JAM_A01,8,Virola melinoni,Myristicaceae,522939.7462,8998318.241,0.48,0.0580173,11.7,17.49,12.77,20111208,A,O,T07,11.89,11.89,feldpausch_regional,0.18,default,0.0,11.7,11.89
JAM_A01,9,Apeiba echinata,Malvaceae,522938.766,8998284.726,0.28,0.470823456,32.2,32.36,22.7,20111208,A,O,T07,23.07,23.07,feldpausch_regional,0.18,default,0.0,32.2,23.07
JAM_A01,10,Tetragastris altissima,Burseraceae,522941.0821,8998283.455,0.71,0.021826125,7.0,12.36,8.56,20111208,A,O,T07,8.17,8.17,feldpausch_regional,0.18,default,0.0,7.0,8.17
JAM_A01,11,,,522941.0821,8998283.455,,0.015761707,15.5,,,20111208,A,L,T07,14.47,14.47,feldpausch_regional,0.18,default,0.0,15.5,14.47
JAM_A01,12,Aspidosperma spruceanum,Apocynaceae,522940.2511,8998277.945,0.75,0.060121829,10.7,13.69,8.84,20111208,A,O,T07,11.15,11.15,feldpausch_regional,0.18,default,0.0,10.7,11.15
JAM_A01,13,Erisma uncinatum,Vochysiaceae,522940.4262,8998271.946,0.51,0.05317905,14.7,9.48,6.71,20111208,A,O,T07,13.95,13.95,feldpausch_regional,0.18,default,0.0,14.7,13.95
JAM_A01,14,Erisma uncinatum,Vochysiaceae,522940.849,8998262.151,0.51,0.043056842,11.7,12.12,8.56,20111208,A,O,T07,11.89,11.89,feldpausch_regional,0.18,default,0.0,11.7,11.89
JAM_A01,15,Inga thibaudiana,Fabaceae,522940.574,8998260.147,0.58,0.035956191,10.2,11.78,8.56,20111208,A,O,T07,10.78,10.78,feldpausch_regional,0.18,default,0.0,10.2,10.78
JAM_A01,16,Tetragastris altissima,Burseraceae,522941.4015,8998257.957,0.71,0.509705493,27.8,18.31,14.41,20111208,A,O,T07,21.14,21.14,feldpausch_regional,0.18,default,0.0,27.8,21.14
JAM_A01,17,Terminalia amazonia,Combretaceae,522941.4333,8998239.456,0.68,0.288300167,20.7,19.43,13.72,20111208,A,O,T07,17.56,17.56,feldpausch_regional,0.18,default,0.0,20.7,17.56
JAM_A01,18,Annona ambotay,Annonaceae,522940.9417,8998254.751,0.41,0.049822813,14.3,11.59,6.82,20111208,A,O,T07,13.69,13.69,feldpausch_regional,0.18,default,0.0,14.3,13.69
JAM_A01,19,Tetragastris altissima,Burseraceae,522937.19,8998234.903,0.71,5.324703989,60.0,41.05,29.43,20111208,A,O,T07,31.94,31.94,feldpausch_regional,0.18,default,0.0,60.0,31.94
JAM_A01,20,Helicostylis sp.,Moraceae,522940.7148,8998232.947,0.65,0.281395907,21.0,19.21,11.76,20111208,A,O,T07,17.72,17.72,feldpausch_regional,0.18,default,0.0,21.0,17.72
JAM_A01,21,Zygia racemosa,Fabaceae,522941.8851,8998219.36,0.75,0.271942196,16.9,24.94,19.0,20111208,A,O,T07,15.35,15.35,feldpausch_regional,0.18,default,0.0,16.9,15.35
JAM_A01,22,Licania heteromorpha,Chrysobalanaceae,522941.4215,8998216.454,0.82,0.159831056,14.1,19.35,14.7,20111208,A,O,T07,13.56,13.56,feldpausch_regional,0.18,default,0.0,14.1,13.56
JAM_A01,23,Couratari stellata,Lecythidaceae,522941.2278,8998215.952,0.63,0.453316068,20.6,33.15,20.72,20111208,A,O,T07,17.5,17.5,feldpausch_regional,0.18,default,0.0,20.6,17.5
JAM_A01,24,NI,NI,522941.1979,8998210.351,0.62,0.061075566,11.0,15.99,10.37,20111208,A,O,T07,11.38,11.38,feldpausch_regional,0.18,default,0.0,11.0,11.38
JAM_A01,25,Copaifera reticulata,Fabaceae,522941.3405,8998206.953,0.61,0.92512551,30.2,32.8,23.63,20111208,A,O,T07,22.22,22.22,feldpausch_regional,0.18,default,0.0,30.2,22.22
JAM_A01,26,Aspidosperma parvifolium,Apocynaceae,522938.366,8998196.915,0.74,10.43130312,70.0,56.78,31.27,20111208,A,O,T07,34.15,34.15,feldpausch_regional,0.18,default,0.0,70.0,34.15
JAM_A01,27,Pterocarpus sp.,Fabaceae,522941.3472,8998190.451,0.51,0.279243099,23.2,19.9,12.33,20111208,A,O,T07,18.89,18.89,feldpausch_regional,0.18,default,0.0,23.2,18.89
