site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,agb_source,dbh,htot,hcom,dead,type,plot_id,htot_feldpausch
JAM_A02,1,Hymenolobium petraeum,Fabaceae,498873.2601,8990947.521,0.71,1.268348432,33.5,31.16,19.02,A,O,T01,23.61
JAM_A02,2,Dialium guianense,Fabaceae,498872.7601,8990947.525,0.89,0.581864085,23.1,24.06,19.75,A,O,T01,18.84
JAM_A02,3,Luehea sp.,Malvaceae,498873.8432,8990933.416,0.51,0.113753118,15.2,19.09,13.39,A,O,T01,14.28
JAM_A02,4,Helicostylis sp.,Moraceae,498873.6217,8990930.818,0.65,0.408770873,24.4,20.67,13.15,A,O,T01,19.5
JAM_A02,5,Helicostylis sp.,Moraceae,498868.9119,8990929.657,0.65,0.079177547,12.4,15.5,11.97,A,O,T01,12.39
JAM_A02,6,Bagassa guianensis,Moraceae,498872.2363,8990920.529,0.71,6.513891431,66.0,41.62,26.04,A,O,T01,33.31
JAM_A02,7,Eschweilera parviflora,Lecythidaceae,498874.9097,8990917.306,0.89,0.121673756,9.7,28.58,20.02,A,O,T01,10.39
JAM_A02,8,Brosimum rubescens ,Moraceae,498873.3098,8990917.32,0.83,0.912413417,39.2,14.14,5.87,A,O,T01,25.79
JAM_A02,9,Pourouma minor,Urticaceae,498873.2771,8990901.319,0.44,0.098126942,16.3,16.32,12.6,A,O,T01,14.98
JAM_A02,10,Tachigali alba,Fabaceae,498872.3191,8990894.327,0.56,3.335882431,57.1,35.88,20.43,A,O,T01,31.21
JAM_A02,11,Annona exsucca,Annonaceae,498874.4008,8990892.11,0.44,0.017716276,8.1,11.99,5.96,A,O,T01,9.1
JAM_A02,12,Cordia scabrifolia,Boraginaceae,498870.1222,8990882.645,0.47,0.933947589,35.8,30.2,18.59,A,O,T01,24.52
JAM_A02,13,Protium paniculatum,Burseraceae,498873.6765,8990877.115,0.49,0.141498495,18.5,16.58,8.57,A,O,T01,16.31
JAM_A02,14,Zygia racemosa,Fabaceae,498874.1115,8990857.211,0.75,0.289955175,20.7,17.73,10.46,A,O,T01,17.56
JAM_A02,15,Helicostylis sp.,Moraceae,498870.4586,8990850.841,0.65,1.378565414,39.3,26.87,22.79,A,O,T01,25.82
JAM_A02,16,Brosimum rubescens,Moraceae,498872.3507,8990837.825,0.83,0.385366248,20.3,22.27,13.22,A,O,T01,17.33
JAM_A02,17,Couratari sp.,Lecythidaceae,498874.0051,8990832.311,0.54,2.201997075,46.8,36.59,22.33,A,O,T01,28.32
JAM_A02,18,Castilla ulei,Moraceae,498868.8315,8990823.454,0.82,5.71911146,59.8,38.32,28.54,A,O,T01,31.89
JAM_A02,19,Parkia paraensis,Fabaceae,498873.2264,8990822.817,0.42,2.287944217,57.9,32.31,16.58,A,O,T01,31.42
JAM_A02,20,Zizyphus itacaiunensis,Rhamnaceae,498872.8015,8990819.821,0.84,0.210703499,16.6,17.94,14.38,A,O,T01,15.16
JAM_A02,21,Tachigali paniculata,Fabaceae,498872.8766,8990816.82,0.56,0.759837607,28.5,32.82,21.41,A,O,T01,21.46
JAM_A02,22,Peltogyne leicointei,Fabaceae,498873.902,8990807.811,0.76,0.178523293,16.1,17.73,12.62,A,O,T01,14.85
JAM_A02,23,Tachigali myrmecophila,Fabaceae,498873.3175,8990797.616,0.48,0.015712151,7.6,11.23,8.94,A,O,T01,8.68
JAM_A02,24,Theobroma glaucum,Malvaceae,498873.0404,8990788.318,0.53,0.140871205,17.1,17.87,13.3,A,O,T01,15.47
JAM_A02,25,Helicostylis sp.,Moraceae,498871.2012,8990771.532,0.65,0.734957127,31.0,23.03,14.18,A,O,T01,22.56
JAM_A02,26,Tachigali myrmecophila,Fabaceae,498870.2001,8990759.34,0.48,2.240886014,52.6,33.43,29.27,A,O,T01,30.02
JAM_A02,27,Brosimum rubescens ,Moraceae,498873.108,8990748.216,0.83,0.056456189,9.8,14.0,9.66,A,O,T01,10.47
JAM_A02,28,Parkia paraensis,Fabaceae,498873.0013,8990747.416,0.42,4.684458189,80.9,33.88,29.58,A,O,T01,36.18
JAM_A02,29,Tachigali myrmecophila,Fabaceae,498872.3773,8990744.522,0.48,1.861822028,48.4,32.8,22.13,A,O,T01,28.81
JAM_A02,30,Eschweilera sp.,Lecythidaceae,498867.565,8990743.061,0.83,0.065227579,12.2,10.4,7.31,A,O,T01,12.25
JAM_A02,31,Theobroma glaucum,Malvaceae,498873.3259,8990738.313,0.53,0.08778424,14.4,15.7,13.33,A,O,T01,13.76
JAM_A02,32,Licania canescens,Chrysobalanaceae,498872.4789,8990708.519,0.88,0.39732964,21.0,20.11,13.52,A,O,T01,17.72
JAM_A02,33,Tetragastris altissima,Burseraceae,498869.2292,8990702.546,0.71,1.044177016,36.9,21.29,12.75,A,O,T01,24.94
JAM_A02,34,Theobroma glaucum,Malvaceae,498871.4846,8990671.756,0.53,0.088000567,21.4,7.13,2.64,A,O,T01,17.94
JAM_A02,35,Vochysia maxima,Vochysiaceae,498871.6031,8990647.753,0.49,0.604477735,28.1,30.69,13.94,A,O,T01,21.28
JAM_A02,36,Copaifera reticulata,Fabaceae,498865.0917,8990646.819,0.61,4.620556822,57.6,45.04,27.24,A,O,T01,31.34
JAM_A02,37,Lacunaria jenmanii,Quiinaceae,498872.574,8990636.743,0.8,0.015258664,6.3,9.39,4.74,A,O,T01,7.54
JAM_A02,38,Tachigali myrmecophila,Fabaceae,498870.9652,8990618.958,0.48,0.34685483,23.0,27.06,15.24,A,O,T01,18.79
JAM_A02,39,Minquartia guianensis,Olacaceae,498868.21,8990622.786,0.77,1.128244332,37.6,20.36,12.13,A,O,T01,25.2
JAM_A02,40,NI,NI,498871.391,8990621.154,0.6,0.008933159,13.2,1.52,,D,O,T01,12.95
JAM_A02,41,Apeiba echinata,Malvaceae,498868.5697,8990593.781,0.28,0.855894087,46.1,28.7,19.1,A,O,T01,28.1
JAM_A02,42,Inga thibaudiana,Fabaceae,498870.9441,8990583.057,0.58,0.048037833,11.6,12.17,8.47,A,O,T01,11.82
JAM_A02,43,Licania canescens,Chrysobalanaceae,498869.8667,8990576.467,0.88,0.491565422,22.4,21.87,17.73,A,O,T01,18.47
JAM_A02,44,Ormosia grossa,Fabaceae,498870.1952,8990570.364,0.62,0.136306571,17.4,14.25,5.89,A,O,T01,15.65
JAM_A02,45,Vochysia guianensis,Vochysiaceae,498869.0533,8990558.275,0.51,1.199388307,36.9,34.02,17.57,A,O,T01,24.94
JAM_A02,46,Tetragastris altissima,Burseraceae,498869.3301,8990547.771,0.71,0.272395545,19.5,19.88,9.49,A,O,T01,16.88
JAM_A02,47,Minquartia guianensis,Olacaceae,498869.3714,8990542.771,0.77,1.02473131,34.0,22.62,13.28,A,O,T01,23.81
JAM_A02,48,Tachigali myrmecophila,Fabaceae,498865.7309,8990530.807,0.48,1.420872132,38.6,39.36,21.02,A,O,T01,25.57
JAM_A02,49,Helicostylis sp.,Moraceae,498871.1898,8990518.751,0.65,0.101451911,12.7,18.94,13.16,A,O,T01,12.6
JAM_A02,50,Tachigali alba,Fabaceae,498870.9787,8990500.753,0.56,0.016846465,7.0,12.06,9.23,A,O,T01,8.17
JAM_A02,51,Attalea maripa,Arecaceae,498870.3447,8990497.859,,0.119306214,24.2,24.82,12.45,A,P,T01,19.4
JAM_A02,52,Virola melinoni,Myristicaceae,498868.9462,8990489.472,0.48,0.113109621,16.5,17.14,8.91,A,O,T01,15.1
JAM_A02,53,Virola melinoni,Myristicaceae,498870.4558,8990481.757,0.48,0.021178383,8.7,11.54,5.76,A,O,T01,9.6
JAM_A02,54,Brosimum rubescens ,Moraceae,498866.6091,8990477.795,0.83,1.014738777,30.5,25.97,15.83,A,O,T01,22.35
JAM_A02,55,Brosimum rubescens ,Moraceae,498869.0054,8990477.471,0.83,0.136647772,13.8,17.08,10.78,A,O,T01,13.36
JAM_A02,56,Tachigali alba,Fabaceae,498868.782,8990475.473,0.56,1.301682488,37.7,32.11,20.09,A,O,T01,25.24
JAM_A02,57,Thyrsodium paraense,Anacardiaceae,498870.0151,8990469.761,0.61,0.015577582,7.3,9.36,5.07,A,O,T01,8.43
JAM_A02,58,Tachigali alba,Fabaceae,498864.759,8990465.013,0.56,2.990236855,62.2,27.1,19.14,A,O,T01,32.46
JAM_A02,59,Miconia surinamensis,Miconia surinamensis,498869.8849,8990458.661,0.61,0.008227291,8.1,4.02,3.28,A,O,T01,9.1
JAM_A02,60,Inga grandis,Fabaceae,498869.6629,8990448.263,0.58,0.036167707,10.7,10.77,6.65,A,O,T01,11.15
JAM_A02,61,Sacoglottis guianensis,Humiriaceae,498870.6781,8990449.553,0.84,0.060196563,13.0,8.33,5.78,A,O,T01,12.81
JAM_A02,62,Tachigali alba,Fabaceae,498875.5872,8990450.304,0.56,0.791958893,31.2,28.53,19.03,A,O,T01,22.65
JAM_A02,63,Vochysia guianensis,Vochysiaceae,498873.892,8990450.721,0.51,0.434411178,28.0,21.4,15.4,A,O,T01,21.23
