site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,dbh,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap
JAM_A02,8,Vochysia guianensis,Vochysiaceae,498887.0032,8990912.63,0.51,26.1,20131217.0,A,O,0,20.34,20.34,feldpausch_regional,0.18,default,0.0,26.1,20.34
JAM_A02,55,Tachigali myrmecophila,Fabaceae,498881.9628,8990488.091,0.53,16.7,20131217.0,A,O,0,15.22,15.22,feldpausch_regional,0.18,default,0.0,16.7,15.22
JAM_A02,63,,,498881.4822,8990469.582,,30.3,20131217.0,D,O,0,22.26,22.26,feldpausch_regional,0.18,default,0.0,30.3,22.26
JAM_A02,50,Eschweilera coriacea,Lecythidaceae,498982.394,8990052.203,0.85,11.1,20131216.0,A,O,0,11.45,11.45,feldpausch_regional,0.18,default,0.0,11.1,11.45
JAM_A02,10,Tetragastris panamensis,Burseraceae,499726.3186,8990357.19,0.73,25.9,20131219.0,A,O,0,20.24,20.24,feldpausch_regional,0.18,default,0.0,25.9,20.24
JAM_A02,33,Virola sebifera,Myristicaceae,499726.2947,8990208.088,0.45,17.8,20131219.0,A,O,0,15.89,15.89,feldpausch_regional,0.18,default,0.0,17.8,15.89
JAM_A02,34,Xylopia sp.,Annonaceae,499725.0251,8990204.464,0.57,15.1,20131219.0,A,O,0,14.21,14.21,feldpausch_regional,0.18,default,0.0,15.1,14.21
JAM_A02,19,Sacoglottis guianensis,Humiriaceae,498877.6725,8988970.265,0.84,18.6,20131217.0,A,O,0,16.36,16.36,feldpausch_regional,0.18,default,0.0,18.6,16.36
JAM_A02,1,Nectandra cuspidata,Lauraceae,498887.2825,8990933.628,0.56,28.9,20131217.0,A,l,0,21.64,21.64,feldpausch_regional,0.18,default,0.0,28.9,21.64
JAM_A02,2,Apuleia leiocarpa,Fabaceae,498869.9919,8990930.248,0.77,58.0,20131217.0,A,O,0,31.44,31.44,feldpausch_regional,0.18,default,0.0,58.0,31.44
JAM_A02,6a,Bagassa guianensis,Moraceae,498877.7839,8990916.5,0.71,67.0,20131217.0,A,O,0,33.53,33.53,feldpausch_regional,0.18,default,0.0,67.0,33.53
JAM_A02,3,Helicostylis sp.,Moraceae,498878.7529,8990914.407,0.65,39.6,20131217.0,A,O,0,25.93,25.93,feldpausch_regional,0.18,default,0.0,39.6,25.93
JAM_A02,4,Copaifera reticulata,Fabaceae,498884.7798,8990917.845,0.61,35.0,20131217.0,A,O,0,24.21,24.21,feldpausch_regional,0.18,default,0.0,35.0,24.21
JAM_A02,5,Rinorea passoura,Violaceae,498884.7771,8990917.645,0.68,10.8,20131217.0,A,O,0,11.23,11.23,feldpausch_regional,0.18,default,0.0,10.8,11.23
JAM_A02,6,Attalea speciosa,Arecaceae,498887.0763,8990918.13,0.33,23.5,20131217.0,A,P,0,19.05,19.05,feldpausch_regional,0.18,default,0.0,23.5,19.05
JAM_A02,7,Tachigali myrmecophila,Fabaceae,498885.2638,8990901.781,0.53,29.0,20131217.0,A,O,0,21.68,21.68,feldpausch_regional,0.18,default,0.0,29.0,21.68
JAM_A02,9,Bertholletia excelsa,Lecythidaceae,498855.071,8990932.651,0.64,55.1,20131217.0,A,O,0,30.7,30.7,feldpausch_regional,0.18,default,0.0,55.1,30.7
JAM_A02,10,Handroanthus serratifolius,Bignoniaceae,498845.2346,8990942.586,0.64,60.8,20131217.0,A,O,0,32.13,32.13,feldpausch_regional,0.18,default,0.0,60.8,32.13
JAM_A02,11,Apeiba echinata,Malvaceae,498843.2301,8990941.773,0.28,45.5,20131217.0,A,O,0,27.91,27.91,feldpausch_regional,0.18,default,0.0,45.5,27.91
JAM_A02,12,Hymenolobium petraeum,Fabaceae,498841.2787,8990944.96,0.71,39.4,20131217.0,A,O,0,25.86,25.86,feldpausch_regional,0.18,default,0.0,39.4,25.86
