site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2016,dead_2016,hcom_2016,htot_2016,dbh_2018,dead_2018,plot_id
SAN_A01b,001a,,,736910.3807,9667923.18,O,22.0,False,,,22.4,False,2
SAN_A01b,001b,Eschweilera coriacea,Lecythidaceae,736890.3347,9667914.087,O,44.1,False,26.19,35.07,47.2,False,2
SAN_A01b,002a,Parkia paraensis,Fabaceae,736902.8456,9667920.434,O,46.8,False,17.54,28.99,46.8,False,2
SAN_A01b,002b,Micrandra minor,Euphorbiaceae,736897.7126,9667892.239,O,46.6,False,19.98,28.15,46.4,False,2
SAN_A01b,003a,,,736904.3004,9667919.625,O,21.5,True,,,,True,2
SAN_A01b,003b,Tachigali myrmecophila,Fabaceae,736904.9648,9667874.771,O,57.5,False,36.82,44.77,,True,2
SAN_A01b,004a,Eschweilera micrantha,Lecythidaceae,736906.3098,9667920.021,O,13.5,False,,,14.2,False,2
SAN_A01b,004b,Micrandra minor,Euphorbiaceae,736880.8993,9667883.61,O,42.7,False,22.8,31.67,42.9,False,2
SAN_A01b,005a,,,736908.1397,9667918.341,O,26.6,True,,,,True,2
SAN_A01b,005b,Eschweilera apiculata,Lecythidaceae,736883.0185,9667890.344,O,46.6,False,21.49,33.28,46.7,False,2
SAN_A01b,006a,Virola michelii,Myristicaceae,736909.3067,9667916.921,O,13.0,False,,,13.9,False,2
SAN_A01b,006b,,,736877.7142,9667901.158,O,47.3,True,2.77,31.54,,True,2
SAN_A01b,007a,Eschweilera ovata,Lecythidaceae,736907.8811,9667916.46,O,10.1,False,,,10.2,False,2
SAN_A01b,008a,,,736905.3701,9667914.767,L,11.6,False,,,11.3,False,2
SAN_A01b,009a,Eschweilera ovata,Lecythidaceae,736904.701,9667911.401,O,12.0,False,,,12.8,False,2
SAN_A01b,010a,Eschweilera coriacea,Lecythidaceae,736903.6973,9667908.808,O,17.9,False,,,18.1,False,2
SAN_A01b,011a,Eschweilera micrantha,Lecythidaceae,736908.4404,9667910.301,O,11.2,False,,,10.4,False,2
SAN_A01b,012a,Duguetia surinamensis,Annonaceae,736907.6937,9667907.132,O,25.4,False,,,25.5,False,2
SAN_A01b,013a,Manilkara huberi,Sapotaceae,736909.2638,9667906.026,O,15.0,False,8.55,11.48,15.3,False,2
SAN_A01b,014a,Poeppigia procera,Fabaceae,736914.3997,9667911.449,O,19.1,False,,,19.9,False,2
SAN_A01b,015a,Lecythis idatimon,Lecythidaceae,736914.3441,9667910.837,O,17.2,False,,,17.7,False,2
SAN_A01b,016a,Lecythis lurida,Lecythidaceae,736913.8097,9667907.887,O,34.3,False,,,34.4,False,2
SAN_A01b,017a,Ocotea cernua,Lauraceae,736918.2,9667906.396,O,12.0,False,,,12.8,False,2
SAN_A01b,018a,Duguetia surinamensis,Annonaceae,736911.8549,9667902.611,O,33.5,False,,,33.7,False,2
SAN_A01b,019a,Duguetia surinamensis,Annonaceae,736908.0942,9667896.696,O,22.0,False,,,21.1,False,2
SAN_A01b,020a,Lecythis lurida,Lecythidaceae,736913.0292,9667897.573,O,28.0,False,14.18,21.9,28.0,False,2
SAN_A01b,021a,Licania guianensis,Chrysobalanaceae,736917.0349,9667898.114,O,37.2,False,,,38.2,False,2
SAN_A01b,022a,Lecythis lurida,Lecythidaceae,736919.6886,9667901.74,O,33.7,False,,,33.5,False,2
SAN_A01b,023a,Licania guianensis,Chrysobalanaceae,736920.9465,9667898.842,O,13.8,False,,,14.4,False,2
SAN_A01b,024a,,,736920.7891,9667896.779,O,11.9,False,,,12.2,False,2
SAN_A01b,025a,Protium paniculatum,Burseraceae,736914.171,9667892.637,O,11.9,False,,,12.0,False,2
SAN_A01b,026a,Eschweilera coriacea,Lecythidaceae,736911.8224,9667890.798,O,41.6,False,,,41.7,False,2
SAN_A01b,027a,Protium paniculatum,Burseraceae,736917.4175,9667892.458,O,18.0,False,,,,True,2
SAN_A01b,028a,Manilkara bidentata,Sapotaceae,736919.1269,9667889.781,O,61.6,False,16.12,20.39,62.2,False,2
SAN_A01b,029a,Eschweilera coriacea,Lecythidaceae,736922.9954,9667889.316,O,12.6,False,,,12.9,False,2
SAN_A01b,030a,Inga thibaudiana,Fabaceae,736924.2888,9667889.942,O,14.5,False,,,15.8,False,2
SAN_A01b,031a,Lecythis lurida,Lecythidaceae,736924.4704,9667885.941,O,24.9,False,,,25.1,False,2
SAN_A01b,032a,Eschweilera coriacea,Lecythidaceae,736921.2578,9667886.14,O,11.1,False,,,11.4,False,2
SAN_A01b,033a,Mabea angularis,Euphorbiaceae,736916.3986,9667882.975,O,24.0,False,,,24.5,False,2
SAN_A01b,034a,,,736912.6563,9667881.983,O,29.9,True,,,,True,2
SAN_A01b,035a,Tetragastris panamensis,Burseraceae,736916.1011,9667881.314,O,14.9,False,,,15.1,False,2
SAN_A01b,036a,Eschweilera ovata,Lecythidaceae,736913.9786,9667876.791,O,15.0,False,,,15.6,False,2
SAN_A01b,037a,Pouteria gongrijpii,Sapotaceae,736916.3263,9667878.507,O,25.2,False,16.79,22.91,25.9,False,2
SAN_A01b,038a,Eschweilera ovata,Lecythidaceae,736918.1324,9667876.812,O,14.7,False,,,15.2,False,2
SAN_A01b,039a,,,736926.9919,9667877.815,O,16.6,True,,,,True,2
SAN_A01b,040a,Eschweilera coriacea,Lecythidaceae,736925.929,9667875.552,O,12.0,False,,,12.9,False,2
SAN_A01b,041a,,,736915.288,9667873.925,O,13.8,True,,,,True,2
SAN_A01b,042a,Eschweilera coriacea,Lecythidaceae,736911.095,9667877.381,O,20.0,False,,,20.5,False,2
SAN_A01b,043a,Pouteria gongrijpii,Sapotaceae,736913.0917,9667881.027,O,26.8,False,,,26.9,False,2
SAN_A01b,044a,Pouteria gongrijpii,Sapotaceae,736911.8398,9667881.472,O,17.4,False,,,18.0,False,2
SAN_A01b,045a,Eschweilera coriacea,Lecythidaceae,736910.4109,9667882.298,O,31.8,False,,,32.4,False,2
SAN_A01b,046a,Trichilia micrantha,Meliaceae,736909.1772,9667887.3,O,17.4,False,22.56,31.48,17.6,False,2
SAN_A01b,047a,Trichilia micrantha,Meliaceae,736910.476,9667889.096,O,10.7,False,,,11.0,False,2
SAN_A01b,048a,Eschweilera coriacea,Lecythidaceae,736910.0439,9667892.388,O,10.8,False,,,11.3,False,2
SAN_A01b,049a,Eschweilera micrantha,Lecythidaceae,736906.567,9667897.706,O,19.4,False,,,19.9,False,2
SAN_A01b,050a,Eschweilera coriacea,Lecythidaceae,736902.3118,9667897.623,O,28.5,False,,,29.2,False,2
SAN_A01b,051a,Tachigali myrmecophila,Fabaceae,736898.9196,9667909.751,O,13.9,False,,,14.5,False,2
SAN_A01b,052a,Licania octandra,Chrysobalanaceae,736900.7034,9667910.62,O,35.7,False,,,36.1,False,2
SAN_A01b,053a,Licania octandra,Chrysobalanaceae,736897.5327,9667917.604,O,37.2,False,15.04,23.6,,True,2
SAN_A01b,054a,,,736893.8254,9667913.69,L,15.6,False,,,,True,2
SAN_A01b,055a,,,736903.5917,9667911.211,L,,,,,11.0,False,2
SAN_A01b,056a,,,736901.7633,9667904.712,L,,,,,11.8,False,2
SAN_A01b,057a,Inga sp.,Fabaceae,736914.7383,9667902.609,O,,,,,10.6,False,2
SAN_A01b,058a,,,736909.9009,9667899.325,L,,,,,10.2,False,2
SAN_A01b,059a,Pouteria gongrijpii,Sapotaceae,736918.9473,9667876.155,O,,,,,9.9,False,2
SAN_A01b,060a,Talisia longifolia,Sapindaceae,736917.8213,9667879.812,O,,,,,10.2,False,2
SAN_A01b,001a,Eschweilera coriacea,Lecythidaceae,736774.6202,9668149.238,O,20.7,False,,,21.0,False,3
SAN_A01b,001b,Swartzia laevicarpa,Fabaceae,736756.0009,9668142.067,O,35.0,False,,,35.0,False,3
SAN_A01b,002a,,,736781.0588,9668146.817,O,32.8,False,,,34.2,False,3
SAN_A01b,002b,,,736758.2451,9668139.494,O,42.5,False,,,42.9,False,3
SAN_A01b,003a,Eschweilera micrantha,Lecythidaceae,736781.8354,9668145.215,O,15.0,False,,,15.6,False,3
SAN_A01b,003b,Minquartia guianensis,Olacaceae,736764.5469,9668134.998,O,36.2,False,,,36.4,False,3
SAN_A01b,004a,Pouteria gongrijpii,Sapotaceae,736777.5674,9668140.911,O,31.2,False,,,30.9,False,3
SAN_A01b,004b,,,736762.1984,9668131.01,O,44.6,True,,,,True,3
SAN_A01b,005a,Chimarrhis turbinata,Rubiaceae,736784.9198,9668143.226,O,73.8,False,22.91,31.97,41.8,False,3
SAN_A01b,005b,Rinorea guianensis,Violaceae,736766.4972,9668130.839,O,38.4,False,25.09,34.22,37.9,False,3
SAN_A01b,006a,Tachigali myrmecophila,Fabaceae,736783.2091,9668137.999,O,11.0,False,,,11.6,False,3
SAN_A01b,006b,Minquartia guianensis,Olacaceae,736762.8392,9668125.098,O,47.6,False,,,47.7,False,3
SAN_A01b,007a,Lecythis idatimon,Lecythidaceae,736780.318,9668135.183,O,11.2,False,,,11.5,False,3
SAN_A01b,007b,Pouteria sp.,Sapotaceae,736764.6311,9668121.241,O,42.7,False,,,44.4,False,3
SAN_A01b,008a,,,736782.4601,9668135.147,O,16.2,False,,,16.6,False,3
SAN_A01b,008b,Minquartia guianensis,Olacaceae,736772.7544,9668119.763,O,50.6,False,21.22,32.99,50.9,False,3
SAN_A01b,009a,Pouteria gongrijpii,Sapotaceae,736783.7587,9668135.762,O,14.0,False,15.88,19.16,14.3,False,3
SAN_A01b,009b,,,736776.9152,9668117.72,O,36.0,True,,,,True,3
SAN_A01b,010a,Eschweilera micrantha,Lecythidaceae,736789.982,9668138.296,O,42.4,False,,,42.5,False,3
SAN_A01b,010b,Swartzia laevicarpa,Fabaceae,736778.4592,9668106.242,O,43.5,False,,,44.0,False,3
SAN_A01b,011a,,,736785.3295,9668135.154,O,29.7,False,,,30.0,False,3
SAN_A01b,011b,Dialium guianense,Fabaceae,736769.1374,9668104.63,O,52.2,False,20.27,38.51,52.8,False,3
SAN_A01b,012a,,,736789.7688,9668136.548,L,15.7,False,,,16.7,False,3
SAN_A01b,012b,Diospyros artanthifolia,Ebenaceae,736769.9074,9668095.997,O,63.4,False,21.66,34.93,63.0,False,3
SAN_A01b,013a,Eschweilera coriacea,Lecythidaceae,736787.1494,9668134.257,O,52.0,False,17.08,29.87,58.9,False,3
SAN_A01b,014a,Eschweilera micrantha,Lecythidaceae,736784.5548,9668133.01,O,27.8,False,,,28.0,False,3
SAN_A01b,014b,Dipteryx odorata,Fabaceae,736764.2932,9668115.105,O,37.1,False,,,37.1,False,3
SAN_A01b,015a,,,736784.0557,9668129.62,O,26.0,False,,,26.2,False,3
SAN_A01b,015b,Pouteria sp.,Sapotaceae,736759.5326,9668125.4,O,52.0,False,17.39,33.58,39.8,False,3
SAN_A01b,016a,,,736792.4839,9668132.079,O,22.5,False,,,22.6,False,3
SAN_A01b,016b,Ormosia excelsa,Fabaceae,736751.82,9668128.445,O,36.1,False,,,36.2,False,3
SAN_A01b,017a,Dialium guianense,Fabaceae,736793.4621,9668130.075,O,27.0,False,,,27.7,False,3
SAN_A01b,018a,,,736785.4916,9668126.635,O,29.0,False,,,29.9,False,3
SAN_A01b,019a,Pouteria gongrijpii,Sapotaceae,736784.7527,9668121.483,O,25.0,False,,,25.5,False,3
