site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,agb_source,dbh,htot,hcom,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap
SFX_A01,1,NI,NI,289203.7971,9289380.884,0.62,,11.3,,,20111021,A,O,P01,11.6,11.6,feldpausch_regional,0.18,default,1.0,11.48,11.73
SFX_A01,2,NI,NI,289203.7971,9289335.684,0.62,,10.9,,,20111021,A,O,P01,11.3,11.3,feldpausch_regional,0.18,default,1.0,11.08,11.44
SFX_A01,3,Jacaranda copaia,Bignoniaceae,289204.7971,9289376.584,0.35,,16.12,,,20111021,A,O,P01,14.86,14.86,feldpausch_regional,0.18,default,1.0,16.3,14.98
SFX_A01,4,Cecropia ficifolia,Urticaceae,289201.7971,9289371.084,0.27,,29.5,,,20111021,A,O,P01,21.91,21.91,feldpausch_regional,0.18,default,1.0,29.68,21.99
SFX_A01,5,Cecropia ficifolia,Urticaceae,289200.7971,9289370.984,0.27,,36.2,,,20111021,A,O,P01,24.67,24.67,feldpausch_regional,0.18,default,1.0,36.38,24.74
SFX_A01,6,Socratea exorrhiza,Arecaceae,289201.7971,9289368.584,0.62,0.04549853,14.4,,,20111021,A,P,P01,13.76,13.76,feldpausch_regional,0.18,default,1.0,14.58,13.88
SFX_A01,7,Jacaratia spinosa,Caricaceae,289202.7971,9289368.184,0.27,0.011520446,11.0,7.06,6.37,20111021,A,O,P01,11.38,11.38,feldpausch_regional,0.18,default,1.0,11.18,11.51
SFX_A01,8,Neea oppositifolia,Nyctaginaceae,289203.7971,9289375.484,0.89,,11.7,,,20111021,A,O,P01,11.89,11.89,feldpausch_regional,0.18,default,1.0,11.88,12.02
SFX_A01,9,Attalea maripa,Arecaceae,289202.7971,9289361.584,0.33,0.170173135,29.3,,,20111021,A,P,P01,21.82,21.82,feldpausch_regional,0.18,default,1.0,29.48,21.9
SFX_A01,10,Cassia fastuosa,Fabaceae,289184.7971,9289360.584,0.81,,11.6,,,20111021,A,O,P01,11.82,11.82,feldpausch_regional,0.18,default,1.0,11.78,11.95
SFX_A01,11,Schizolobium amazonicum,Fabaceae,289184.7971,9289358.784,0.49,,19.2,,,20111021,A,O,P01,16.71,16.71,feldpausch_regional,0.18,default,1.0,19.38,16.82
SFX_A01,12,Castilla ulei,Moraceae,289182.7971,9289355.584,0.82,,14.8,,,20111021,A,O,P01,14.02,14.02,feldpausch_regional,0.18,default,1.0,14.98,14.14
SFX_A01,13,Sapium marmieri,Euphorbiaceae,289182.7971,9289356.584,0.41,0.464425677,27.2,30.08,19.78,20111021,A,O,P01,20.86,20.86,feldpausch_regional,0.18,default,1.0,27.38,20.94
SFX_A01,14,Castilla ulei,Moraceae,289186.7971,9289355.584,0.82,,11.3,,,20111021,A,O,P01,11.6,11.6,feldpausch_regional,0.18,default,1.0,11.48,11.73
SFX_A01,15,Clarisia racemosa,Moraceae,289199.7971,9289352.584,0.59,,13.4,,,20111021,A,O,P01,13.08,13.08,feldpausch_regional,0.18,default,1.0,13.58,13.21
SFX_A01,16,NI,NI,289200.7971,9289349.584,0.62,,10.7,,,20111021,A,O,P01,11.15,11.15,feldpausch_regional,0.18,default,1.0,10.88,11.29
SFX_A01,18,Sapium marmieri,Euphorbiaceae,289200.7971,9289346.584,0.41,,10.7,,,20111021,A,O,P01,11.15,11.15,feldpausch_regional,0.18,default,1.0,10.88,11.29
SFX_A01,19,Socratea exorrhiza,Arecaceae,289198.7971,9289345.584,0.62,0.054690591,15.9,22.84,18.32,20111021,A,P,P01,14.73,14.73,feldpausch_regional,0.18,default,1.0,16.08,14.84
SFX_A01,20,Neea oppositifolia,Nyctaginaceae,289199.7971,9289346.584,0.89,,13.0,,,20111021,A,O,P01,12.81,12.81,feldpausch_regional,0.18,default,1.0,13.18,12.93
SFX_A01,23,Cassia fastuosa,Fabaceae,289206.1971,9289342.584,0.81,,22.7,,,20111021,A,O,P01,18.63,18.63,feldpausch_regional,0.18,default,1.0,22.88,18.72
SFX_A01,24,Zanthoxylum rhoifolium,Rutaceae,289205.7971,9289335.584,0.49,,17.6,,,20111021,A,O,P01,15.77,15.77,feldpausch_regional,0.18,default,1.0,17.78,15.88
SFX_A01,25,Tabebuia serratifolia,Bignoniaceae,289210.7971,9289338.584,0.92,,20.5,,,20111021,A,O,P01,17.45,17.45,feldpausch_regional,0.18,default,1.0,20.68,17.54
SFX_A01,26,Dalbergia melanoxylon,Fabaceae,289209.7971,9289341.584,0.8,,55.5,,,20111021,A,O,P01,30.8,30.8,feldpausch_regional,0.18,default,1.0,55.68,30.85
SFX_A01,28,Hymenaea courbaril,Fabaceae,289210.7971,9289343.084,0.79,,16.6,,,20111021,A,O,P01,15.16,15.16,feldpausch_regional,0.18,default,1.0,16.78,15.27
SFX_A01,29,Virola melinoni,Myristicaceae,289213.7971,9289343.584,0.48,,15.2,,,20111021,A,O,P01,14.28,14.28,feldpausch_regional,0.18,default,1.0,15.38,14.39
SFX_A01,30,Attalea maripa,Arecaceae,289207.0971,9289346.584,0.33,0.220661455,33.7,,,20111021,A,P,P01,23.69,23.69,feldpausch_regional,0.18,default,1.0,33.88,23.76
SFX_A01,31,Eschweilera parviflora,Lecythidaceae,289206.7971,9289347.584,0.89,0.048985315,11.3,8.48,5.68,20111021,A,O,P01,11.6,11.6,feldpausch_regional,0.18,default,1.0,11.48,11.73
SFX_A01,32,Theobroma glaucum,Malvaceae,289210.7971,9289350.584,0.53,,21.9,,,20111021,A,O,P01,18.21,18.21,feldpausch_regional,0.18,default,1.0,22.08,18.3
SFX_A01,33,Virola melinoni,Myristicaceae,289211.7971,9289350.584,0.48,0.276219667,23.0,21.54,17.64,20111021,A,O,P01,18.79,18.79,feldpausch_regional,0.18,default,1.0,23.18,18.88
SFX_A01,34,Eschweilera parviflora,Lecythidaceae,289209.7971,9289350.084,0.89,,14.6,,,20111021,A,O,P01,13.89,13.89,feldpausch_regional,0.18,default,1.0,14.78,14.01
SFX_A01,35,Theobroma glaucum,Malvaceae,289208.7971,9289352.084,0.53,,19.4,,,20111021,A,O,P01,16.83,16.83,feldpausch_regional,0.18,default,1.0,19.58,16.93
SFX_A01,36,,,289207.7971,9289351.584,0.58,8.199048089,111.7,35.81,,20111025,D,O,P01,40.3,40.3,feldpausch_regional,0.18,default,1.0,111.88,40.32
SFX_A01,37,Rinorea racemosa,Violaceae,289209.7971,9289355.584,0.68,,13.4,,,20111021,A,O,P01,13.08,13.08,feldpausch_regional,0.18,default,1.0,13.58,13.21
