site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,agb_source,dbh,htot,hcom,dead,type,plot_id,htot_feldpausch
SFX_A02,1,Dalbergia melanoxylon,Fabaceae,411041.5597,9270911.325,0.8,0.432156124,36.3,8.05,3.2,A,O,P18,24.71
SFX_A02,2,Theobroma glaucum,Malvaceae,411037.8597,9270906.525,0.53,,10.0,,,A,O,P18,10.62
SFX_A02,3,Pouteria sp.,Sapotaceae,411042.5597,9270904.525,0.78,,25.7,,,A,O,P18,20.14
SFX_A02,4,Schefflera morototoni,Araliaceae,411039.6597,9270899.325,0.45,0.060828102,14.3,12.9,10.54,A,O,P18,13.69
SFX_A02,5,Astronium gracile,Anacardiaceae,411033.8597,9270899.325,0.73,5.210652061,58.7,40.7,21.08,A,O,P18,31.62
SFX_A02,6,NI,NI,411019.8597,9270898.325,0.62,,12.7,,,A,O,P18,12.6
SFX_A02,7,Theobroma glaucum,Malvaceae,411036.5597,9270897.325,0.53,,12.7,,,A,O,P18,12.6
SFX_A02,8,Nectandra cuspidata,Lauraceae,411030.8597,9270894.325,0.56,0.747075652,36.0,20.22,16.45,A,O,P18,24.6
SFX_A02,9,Sapium marmieri,Euphorbiaceae,411033.8597,9270893.325,0.41,0.702705224,39.3,21.8,17.0,A,O,P18,25.82
SFX_A02,10,Dalbergia melanoxylon,Fabaceae,411024.8597,9270893.025,0.8,,17.7,,,A,O,P18,15.83
SFX_A02,11,Dalbergia melanoxylon,Fabaceae,411036.8597,9270892.525,0.8,0.733810106,35.0,14.7,9.19,A,O,P18,24.21
SFX_A02,12,Inga marginata,Fabaceae,411039.8597,9270892.125,0.57,,10.2,,,A,O,P18,10.78
SFX_A02,13,Mimosa hostilis,Fabaceae,411032.8597,9270892.325,0.45,2.075819484,55.6,29.32,19.3,A,O,P18,30.83
SFX_A02,14,Sterculia pruriens,Malvaceae,411032.8597,9270889.925,0.49,,21.1,,,A,O,P18,17.78
SFX_A02,15,Neea oppositifolia,Nyctaginaceae,411033.8597,9270888.325,0.89,0.024071894,10.3,4.99,2.7,A,O,P18,10.85
SFX_A02,16,Theobroma glaucum,Malvaceae,411039.8597,9270886.825,0.53,,10.8,,,A,O,P18,11.23
SFX_A02,17,Dalbergia melanoxylon,Fabaceae,411037.8597,9270882.325,0.8,,27.5,,,A,O,P18,21.0
SFX_A02,18,NI,NI,411042.7597,9270882.325,0.62,,11.2,,,A,O,P18,11.53
SFX_A02,19,Theobroma glaucum,Malvaceae,411034.8597,9270878.325,0.53,,11.0,,,A,O,P18,11.38
SFX_A02,21,Dalbergia melanoxylon,Fabaceae,411042.9597,9270921.325,0.8,,13.7,,,A,O,P18,13.29
SFX_A02,22,Dalbergia melanoxylon,Fabaceae,411045.8597,9270917.925,0.8,1.135614698,48.6,11.8,9.16,A,O,P18,28.87
SFX_A02,23,Dalbergia melanoxylon,Fabaceae,411045.8597,9270915.925,0.8,1.261785839,45.4,15.03,8.24,A,O,P18,27.88
SFX_A02,24,,,411045.5597,9270914.025,0.45,0.014742071,11.1,6.09,,D,o,P18,11.45
SFX_A02,25,Dalbergia melanoxylon,Fabaceae,411048.8597,9270914.025,0.8,1.920502824,50.5,18.48,15.53,A,O,P18,29.43
SFX_A02,26,Theobroma glaucum,Malvaceae,411047.0597,9270911.825,0.53,0.037051385,11.1,11.15,8.68,A,O,P18,11.45
SFX_A02,27,Dalbergia melanoxylon,Fabaceae,411045.8597,9270909.325,0.8,1.0402531,40.8,15.34,6.14,A,O,P18,26.35
SFX_A02,28,Dialium guianense,Fabaceae,411050.8597,9270908.325,0.89,,29.7,,,A,O,P18,22.0
SFX_A02,30,Dalbergia melanoxylon,Fabaceae,411058.8597,9270906.925,0.8,,22.8,,,A,O,P18,18.68
SFX_A02,31,Galipea trifoliata,NI,411050.8597,9270908.525,0.62,,11.0,,,A,O,P18,11.38
SFX_A02,32,Theobroma glaucum,Malvaceae,411049.8597,9270906.925,0.53,0.066990903,15.8,9.95,8.33,A,O,P18,14.66
SFX_A02,33,Dialium guianense,Fabaceae,411051.8597,9270906.325,0.89,,17.8,,,A,O,P18,15.89
SFX_A02,34,Protium heptaphyllum,Burseraceae,411047.8597,9270906.325,0.62,,24.5,,,A,O,P18,19.55
SFX_A02,35,Dalbergia melanoxylon,Fabaceae,411045.8597,9270905.825,0.8,,15.6,,,A,O,P18,14.54
SFX_A02,36,Dalbergia melanoxylon,Fabaceae,411049.8597,9270904.325,0.8,0.695516714,35.5,13.55,8.73,A,O,P18,24.4
SFX_A02,37,Galipea trifoliata,NI,411055.8597,9270904.325,0.62,0.029062484,11.3,7.21,5.53,A,O,P18,11.6
SFX_A02,39,Dalbergia melanoxylon,Fabaceae,411068.8597,9270897.925,0.8,,26.5,,,A,O,P18,20.53
SFX_A02,40,Dalbergia melanoxylon,Fabaceae,411067.8597,9270897.925,0.8,1.371615946,44.1,17.31,10.5,A,O,P18,27.46
SFX_A02,41,,,411051.8597,9270901.325,0.7,,25.1,,,D,o,P18,19.85
SFX_A02,42,,,411051.8597,9270897.825,0.7,,39.0,,,D,o,P18,25.71
SFX_A02,43,Theobroma glaucum,Malvaceae,411047.8597,9270894.725,0.53,,15.8,,,A,O,P18,14.66
SFX_A02,44,Jacaratia spinosa,Caricaceae,411052.8597,9270894.525,0.27,,22.8,,,A,O,P18,18.68
SFX_A02,45,Tabebuia serratifolia,Bignoniaceae,411057.8597,9270895.325,0.92,2.579578086,44.0,28.45,20.67,A,O,P18,27.43
SFX_A02,46,Theobroma glaucum,Malvaceae,411046.8597,9270913.025,0.53,,11.3,,,A,O,P18,11.6
SFX_A02,47,Dalbergia melanoxylon,Fabaceae,411045.8597,9270883.825,0.8,,13.5,,,A,O,P18,13.15
SFX_A02,48,Inga marginata,Fabaceae,411049.8597,9270881.325,0.57,,10.4,,,A,O,P18,10.93
SFX_A02,49,Theobroma glaucum,Malvaceae,411043.0597,9270877.025,0.53,,12.6,,,A,O,P18,12.53
SFX_A02,50,Inga marginata,Fabaceae,411045.1597,9270875.325,0.57,,12.2,,,A,O,P18,12.25
SFX_A02,1,,,411081.1695,9270758.006,0.45,,14.8,,,D,o,P19,14.02
SFX_A02,2,Dalbergia melanoxylon,Fabaceae,411079.9695,9270757.206,0.8,0.480251583,37.6,8.34,3.83,A,O,P19,25.2
SFX_A02,3,Neea oppositifolia,Nyctaginaceae,411078.7695,9270752.206,0.89,,11.8,,,A,O,P19,11.96
SFX_A02,4,Jacaranda copaia,Bignoniaceae,411079.9695,9270746.806,0.35,,14.5,,,A,O,P19,13.82
SFX_A02,5,Dalbergia melanoxylon,Fabaceae,411075.9695,9270746.906,0.8,0.488894566,44.2,6.14,2.53,A,O,P19,27.5
SFX_A02,6,Dalbergia melanoxylon,Fabaceae,411068.9695,9270746.106,0.8,0.524753596,37.7,9.06,4.73,A,O,P19,25.24
SFX_A02,7,Zanthoxylum rhoifolium,Rutaceae,411079.2695,9270745.706,0.49,,10.4,,,A,O,P19,10.93
SFX_A02,8,Diplotropis sp.,Fabaceae,411079.2695,9270745.706,0.75,,13.9,,,A,O,P19,13.42
SFX_A02,9,Ocotea sp.,Lauraceae,411077.7695,9270742.206,0.5,,15.8,,,A,O,P19,14.66
SFX_A02,10,Licania heteromorpha,Chrysobalanaceae,411080.6695,9270739.706,0.82,,10.6,,,A,O,P19,11.08
SFX_A02,11,Theobroma glaucum,Malvaceae,411076.9695,9270739.706,0.53,0.038843856,14.0,7.35,4.55,A,O,P19,13.49
SFX_A02,12,Dalbergia melanoxylon,Fabaceae,411070.9695,9270742.206,0.8,,12.5,,,A,O,P19,12.46
SFX_A02,13,Licania heteromorpha,Chrysobalanaceae,411074.9695,9270737.406,0.82,,10.9,,,A,O,P19,11.3
SFX_A02,14,Dalbergia melanoxylon,Fabaceae,411077.6695,9270737.306,0.8,1.109938966,47.5,12.07,8.53,A,O,P19,28.54
SFX_A02,15,Poeppigia sp.,Fabaceae,411060.9695,9270737.806,0.69,,11.2,,,A,O,P19,11.53
SFX_A02,16,Dalbergia melanoxylon,Fabaceae,411059.9695,9270737.206,0.8,,33.7,,,A,O,P19,23.69
SFX_A02,17,Rinorea guianensis,Violaceae,411057.9695,9270736.606,0.78,,10.4,,,A,O,P19,10.93
SFX_A02,19,Rheedia gardneriana,Clusiaceae,411078.9695,9270735.206,0.62,,10.9,,,A,O,P19,11.3
SFX_A02,20,Poeppigia sp.,Fabaceae,411061.9695,9270734.206,0.69,0.029778538,11.5,6.41,4.79,A,O,P19,11.75
SFX_A02,21,Dalbergia melanoxylon,Fabaceae,411062.9695,9270734.206,0.8,,12.8,,,A,O,P19,12.67
SFX_A02,22,,,411063.9695,9270732.206,0.58,,16.6,,,D,o,P19,15.16
SFX_A02,23,Dalbergia melanoxylon,Fabaceae,411078.3695,9270731.206,0.8,,19.8,,,A,O,P19,17.05
SFX_A02,24,Poeppigia sp.,Fabaceae,411078.3695,9270731.406,0.69,,10.9,,,A,O,P19,11.3
SFX_A02,25,Theobroma glaucum,Malvaceae,411075.9695,9270730.406,0.53,,12.6,,,A,O,P19,12.53
SFX_A02,26,Pterocarpus sp.,Fabaceae,411075.9695,9270731.006,0.51,,11.4,,,A,O,P19,11.67
SFX_A02,27,Dalbergia melanoxylon,Fabaceae,411056.9695,9270731.206,0.8,,20.2,,,A,O,P19,17.28
SFX_A02,28,Dalbergia melanoxylon,Fabaceae,411061.9695,9270730.206,0.8,,30.3,,,A,O,P19,22.26
SFX_A02,29,Minquartia guianensis,Olacaceae,411062.9695,9270728.206,0.77,,15.2,,,A,O,P19,14.28
SFX_A02,30,Dalbergia melanoxylon,Fabaceae,411075.1695,9270724.806,0.8,1.563394956,49.7,15.53,10.41,A,O,P19,29.19
SFX_A02,31,Cordia scabrifolia,Boraginaceae,411068.9695,9270721.606,0.47,,10.7,,,A,O,P19,11.15
SFX_A02,32,Dalbergia melanoxylon,Fabaceae,411079.1695,9270722.906,0.8,,35.4,,,A,O,P19,24.36
SFX_A02,33,,,411080.9695,9270721.006,0.45,,20.4,,,D,o,P19,17.39
SFX_A02,34,Theobroma glaucum,Malvaceae,411075.9695,9270719.106,0.53,0.025555993,10.7,8.28,5.94,A,O,P19,11.15
SFX_A02,35,Mimosa hostilis,Fabaceae,411077.9695,9270712.206,0.45,2.183463041,52.0,35.25,27.85,A,O,P19,29.85
