site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,htot,hcom,dead,type,plot_id,htot_feldpausch
TAC_A01,1,Theobroma glaucum,Malvaceae,799902.9108,9725867.865,12.3,3.14,0.0,False,O,P01,12.32
TAC_A01,2,Euterpe oleracea,Arecaceae,799903.7024,9725868.539,9.3,7.41,3.5,False,P,P01,10.08
TAC_A01,3,Euterpe oleracea,Arecaceae,799903.8532,9725868.667,10.8,10.08,7.77,False,P,P01,11.23
TAC_A01,4,Euterpe oleracea,Arecaceae,799904.004,9725868.796,11.4,9.95,6.67,False,P,P01,11.67
TAC_A01,5,Theobroma glaucum,Malvaceae,799905.0595,9725869.695,8.8,2.14,1.65,False,O,P01,9.68
TAC_A01,6,Euterpe oleracea,Arecaceae,799906.2658,9725870.722,13.0,13.9,6.76,False,P,P01,12.81
TAC_A01,7,Euterpe oleracea,Arecaceae,799906.2658,9725870.722,5.9,4.64,1.83,False,P,P01,7.18
TAC_A01,8,Theobroma glaucum,Malvaceae,799907.3213,9725871.62,13.7,5.1,1.82,False,O,P01,13.29
TAC_A01,9,Theobroma glaucum,Malvaceae,799909.583,9725873.546,9.7,3.32,2.08,False,O,P01,10.39
TAC_A01,10,Euterpe oleracea,Arecaceae,799910.7139,9725874.509,13.6,12.13,6.49,False,P,P01,13.22
TAC_A01,11,Euterpe oleracea,Arecaceae,799910.7139,9725874.509,11.4,9.43,6.16,False,P,P01,11.67
TAC_A01,12,Euterpe oleracea,Arecaceae,799910.7893,9725874.574,9.7,8.92,6.19,False,P,P01,10.39
TAC_A01,13,Euterpe oleracea,Arecaceae,799910.7893,9725874.574,10.1,7.78,3.19,False,P,P01,10.7
TAC_A01,14,Theobroma glaucum,Malvaceae,799911.8448,9725875.472,8.7,3.42,3.19,False,O,P01,9.6
TAC_A01,15,Theobroma glaucum,Malvaceae,799914.1066,9725877.398,9.6,4.48,2.09,False,O,P01,10.31
TAC_A01,16,Euterpe oleracea,Arecaceae,799915.4636,9725878.554,12.4,10.91,7.49,False,P,P01,12.39
TAC_A01,17,Euterpe oleracea,Arecaceae,799915.4636,9725878.554,15.6,9.14,6.14,False,P,P01,14.54
TAC_A01,18,Euterpe oleracea,Arecaceae,799915.4636,9725878.554,9.7,9.77,4.04,False,P,P01,10.39
TAC_A01,19,Theobroma glaucum,Malvaceae,799916.5945,9725879.517,5.9,2.33,1.69,False,O,P01,7.18
TAC_A01,20,Euterpe oleracea,Arecaceae,799917.7254,9725880.48,12.2,9.92,6.19,False,P,P01,12.25
TAC_A01,21,Euterpe oleracea,Arecaceae,799917.7254,9725880.48,14.2,8.09,5.69,False,P,P01,13.62
TAC_A01,22,Euterpe oleracea,Arecaceae,799917.7254,9725880.48,18.8,9.92,6.98,False,P,P01,16.48
TAC_A01,23,Euterpe oleracea,Arecaceae,799917.8762,9725880.608,6.8,3.78,1.76,False,P,P01,7.99
TAC_A01,24,Theobroma glaucum,Malvaceae,799918.6301,9725881.25,10.4,4.26,1.41,False,O,P01,10.93
TAC_A01,25,Theobroma glaucum,Malvaceae,799921.1935,9725883.433,10.2,5.22,1.72,False,O,P01,10.78
TAC_A01,26,Euterpe oleracea,Arecaceae,799922.0982,9725884.203,8.9,6.88,3.69,False,P,P01,9.76
TAC_A01,27,Euterpe oleracea,Arecaceae,799922.3997,9725884.46,11.9,10.67,6.32,False,P,P01,12.03
TAC_A01,28,Euterpe oleracea,Arecaceae,799922.3997,9725884.46,11.9,11.4,9.31,False,P,P01,12.03
TAC_A01,29,Euterpe oleracea,Arecaceae,799922.3997,9725884.46,7.2,6.32,2.45,False,P,P01,8.34
TAC_A01,30,Euterpe oleracea,Arecaceae,799922.3997,9725884.46,8.2,3.37,1.57,False,P,P01,9.19
TAC_A01,31,Theobroma glaucum,Malvaceae,799925.8701,9725883.439,9.8,5.28,2.11,False,O,P01,10.47
TAC_A01,32,Theobroma glaucum,Malvaceae,799923.4431,9725881.369,11.0,5.6,2.46,False,O,P01,11.38
TAC_A01,33,Theobroma glaucum,Malvaceae,799920.8643,9725879.169,9.4,4.82,2.97,False,O,P01,10.16
TAC_A01,34,Theobroma glaucum,Malvaceae,799919.1957,9725877.745,7.5,3.32,1.86,False,O,P01,8.6
TAC_A01,35,Theobroma glaucum,Malvaceae,799916.3894,9725875.351,9.9,3.84,1.57,False,O,P01,10.55
TAC_A01,36,Theobroma glaucum,Malvaceae,799914.4174,9725873.669,9.5,5.74,1.4,False,O,P01,10.23
TAC_A01,37,Theobroma glaucum,Malvaceae,799911.7628,9725871.404,10.5,3.81,1.42,False,O,P01,11.0
TAC_A01,38,Theobroma glaucum,Malvaceae,799909.3358,9725869.333,11.6,4.68,2.08,False,O,P01,11.82
TAC_A01,39,Theobroma glaucum,Malvaceae,799907.2121,9725867.522,15.6,5.11,2.16,False,O,P01,14.54
TAC_A01,40,Theobroma glaucum,Malvaceae,799905.6952,9725866.228,11.7,4.46,1.96,False,O,P01,11.89
TAC_A01,41,Theobroma glaucum,Malvaceae,799907.7316,9725864.154,8.1,4.01,0.83,False,O,P01,9.1
TAC_A01,42,Euterpe oleracea,Arecaceae,799907.7316,9725864.154,13.4,9.7,6.46,False,P,P01,13.08
TAC_A01,43,Euterpe oleracea,Arecaceae,799907.7316,9725864.154,13.4,9.42,5.5,False,P,P01,13.08
TAC_A01,44,Euterpe oleracea,Arecaceae,799907.7316,9725864.154,12.2,11.16,7.78,False,P,P01,12.25
TAC_A01,45,Euterpe oleracea,Arecaceae,799907.7316,9725864.154,7.7,5.1,1.98,False,P,P01,8.77
