tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,dead,type,plot_id,htot_feldpausch
1,Tapirira guianensis,Anacardiaceae,799293.4777,9725892.604,11.5,False,O,1,11.75
2,Inga sp.,Fabaceae,799294.5195,9725892.813,11.1,False,O,1,11.45
3,Xylopia nitida,Annonaceae,799292.2284,9725893.779,18.2,False,O,1,16.13
4,Tapirira guianensis,Anacardiaceae,799293.1607,9725894.68,14.7,False,O,1,13.95
5,Tapirira guianensis,Anacardiaceae,799293.1456,9725894.778,10.8,False,O,1,11.23
6,Xylopia amazonica,Annonaceae,799296.7208,9725899.073,12.3,False,O,1,12.32
7,Tapirira guianensis,Anacardiaceae,799295.7428,9725898.568,12.2,False,O,1,12.25
8,Xylopia nitida,Annonaceae,799294.4186,9725900.237,23.0,False,O,1,18.79
9,Xylopia nitida,Annonaceae,799293.2127,9725901.214,16.6,False,O,1,15.16
10,Nectandra cuspidata,Lauraceae,799292.1193,9725901.5,11.6,False,O,1,11.82
11,,,799291.923,9725902.785,22.9,True,O,1,18.73
12,Strychnos subcordata,Loganiaceae,799290.8804,9725902.774,10.2,False,O,1,10.78
13,Nectandra cuspidata,Lauraceae,799295.0895,9725902.62,16.2,False,O,1,14.91
14,Xylopia nitida,Annonaceae,799295.191,9725902.641,18.2,False,O,1,16.13
15,Hevea brasiliensis,Euphorbiaceae,799301.1808,9725903.871,31.0,False,O,1,22.56
16,Xylopia amazonica,Annonaceae,799298.8092,9725905.43,15.6,False,O,1,14.54
17,Tapirira guianensis,Anacardiaceae,799299.7842,9725905.836,10.4,False,O,1,10.93
18,Xylopia nitida,Annonaceae,799291.7117,9725904.169,23.9,False,O,1,19.25
19,Nectandra cuspidata,Lauraceae,799290.436,9725905.74,17.0,False,O,1,15.41
20,Nectandra cuspidata,Lauraceae,799290.5364,9725905.761,18.0,False,O,1,16.01
21,Nectandra cuspidata,Lauraceae,799290.4622,9725906.255,14.0,False,O,1,13.49
22,Xylopia nitida,Annonaceae,799290.4296,9725909.205,11.0,False,O,1,11.38
23,Xylopia amazonica,Annonaceae,799295.9653,9725909.954,18.0,False,O,1,16.01
24,Inga sp.,Fabaceae,799298.9521,9725910.578,16.5,False,O,1,15.1
25,Inga alba,Fabaceae,799293.1773,9725914.479,37.6,False,O,1,25.2
26,Xylopia nitida,Annonaceae,799298.1719,9725915.023,16.6,False,O,1,15.16
