site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,agb_source,dbh,htot,hcom,dead,type,plot_id,htot_feldpausch
TAN_A01,1,Manilkara huberi,Sapotaceae,349210.6593,8553226.434,0.93,1.705094695,45.1,17.70902653,13.16929739,A,O,T01,27.79
TAN_A01,2,Heisteria densifrons,Olacaceae,349177.3807,8553288.462,0.65,0.106523568,15.7,13.06216788,9.294750609,A,O,T01,14.6
TAN_A01,3,Heisteria densifrons,Olacaceae,349176.3095,8553292.084,0.65,0.033851968,11.1,8.3043725,6.18313088,A,O,T01,11.45
TAN_A01,4,Schefflera morototoni,Araliaceae,349170.2537,8553312.652,0.452896923,1.254192836,45.1,26.7481703,20.58702155,A,O,T01,27.79
TAN_A01,5,Ocotea sp.,Lauraceae,349155.5,8553332.432,0.500567938,0.493746261,29.0,23.04236293,16.93192828,A,O,T01,21.68
TAN_A01,6,,,349146.4137,8553356.936,0.6,0.655164804,37.8,22.12689033,,A,O,T01,25.28
TAN_A01,7,Vochysia guianensis,Vochysiaceae,349137.8454,8553372.764,0.508725,0.924741747,42.1,20.14908875,15.55079963,A,O,T01,26.8
TAN_A01,8,Sloanea guianensis,Elaeocarpaceae,349108.1798,8553422.113,0.821152911,0.119716906,16.4,10.64942034,8.074807976,A,O,T01,15.04
TAN_A01,9,Bocageopsis pleiosperma,Annonaceae,349104.2802,8553430.708,0.640270745,0.065807728,12.9,12.13433661,8.327560271,A,O,T01,12.74
TAN_A01,10,Heisteria densifrons,Olacaceae,349102.5537,8553433.867,0.65,0.114158252,17.0,11.93928525,4.825807958,A,O,T01,15.41
TAN_A01,11,Casearia javitensis,Salicaceae,349102.206,8553433.669,0.76,0.174780006,17.0,15.63372731,10.45765659,A,O,T01,15.41
TAN_A01,12,Manilkara huberi,Sapotaceae,349099.3585,8553439.296,0.93,0.295272773,17.0,21.58364695,10.54989305,A,O,T01,15.41
TAN_A01,13,Aspidosperma nitidum,Apocynaceae,349086.8447,8553473.242,0.763327689,1.980849585,45.5,24.62634204,17.61119843,A,O,T01,27.91
TAN_A01,14,Heisteria densifrons,Olacaceae,349081.7158,8553470.326,0.65,0.096206646,15.4,12.26118635,3.976866122,A,O,T01,14.41
TAN_A01,15,,,349082.9182,8553482.512,0.58,0.662243526,39.2,21.38002764,,D,O,T01,25.79
TAN_A01,16,Casearia javitensis,Salicaceae,349074.7619,8553483.05,0.76,0.09765394,12.1,17.24200065,11.53754381,A,O,T01,12.18
TAN_A01,17,Vochysia guianensis,Vochysiaceae,349070.8323,8553491.282,0.508725,0.079045397,15.6,12.54372496,8.113874764,A,O,T01,14.54
TAN_A01,18,Jacaranda copaia,Bignoniaceae,349067.9183,8553495.581,0.353578132,0.205007459,23.1,21.34727884,15.82535691,A,O,T01,18.84
TAN_A01,19,,,349066.3,8553499.141,0.6,0.034521102,11.3,11.59931553,,D,O,T01,11.6
TAN_A01,20,Strychnos subcordata,Loganiaceae,349063.2798,8553506.495,0.54,0.032054911,10.3,10.99280664,7.700978615,A,O,T01,10.85
TAN_A01,21,Pouteria sp.,Sapotaceae,349060.6307,8553510.742,0.781766198,0.895112327,37.0,16.43158353,9.42309444,A,O,T01,24.98
TAN_A01,22,Vochysia guianensis,Vochysiaceae,349055.4258,8553521.228,0.508725,0.437207288,28.2,21.23187327,13.89855258,A,O,T01,21.32
TAN_A01,23,Heisteria densifrons,Olacaceae,349043.9616,8553541.846,0.65,0.06274968,13.5,10.40669532,6.458692125,A,O,T01,13.15
TAN_A01,24,,,349041.0558,8553547.893,0.6,0.093307618,18.6,11.56552078,,D,O,T01,16.36
TAN_A01,25,Protium heptaphyllum,Burseraceae,349040.9639,8553548.071,0.62,0.222004571,22.5,13.89592328,10.7246894,A,O,T01,18.53
TAN_A01,26,Tapirira guianensis,Anacardiaceae,349035.4505,8553558.501,0.457009167,0.0395968,13.1,9.919157986,7.848411491,A,O,T01,12.88
TAN_A01,27,Nectandra cuspidata,Lauraceae,349039.7904,8553564.902,0.56,0.901052899,41.8,18.09222229,9.939093714,A,O,T01,26.7
TAN_A01,28,Endlicheria ruforamula,Lauraceae,349004.0952,8553618.837,0.599576816,0.310426183,23.6,18.26298341,15.04274769,A,O,T01,19.1
TAN_A01,29,Endlicheria ruforamula,Lauraceae,349003.7393,8553632.351,0.599576816,0.942726994,38.0,21.39223375,15.84338497,A,O,T01,25.35
