site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2009,dead_2009,hcom_2009,htot_2009,date_2009,dbh_2010,dead_2010,htot_2010,date_2010,dbh_2011,dead_2011,hcom_2011,htot_2011,date_2011,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap
TAP_A01,1.0,,,727139.84,9684877.68,O,15.0,D,,2.05,20090617-20090708,14.4,D,2.05,20100714-20100805,14.4,D,,1.9,20110712-20110719,M1,13.76,2.05,measured,0.0,observed,-1.0,14.4,2.05
TAP_A01,2.0,,,727137.51,9684877.4,O,15.1,A,13.53,19.67,20090617-20090708,15.1,A,9.84,20100714-20100805,15.1,A,7.85,9.03,20110712-20110719,M1,14.21,19.67,measured,0.0,observed,-1.0,15.1,19.67
TAP_A01,3.0,,,727128.17,9684876.27,O,17.5,A,20.38,23.13,20090617-20090708,17.3,A,25.17,20100714-20100805,17.5,A,22.17,24.79,20110712-20110719,M1,15.71,23.13,measured,0.0,observed,-1.0,17.5,23.13
TAP_A01,4.0,,,727117.49,9684875.46,O,13.6,A,22.84,26.86,20090617-20090708,30.7,A,27.25,20100714-20100805,31.7,A,,13.72,20110712-20110719,M1,22.86,26.86,measured,5.0,observed,-1.0,26.7,24.23
TAP_A01,5.0,,,727115.44,9684873.74,O,5.4,A,6.13,12.5,20090617-20090708,5.2,A,9.29,20100714-20100805,5.2,A,5.07,11.46,20110712-20110719,M1,6.52,12.5,measured,0.0,observed,-1.0,5.2,12.5
TAP_A01,6.0,,,727103.97,9684877.73,O,99.7,D,0.7,4.54,20090617-20090708,99.7,D,6.1,20100714-20100805,99.7,D,,5.69,20110712-20110719,M1,38.93,4.54,measured,0.0,observed,-1.0,99.7,4.54
TAP_A01,7.0,,,727079.22,9684871.93,O,6.1,A,3.37,4.56,20090617-20090708,6.1,A,4.53,20100714-20100805,6.1,A,2.17,4.79,20110712-20110719,M1,7.36,4.56,measured,0.0,observed,-1.0,6.1,4.56
TAP_A01,8.0,,,727076.34,9684870.81,L,5.3,A,5.81,6.5,20090617-20090708,5.4,A,,20100714-20100805,5.4,A,,,20110712-20110719,M1,6.71,6.5,measured,0.05,observed,-1.0,5.35,6.45
TAP_A01,9.0,,,727074.07,9684870.71,O,14.1,A,11.14,12.35,20090617-20090708,14.2,A,11.99,20100714-20100805,14.3,A,10.1,12.92,20110712-20110719,M1,13.69,12.35,measured,0.1,observed,-1.0,14.2,12.29
TAP_A01,10.0,,,727070.7,9684871.06,O,6.3,A,5.75,9.35,20090617-20090708,6.4,A,9.05,20100714-20100805,6.4,A,8.17,11.15,20110712-20110719,M1,7.64,9.35,measured,0.05,observed,-1.0,6.35,9.29
TAP_A01,11.0,,,727058.77,9684870.04,O,17.7,D,1.38,4.85,20090617-20090708,,D,,20100714-20100805,,D,,,20110712-20110719,M1,,4.85,measured,0.1,site_median,-1.0,,
TAP_A01,12.0,,,727058.77,9684870.04,O,13.6,A,3.29,5.37,20090617-20090708,,D,,20100714-20100805,,D,,,20110712-20110719,M1,,5.37,measured,0.1,site_median,-1.0,,
TAP_A01,13.0,,,727040.47,9684872.09,O,39.2,A,12.09,19.24,20090617-20090708,39.5,A,17.17,20100714-20100805,39.7,A,9.11,14.03,20110712-20110719,M1,25.97,19.24,measured,0.25,observed,-1.0,39.45,19.17
TAP_A01,14.0,,,727037.52,9684869.35,O,13.6,D,0.88,2.7,20090617-20090708,13.7,D,6.76,20100714-20100805,13.7,D,,3.5,20110712-20110719,M1,13.29,2.7,measured,0.05,observed,-1.0,13.65,2.69
TAP_A01,15.0,,,727039.78,9684869.56,O,8.3,A,6.47,8.07,20090617-20090708,8.4,A,8.09,20100714-20100805,9.0,A,2.11,7.44,20110712-20110719,M1,9.84,8.07,measured,0.35,observed,-1.0,8.65,7.84
TAP_A01,16.0,,,727033.89,9684869.01,O,6.1,D,0.98,6.18,20090617-20090708,6.1,D,5.27,20100714-20100805,6.1,D,,5.12,20110712-20110719,M1,7.36,6.18,measured,0.0,observed,-1.0,6.1,6.18
TAP_A01,17.0,,,727031.63,9684868.8,O,5.3,A,2.0,3.35,20090617-20090708,5.7,A,4.28,20100714-20100805,5.7,A,2.28,5.03,20110712-20110719,M1,6.99,3.35,measured,0.2,observed,-1.0,5.5,3.26
TAP_A01,18.0,,,727030.72,9684868.72,O,28.0,A,17.89,23.45,20090617-20090708,26.3,A,24.81,20100714-20100805,28.8,A,15.92,24.07,20110712-20110719,M1,21.59,23.45,measured,0.4,observed,-1.0,28.4,23.25
TAP_A01,19.0,,,727030.32,9684869.18,O,12.8,A,7.46,14.1,20090617-20090708,13.7,A,10.68,20100714-20100805,14.4,A,10.03,12.14,20110712-20110719,M1,13.76,14.1,measured,0.8,observed,-1.0,13.6,13.55
TAP_A01,20.0,,,727019.03,9684868.63,O,5.1,A,2.28,6.23,20090617-20090708,5.2,A,6.18,20100714-20100805,5.4,A,3.67,6.51,20110712-20110719,M1,6.71,6.23,measured,0.15,observed,-1.0,5.25,6.1
TAP_A01,21.0,,,727009.47,9684867.25,O,12.0,A,5.43,10.43,20090617-20090708,12.2,A,12.75,20100714-20100805,12.1,A,2.93,7.71,20110712-20110719,M1,12.18,10.43,measured,0.05,observed,-1.0,12.05,10.4
TAP_A01,22.0,,,727005.76,9684865.92,O,5.4,A,2.67,4.23,20090617-20090708,5.5,A,3.56,20100714-20100805,5.4,A,1.67,4.03,20110712-20110719,M1,6.71,4.23,measured,0.0,observed,-1.0,5.4,4.23
TAP_A01,23.0,,,727004.9,9684866.34,O,8.0,A,4.93,9.78,20090617-20090708,8.4,A,12.08,20100714-20100805,8.4,A,5.68,6.85,20110712-20110719,M1,9.35,9.78,measured,0.2,observed,-1.0,8.2,9.61
TAP_A01,24.0,,,727003.08,9684866.17,O,5.4,A,5.96,7.5,20090617-20090708,5.5,A,7.8,20100714-20100805,5.5,A,3.87,6.94,20110712-20110719,M1,6.81,7.5,measured,0.05,observed,-1.0,5.45,7.44
TAP_A01,25.0,,,726999.05,9684866.29,O,14.5,A,7.81,8.51,20090617-20090708,14.3,A,8.68,20100714-20100805,14.4,A,5.88,7.22,20110712-20110719,M1,13.76,8.51,measured,0.0,observed,-1.0,14.4,8.51
TAP_A01,26.0,,,726998.1,9684865.71,O,5.8,A,2.84,4.24,20090617-20090708,5.9,A,4.74,20100714-20100805,6.0,A,3.18,5.56,20110712-20110719,M1,7.27,4.24,measured,0.1,observed,-1.0,5.9,4.19
TAP_A01,27.0,,,726986.68,9684865.52,O,5.5,A,4.71,8.05,20090617-20090708,5.7,A,6.6,20100714-20100805,5.9,A,3.14,7.35,20110712-20110719,M1,7.18,8.05,measured,0.2,observed,-1.0,5.7,7.84
