site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2015,dead_2015,hcom_2015,htot_2015,date_2015,dbh_2016,dead_2016,date_2016,dbh_2018,dead_2018,date_2018,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap
TAP_A01,001a,Amaioua guianensis,Rubiaceae,726091.4554028,9683369.432992,O,18.6,False,13.03,16.91,20151210.0,18.8,False,20161011.0,19.1,False,20180829,1,16.65,16.91,measured,0.167,observed,-3.0,18.6,16.62
TAP_A01,001b,Couratari stellata,Lecythidaceae,726114.3534831118,9683379.10468088,O,80.0,False,28.7,50.4,20151210.0,80.0,False,20161011.0,82.8,False,20180829,1,36.49,50.4,measured,0.933,observed,-3.0,80.0,49.75
TAP_A01,002a,Tetragastris panamensis,Burseraceae,726095.913291472,9683371.78395728,O,34.1,False,13.81,19.34,20151210.0,34.5,False,20161011.0,,True,20180829,1,,19.34,measured,0.167,site_median,-3.0,,
TAP_A01,002b,Lecythis pisonis,Lecythidaceae,726118.3581828718,9683375.57670328,O,78.0,False,32.73,44.83,20151210.0,78.0,False,20161011.0,79.59999999999998,False,20180829,1,35.95,44.83,measured,0.533,observed,-3.0,78.0,44.48
TAP_A01,003a,Tachigali paniculata,Fabaceae,726096.9200179199,9683371.8400808,O,10.0,False,1.78,2.79,20151210.0,10.1,False,20161011.0,,True,20180829,1,,2.79,measured,0.167,site_median,-3.0,,
TAP_A01,003b,Astronium graveolens,Anacardiaceae,726119.9084536,9683373.583664,O,22.2,False,10.95,14.86,20151210.0,23.2,False,20161011.0,23.2,False,20180829,1,18.89,14.86,measured,0.333,observed,-3.0,22.2,14.45
TAP_A01,004a,Tetragastris panamensis,Burseraceae,726101.82261716,9683372.5890284,O,37.1,False,13.92,20.75,20151210.0,37.6,False,20161011.0,38.2,False,20180829,1,25.42,20.75,measured,0.367,observed,-3.0,37.1,20.42
TAP_A01,004b,Tachigali myrmecophila,Fabaceae,726122.023682784,9683373.28435616,O,36.6,False,15.74,24.01,20151210.0,36.6,False,20161011.0,10.0,False,20180829,1,10.62,24.01,measured,0.0,observed,-3.0,10.0,24.01
TAP_A01,005a,Quiina florida,Ochnaceae,726101.9530636,9683372.113604,O,13.1,False,5.92,8.08,20151210.0,14.5,False,20161011.0,14.3,False,20180829,1,13.69,8.08,measured,0.4,observed,-3.0,13.1,7.6
TAP_A01,005b,Swartzia corrugata,Fabaceae,726122.175240344,9683376.54816056,O,40.0,False,7.67,14.6,20151210.0,40.1,False,20161011.0,40.6,False,20180829,1,26.28,14.6,measured,0.2,observed,-3.0,40.0,14.48
