site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2015,dead_2015,hcom_2015,htot_2015,date_2015,dbh_2018,dead_2018,date_2018,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap
TAP_A03,001a,Pouteria gongrijpii,Sapotaceae,726694.04971088,9654190.352117602,O,10.5,False,,,20151209.0,,True,20180904,1,,11.51,local_fit,0.333,site_median,1.0,,
TAP_A03,001b,Nectandra cuspidata,Lauraceae,726713.804710752,9654198.88674304,O,20.5,False,,,20151209.0,,True,20180904,1,,16.15,local_fit,0.333,site_median,1.0,,
TAP_A03,002a,Virola michelii,Myristicaceae,726694.21579696,9654192.6566792,O,11.0,False,,,20151209.0,,True,20180904,1,,11.79,local_fit,0.333,site_median,1.0,,
TAP_A03,002b,Protium paniculatum,Burseraceae,726713.632982368,9654202.52646336,O,18.0,False,,,20151209.0,,True,20180904,1,,15.12,local_fit,0.333,site_median,1.0,,
TAP_A03,003a,Sterculia pruriens,Malvaceae,726692.129192992,9654193.16804784,O,13.9,False,,,20151209.0,14.7,False,20180904,1,13.95,13.27,local_fit,0.267,observed,1.0,14.97,13.44
TAP_A03,003b,,,726714.730627552,9654202.55504704,O,35.7,True,,,20151209.0,,True,20180904,1,,21.38,local_fit,0.333,site_median,1.0,,
TAP_A03,004a,Maquira coriacea,Moraceae,726697.5042864638,9654197.17297128,O,33.5,False,,,20151209.0,40.9,False,20180904,1,26.39,20.7,local_fit,2.467,observed,1.0,43.37,21.35
TAP_A03,004b,Pouteria macrophylla,Sapotaceae,726714.041329216,9654205.39098232,O,10.4,False,,,20151209.0,,True,20180904,1,,11.46,local_fit,0.333,site_median,1.0,,
TAP_A03,005a,Ocotea cernua,Lauraceae,726700.5252113598,9654196.6182872,O,24.7,False,,,20151209.0,25.8,False,20180904,1,20.19,17.75,local_fit,0.367,observed,1.0,26.17,17.91
TAP_A03,005b,Protium heptaphyllum,Burseraceae,726713.02436016,9654205.7426632,O,19.8,False,,,20151209.0,,True,20180904,1,,15.87,local_fit,0.333,site_median,1.0,,
TAP_A03,006a,,,726700.82955952,9654195.6224904,O,11.5,True,,,20151209.0,,True,20180904,1,,12.06,local_fit,0.333,site_median,1.0,,
TAP_A03,006b,Symphonia globulifera,Clusiaceae,726712.4471646398,9654204.3151728,O,10.6,False,,,20151209.0,,True,20180904,1,,11.57,local_fit,0.333,site_median,1.0,,
TAP_A03,007a,,,726700.631306592,9654199.38983584,O,21.5,True,,,20151209.0,,True,20180904,1,,16.54,local_fit,0.333,site_median,1.0,,
TAP_A03,007b,Duguetia surinamensis,Annonaceae,726712.18609808,9654205.3591016,O,11.0,False,,,20151209.0,,True,20180904,1,,11.79,local_fit,0.333,site_median,1.0,,
TAP_A03,008a,Sapium marmieri,Euphorbiaceae,726706.36395248,9654195.8167496,O,24.3,False,,,20151209.0,,True,20180904,1,,17.6,local_fit,0.333,site_median,1.0,,
TAP_A03,008b,Aniba parviflora,Lauraceae,726711.845630714,9654208.23007827,O,15.7,False,,,20151209.0,,True,20180904,1,,14.11,local_fit,0.333,site_median,1.0,,
TAP_A03,009a,Maquira coriacea,Moraceae,726706.9007518399,9654197.1993168,O,10.9,False,,,20151209.0,,True,20180904,1,,11.73,local_fit,0.333,site_median,1.0,,
TAP_A03,009b,Tachigali paniculata,Fabaceae,726713.640761312,9654210.93471824,O,12.1,False,,,20151209.0,,True,20180904,1,,12.37,local_fit,0.333,site_median,1.0,,
TAP_A03,010a,Maquira coriacea,Moraceae,726708.49274576,9654198.1392872,O,12.0,False,,,20151209.0,,True,20180904,1,,12.32,local_fit,0.333,site_median,1.0,,
TAP_A03,010b,Protium hebetatum,Burseraceae,726716.1629583999,9654204.251438,O,15.1,False,,,20151209.0,15.7,False,20180904,1,14.6,13.84,local_fit,0.2,observed,1.0,15.9,13.96
TAP_A03,011a,Cordia scabrifolia,Boraginaceae,726709.9234830398,9654199.7004808,O,11.0,False,,,20151209.0,,True,20180904,1,,11.79,local_fit,0.333,site_median,1.0,,
TAP_A03,011b,Protium paniculatum,Burseraceae,726717.644456224,9654209.85689648,O,14.1,False,,,20151209.0,,True,20180904,1,,13.36,local_fit,0.333,site_median,1.0,,
TAP_A03,012a,Strychnos subcordata,Loganiaceae,726705.48000144,9654202.2906088,O,11.8,False,,,20151209.0,,True,20180904,1,,12.21,local_fit,0.333,site_median,1.0,,
TAP_A03,012b,Apeiba petoumo,Malvaceae,726721.14924928,9654206.5046756,O,12.0,False,,,20151209.0,11.9,False,20180904,1,12.03,12.32,local_fit,0.0,observed,1.0,11.9,12.32
TAP_A03,013a,,,726708.32269744,9654209.3799288,O,41.7,True,,,20151209.0,,True,20180904,1,,23.13,local_fit,0.333,site_median,1.0,,
TAP_A03,013b,Inga thibaudiana,Fabaceae,726722.7034601918,9654212.19099584,O,12.4,False,,,20151209.0,13.5,False,20180904,1,13.15,12.52,local_fit,0.367,observed,1.0,13.87,12.76
TAP_A03,014a,,,726708.77513056,9654211.3358012,O,13.1,True,,,20151209.0,,True,20180904,1,,12.88,local_fit,0.333,site_median,1.0,,
TAP_A03,014b,Luehea speciosa,Malvaceae,726726.97874,9654218.7237,O,15.4,False,,,20151209.0,16.6,False,20180904,1,15.16,13.97,local_fit,0.4,observed,1.0,17.0,14.2
TAP_A03,015a,,,726707.5743620798,9654216.0046016,O,12.7,True,,,20151209.0,,True,20180904,1,,12.68,local_fit,0.333,site_median,1.0,,
TAP_A03,015b,Nectandra cuspidata,Lauraceae,726728.790305856,9654224.16251512,O,14.3,False,,,20151209.0,15.9,False,20180904,1,14.73,13.46,local_fit,0.533,observed,1.0,16.43,13.76
TAP_A03,016a,Eschweilera coriacea,Lecythidaceae,726708.444364,9654216.42346,O,15.2,False,,,20151209.0,,True,20180904,1,,13.88,local_fit,0.333,site_median,1.0,,
TAP_A03,016b,Pourouma minor,Urticaceae,726722.70808,9654216.71765,O,30.9,False,,,20151209.0,35.3,False,20180904,1,24.32,19.87,local_fit,1.467,observed,1.0,36.77,20.34
TAP_A03,017a,Eschweilera coriacea,Lecythidaceae,726703.899242208,9654226.34248816,O,10.7,False,13.51,22.58,20151209.0,11.5,False,20180904,1,11.75,22.58,measured,0.267,observed,1.0,11.77,22.95
TAP_A03,017b,Pourouma minor,Urticaceae,726721.2950584,9654219.030548,O,53.7,False,13.51,22.58,20151209.0,54.4,False,20180904,1,30.51,22.58,measured,0.233,observed,1.0,54.63,22.62
TAP_A03,018a,,,726700.4117060798,9654224.1249816,O,14.8,False,,,20151209.0,,True,20180904,1,,13.7,local_fit,0.333,site_median,1.0,,
TAP_A03,018b,Laetia procera,Salicaceae,726719.388905824,9654219.07546448,O,22.4,False,,,20151209.0,,True,20180904,1,,16.89,local_fit,0.333,site_median,1.0,,
TAP_A03,019a,Lecythis idatimon,Lecythidaceae,726700.64945008,9654219.6010016,O,14.8,False,,,20151209.0,,True,20180904,1,,13.7,local_fit,0.333,site_median,1.0,,
TAP_A03,019b,Protium paniculatum,Burseraceae,726714.0419976,9654213.233932,O,11.1,False,,,20151209.0,,True,20180904,1,,11.84,local_fit,0.333,site_median,1.0,,
TAP_A03,020a,Cordia scabrifolia,Boraginaceae,726697.71513712,9654222.7721424,O,22.5,False,,,20151209.0,22.3,False,20180904,1,18.42,16.93,local_fit,0.0,observed,1.0,22.3,16.93
