site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2010,dead_2010,hcom_2009,htot_2010,date_2010,dbh_2011,dead_2011,hcom_2011,htot_2011,date_2011,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap
TAP_A01,3001,,,727141.67,9664499.01,O,40.3,A,22.34,31.36,20100116-20100213,42.5,A,24.34,32.59,20110704-20110711,493.008928009,26.93,31.36,measured,2.2,observed,-2.0,38.1,29.57
TAP_A01,3002,,,727144.53,9664495.54,O,6.1,A,3.15,7.66,20100116-20100213,6.3,A,,6.81,20110704-20110711,493.008928009,7.54,7.66,measured,0.2,observed,-2.0,5.9,7.29
TAP_A01,3003,,,727144.92,9664496.03,O,21.6,A,14.89,19.04,20100116-20100213,21.7,A,14.75,20.65,20110704-20110711,493.008928009,18.1,19.04,measured,0.1,observed,-2.0,21.5,18.92
TAP_A01,3004,,,727149.66,9664495.34,O,9.9,A,9.77,13.36,20100116-20100213,10.5,A,6.57,12.33,20110704-20110711,493.008928009,11.0,13.36,measured,0.6,observed,-2.0,9.3,12.24
TAP_A01,3005,,,727152.81,9664495.31,O,5.3,A,4.89,8.21,20100116-20100213,6.3,A,2.45,10.64,20110704-20110711,493.008928009,7.54,8.21,measured,1.0,observed,-2.0,4.3,6.14
TAP_A01,3006,,,727153.11,9664496.21,O,49.4,A,26.01,42.61,20100116-20100213,48.2,A,22.94,31.92,20110704-20110711,493.008928009,28.75,42.61,measured,0.0,observed,-2.0,48.2,42.61
TAP_A01,3007,,,727159.42,9664495.61,O,16.9,A,15.27,18.23,20100116-20100213,18.2,A,14.31,20.18,20110704-20110711,493.008928009,16.13,18.23,measured,1.3,observed,-2.0,15.6,16.43
TAP_A01,3008,,,727168.09,9664495.33,O,5.5,A,3.13,7.4,20100116-20100213,5.8,A,0.29,7.6,20110704-20110711,493.008928009,7.09,7.4,measured,0.3,observed,-2.0,5.2,6.81
TAP_A01,3009,,,727173.71,9664495.33,O,29.0,A,16.3,22.24,20100116-20100213,29.2,A,15.69,25.32,20110704-20110711,493.008928009,21.77,22.24,measured,0.2,observed,-2.0,28.8,22.06
TAP_A01,3010,Carapa guianensis,Meliaceae,727186.53,9664496.32,O,30.5,A,15.66,22.3,20100116-20100213,31.7,A,18.56,24.88,20110704-20110711,493.008928009,22.86,22.3,measured,1.2,observed,-2.0,29.3,21.29
TAP_A01,3011,,,727187.12,9664495.19,O,9.6,A,4.75,11.71,20100116-20100213,10.2,A,5.79,10.84,20110704-20110711,493.008928009,10.78,11.71,measured,0.6,observed,-2.0,9.0,10.69
TAP_A01,3012,,,727198.76,9664495.51,O,21.0,A,14.31,20.4,20100116-20100213,19.9,D,1.96,12.54,20110704-20110711,493.008928009,17.11,20.4,measured,0.0,observed,-2.0,19.9,20.4
TAP_A01,3013,,,727220.45,9664495.42,O,9.2,A,4.44,12.23,20100116-20100213,9.5,A,4.48,11.33,20110704-20110711,493.008928009,10.23,12.23,measured,0.3,observed,-2.0,8.9,11.67
TAP_A01,3014,,,727224.29,9664495.04,O,5.0,A,1.77,4.93,20100116-20100213,5.3,A,2.02,4.63,20110704-20110711,493.008928009,6.62,4.93,measured,0.3,observed,-2.0,4.7,4.5
TAP_A01,3015,,,727227.45,9664495.21,O,6.5,A,4.53,6.36,20100116-20100213,6.8,A,3.18,7.0,20110704-20110711,493.008928009,7.99,6.36,measured,0.3,observed,-2.0,6.2,5.93
TAP_A01,3016,,,727234.45,9664494.9,O,8.0,A,4.71,10.69,20100116-20100213,8.4,A,4.88,7.7,20110704-20110711,493.008928009,9.35,10.69,measured,0.4,observed,-2.0,7.6,9.92
TAP_A01,3017,Bertholletia excelsa,Lecythidaceae,727235.73,9664500.79,O,98.5,A,35.34,47.32,20100116-20100213,101.4,A,28.98,49.43,20110704-20110711,493.008928009,39.14,47.32,measured,2.9,observed,-2.0,95.6,46.41
TAP_A01,3018,,,727237.9,9664495.07,L,7.1,A,,,20100116-20100213,7.5,A,,,20110704-20110711,493.008928009,8.6,8.59,local_fit,0.4,observed,-2.0,6.7,7.89
TAP_A01,3019,,,727238.79,9664495.46,O,13.0,A,9.23,15.3,20100116-20100213,13.7,A,8.76,11.64,20110704-20110711,493.008928009,13.29,15.3,measured,0.7,observed,-2.0,12.3,14.18
TAP_A01,3020,,,727240.96,9664494.64,O,5.1,A,,1.31,20100116-20100213,5.1,A,,1.31,20110704-20110711,493.008928009,6.43,1.31,measured,0.0,observed,-2.0,5.1,1.31
TAP_A01,3021,,,727245.0,9664494.76,O,5.4,A,3.17,9.46,20100116-20100213,5.7,A,3.04,7.62,20110704-20110711,493.008928009,6.99,9.46,measured,0.3,observed,-2.0,5.1,8.7
TAP_A01,3022,,,727246.38,9664494.99,O,9.9,A,7.5,12.21,20100116-20100213,11.1,A,8.22,12.91,20110704-20110711,493.008928009,11.45,12.21,measured,1.2,observed,-2.0,8.7,10.24
TAP_A01,3023,,,727271.72,9664494.67,O,5.6,D,,4.1,20100116-20100213,5.6,D,,4.1,20110704-20110711,493.008928009,6.9,4.1,measured,0.0,observed,-2.0,5.6,4.1
TAP_A01,3024,,,727287.99,9664494.18,O,14.2,A,8.09,15.6,20100116-20100213,15.0,A,10.67,15.4,20110704-20110711,493.008928009,14.15,15.6,measured,0.8,observed,-2.0,13.4,14.42
TAP_A01,3025,,,727289.76,9664496.01,O,20.5,A,13.03,17.4,20100116-20100213,21.1,A,10.08,14.26,20110704-20110711,493.008928009,17.78,17.4,measured,0.6,observed,-2.0,19.9,16.74
TAP_A01,3026,,,727293.02,9664494.04,O,8.6,A,9.37,12.4,20100116-20100213,8.7,A,5.33,13.47,20110704-20110711,493.008928009,9.6,12.4,measured,0.1,observed,-2.0,8.5,12.18
TAP_A01,3027,,,727298.34,9664493.99,O,8.9,A,5.49,9.21,20100116-20100213,9.6,A,5.48,7.9,20110704-20110711,493.008928009,10.31,9.21,measured,0.7,observed,-2.0,8.2,8.21
TAP_A01,3028,,,727301.99,9664494.16,O,17.1,D,,2.0,20100116-20100213,17.1,D,,2.0,20110704-20110711,493.008928009,15.47,2.0,measured,0.0,observed,-2.0,17.1,2.0
TAP_A01,3029,Astrocaryum gynacanthum,Arecaceae,727303.67,9664494.39,P,5.7,A,1.62,5.31,20100116-20100213,5.0,A,2.37,5.7,20110704-20110711,493.008928009,6.33,5.31,measured,0.0,observed,-2.0,5.0,5.31
TAP_A01,3030,Inga marginata,Fabaceae,727312.64,9664497.26,O,34.5,D,,7.5,20100116-20100213,34.5,D,,4.31,20110704-20110711,493.008928009,24.01,7.5,measured,0.0,observed,-2.0,34.5,7.5
TAP_A01,3031,,,727322.6,9664494.73,O,13.9,A,7.2,13.11,20100116-20100213,14.3,A,8.18,12.27,20110704-20110711,493.008928009,13.69,13.11,measured,0.4,observed,-2.0,13.5,12.59
TAP_A01,3032,,,727332.46,9664494.14,O,9.0,A,6.04,11.14,20100116-20100213,9.1,A,5.19,8.53,20110704-20110711,493.008928009,9.92,11.14,measured,0.1,observed,-2.0,8.9,10.96
TAP_A01,3033,Theobroma glaucum,Malvaceae,727337.68,9664494.29,O,10.3,A,9.1,12.28,20100116-20100213,10.3,A,10.67,12.62,20110704-20110711,493.008928009,10.85,12.28,measured,0.0,observed,-2.0,10.3,12.28
TAP_A01,3034,,,727337.88,9664494.29,O,10.1,A,9.0,11.14,20100116-20100213,10.2,A,9.54,11.93,20110704-20110711,493.008928009,10.78,11.14,measured,0.1,observed,-2.0,10.0,10.97
TAP_A01,3035,,,727356.22,9664494.03,O,8.5,A,7.12,12.7,20100116-20100213,11.8,A,0.82,1.51,20110704-20110711,493.008928009,11.96,12.7,measured,3.3,observed,-2.0,5.2,6.92
TAP_A01,3036,,,727366.97,9664494.09,O,8.7,A,6.05,11.94,20100116-20100213,9.1,A,3.29,10.91,20110704-20110711,493.008928009,9.92,11.94,measured,0.4,observed,-2.0,8.3,11.16
TAP_A01,3037,,,727379.98,9664493.52,O,7.1,A,1.77,8.81,20100116-20100213,7.3,A,2.05,8.48,20110704-20110711,493.008928009,8.43,8.81,measured,0.2,observed,-2.0,6.9,8.44
TAP_A01,3038,,,727380.47,9664494.92,O,20.8,A,18.7,26.53,20100116-20100213,21.1,A,16.25,22.92,20110704-20110711,493.008928009,17.78,26.53,measured,0.3,observed,-2.0,20.5,26.04
TAP_A01,3039,Virola sebifera,Myristicaceae,727384.81,9664493.78,O,19.6,A,14.0,16.75,20100116-20100213,19.7,A,15.49,21.04,20110704-20110711,493.008928009,17.0,16.75,measured,0.1,observed,-2.0,19.5,16.63
TAP_A01,3040,,,727391.32,9664494.17,O,15.5,A,13.05,19.45,20100116-20100213,15.9,A,7.81,17.19,20110704-20110711,493.008928009,14.73,19.45,measured,0.4,observed,-2.0,15.1,18.76
TAP_A01,3041,,,727385.11,9664499.58,O,111.2,D,,32.93,20100116-20100213,111.2,D,,30.42,20110704-20110711,493.008928009,40.25,32.93,measured,0.0,observed,-2.0,111.2,32.93
TAP_A01,3042,,,727394.48,9664493.45,O,16.9,A,20.01,23.68,20100116-20100213,17.0,A,14.3,19.34,20110704-20110711,493.008928009,15.41,23.68,measured,0.1,observed,-2.0,16.8,23.5
TAP_A01,3043,,,727399.9,9664496.65,O,36.3,A,27.97,33.78,20100116-20100213,38.1,A,24.81,35.34,20110704-20110711,493.008928009,25.39,33.78,measured,1.8,observed,-2.0,34.5,31.94
TAP_A01,3044,,,727400.1,9664493.35,O,6.7,A,5.12,10.27,20100116-20100213,6.8,A,10.57,19.22,20110704-20110711,493.008928009,7.99,10.27,measured,0.1,observed,-2.0,6.6,10.04
TAP_A01,3045,,,727401.67,9664494.13,O,15.2,A,12.88,18.02,20100116-20100213,15.7,A,9.69,18.12,20110704-20110711,493.008928009,14.6,18.02,measured,0.5,observed,-2.0,14.7,17.22
TAP_A01,3046,Inga marginata,Fabaceae,727411.24,9664493.25,O,48.9,A,25.48,32.65,20100116-20100213,48.8,D,2.68,22.12,20110704-20110711,493.008928009,28.93,32.65,measured,0.0,observed,-2.0,48.8,32.65
TAP_A01,3047,Jacaranda copaia,Bignoniaceae,727415.97,9664495.31,O,49.5,A,25.23,34.8,20100116-20100213,50.4,A,27.12,35.93,20110704-20110711,493.008928009,29.4,34.8,measured,0.9,observed,-2.0,48.6,34.17
TAP_A01,3048,,,727418.14,9664493.94,O,33.1,A,19.59,29.69,20100116-20100213,33.7,A,19.66,29.97,20110704-20110711,493.008928009,23.69,29.69,measured,0.6,observed,-2.0,32.5,29.08
TAP_A01,3049,,,727420.21,9664493.12,O,9.2,A,5.12,10.86,20100116-20100213,9.3,A,7.11,9.87,20110704-20110711,493.008928009,10.08,10.86,measured,0.1,observed,-2.0,9.1,10.69
TAP_A01,3050,,,727420.8,9664493.49,O,22.7,A,18.69,23.81,20100116-20100213,23.4,A,14.35,23.36,20110704-20110711,493.008928009,18.99,23.81,measured,0.7,observed,-2.0,22.0,22.89
TAP_A01,3051,,,727434.11,9664492.85,O,11.1,A,5.39,14.51,20100116-20100213,11.6,A,7.4,12.98,20110704-20110711,493.008928009,11.82,14.51,measured,0.5,observed,-2.0,10.6,13.6
