site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2013,dead_2013,hcom_2013,htot_2013,date_2013,dbh_2018,htot_2018,dead_2018,date_2018,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
AND_A01,1,,,296471.6252,9718217.154,O,13.0,True,,7.9,20130822.0,,,True,20180321,1,,7.9,measured,0.36,site_median,0.0,,7.9,13.0,True,O,7.9,measured,13.0,7.9,0.633,22.9595,18.4589,18.4589,22.9595,18.4589,18.4589,
AND_A01,2,,,296474.207,9718214.32,O,21.0,True,,6.0,20130822.0,,,True,20180321,1,,6.0,measured,0.36,site_median,0.0,,6.0,21.0,True,O,6.0,measured,21.0,6.0,0.633,44.7619,38.4615,38.4615,44.7619,38.4615,38.4615,
AND_A01,3,Guatteria schomburgkiana,Annonaceae,296475.731,9718211.616,O,11.6,False,3.17,5.45,20130822.0,,,True,20180321,1,,5.45,measured,0.36,site_median,0.0,,5.45,11.6,False,O,5.45,measured,11.6,5.45,0.6,12.794,12.794,12.794,12.794,12.794,12.794,
AND_A01,4,Eperua bijuga,Fabaceae,296473.7785,9718209.724,O,142.0,False,6.21,10.56,20130822.0,,,True,20180321,1,,10.56,measured,0.36,site_median,0.0,,10.56,142.0,False,O,10.56,measured,142.0,10.56,0.729,3242.0785,3242.0785,3920.7574,3242.0785,3242.0785,3920.7574,
AND_A01,5,,,296478.0885,9718208.032,O,15.3,True,,7.16,20130822.0,,,True,20180321,1,,7.16,measured,0.36,site_median,0.0,,7.16,15.3,True,O,7.16,measured,15.3,7.16,0.633,28.6664,23.5918,23.5918,28.6664,23.5918,23.5918,
AND_A01,6,Lecythis idatimon,Lecythidaceae,296481.0013,9718202.683,O,41.5,False,16.49,26.11,20130822.0,,,True,20180321,1,,26.11,measured,0.36,site_median,0.0,,26.11,41.5,False,O,26.11,measured,41.5,26.11,0.7986,710.7127,710.7127,939.4565,710.7127,710.7127,939.4565,
AND_A01,7,Euterpe oleracea,Arecaceae,296481.084,9718202.495,P,11.6,False,,5.22,20130822.0,,,True,20180321,1,,5.22,measured,0.36,site_median,0.0,,5.22,11.6,False,P,5.22,measured,11.6,5.22,0.3877,12.2667,15.9231,15.9231,12.2667,15.9231,15.9231,
AND_A01,8,Vismia guianensis,Clusiaceae,296477.6213,9718200.98,O,10.6,False,3.71,7.5,20130822.0,,,True,20180321,1,,7.5,measured,0.36,site_median,0.0,,7.5,10.6,False,O,7.5,measured,10.6,7.5,0.475,14.6527,14.6527,11.6653,14.6527,14.6527,11.6653,
AND_A01,9,,,296481.5953,9718192.956,O,18.1,True,,2.46,20130822.0,,,True,20180321,1,,2.46,measured,0.36,site_median,0.0,,2.46,18.1,True,O,2.46,measured,18.1,2.46,0.633,14.0282,13.7785,13.7785,14.0282,13.7785,13.7785,
AND_A01,11,Croton matourensis,Euphorbiaceae,296488.3847,9718177.767,O,10.8,False,7.69,10.57,20130822.0,,,True,20180321,1,,10.57,measured,0.36,site_median,0.0,,10.57,10.8,False,O,10.57,measured,10.8,10.57,0.3883,21.2423,21.2423,13.8928,21.2423,21.2423,13.8928,
AND_A01,12,,,296491.8467,9718178.307,O,11.5,True,,3.59,20130822.0,,,True,20180321,1,,3.59,measured,0.36,site_median,0.0,,3.59,11.5,True,O,3.59,measured,11.5,3.59,0.633,8.3698,7.5774,7.5774,8.3698,7.5774,7.5774,
