site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2014,dead_2014,dbh_2018,dead_2018,plot_id,htot_feldpausch,dbh_used,dead_used,type_used,htot_used,htot_source,iagc_m1_kgC,iagc_m2_kgC,rho_w_m3,iagc_m3_kgC
CAU_A01,001a,Guatteria schomburgkiana,Annonaceae,778461.3817,9586860.759,O,26.9,False,29.5,False,T01,21.91,26.9,False,O,21.91,feldpausch,256.9237,256.9237,0.6,256.9237
CAU_A01,002a,Inga sp.,Fabaceae,778455.3616,9586860.854,O,13.0,False,17.2,False,T01,15.53,13.0,False,O,15.53,feldpausch,44.408,44.408,0.5786,42.8586
CAU_A01,003a,Tachigali myrmecophila,Fabaceae,778451.1685,9586863.577,O,10.7,False,12.5,False,T01,12.46,10.7,False,O,12.46,feldpausch,24.4931,24.4931,0.476,19.5394
CAU_A01,004a,Sloanea guianensis,Elaeocarpaceae,778450.942,9586863.963,O,14.0,False,14.1,False,T01,13.56,14.0,False,O,13.56,feldpausch,44.956,44.956,0.8212,61.0681
CAU_A01,005a,Simaba cedron,Simaroubaceae,778450.9285,9586864.163,O,17.0,False,17.2,False,T01,15.53,17.0,False,O,15.53,feldpausch,74.9688,74.9688,0.4743,59.6022
CAU_A01,005b,Licania canescens,Chrysobalanaceae,778444.1712,9586870.399,O,14.9,False,15.0,False,T01,14.15,14.9,False,O,14.15,feldpausch,52.9247,52.9247,0.88,76.9127
CAU_A01,006a,,,778450.2651,9586862.113,O,33.2,True,,True,T01,,33.2,True,O,,feldpausch,,,0.7301,
CAU_A01,006b,Anacardium spruceanum,Anacardiaceae,778443.5294,9586872.461,O,78.9,False,80.1,False,T01,36.04,78.9,False,O,36.04,feldpausch,3411.748,3411.748,0.4792,2739.405
CAU_A01,007a,Licania octandra,Chrysobalanaceae,778447.2046,9586862.909,O,10.8,False,10.7,False,T01,11.15,10.8,False,O,11.15,feldpausch,22.3792,22.3792,0.825,30.5371
CAU_A01,007b,Protium paniculatum,Burseraceae,778443.2246,9586869.534,O,14.7,False,14.7,False,T01,13.95,14.7,False,O,13.95,feldpausch,50.8357,50.8357,0.49,41.7181
CAU_A01,008a,,,778445.1484,9586863.672,L,27.5,False,16.1,False,T01,14.85,27.5,False,L,14.85,feldpausch,183.503,183.503,0.7301,222.2422
CAU_A01,009a,Spondias sp.,Anacardiaceae,778445.418,9586859.681,O,20.7,False,21.3,False,T01,17.88,20.7,False,O,17.88,feldpausch,126.3413,126.3413,0.3627,77.3066
CAU_A01,010a,Mucuna rostrata,Fabaceae,778434.315,9586860.835,O,10.8,False,10.8,False,T01,11.23,10.8,False,O,11.23,feldpausch,22.5359,22.5359,0.7301,27.2934
CAU_A01,010b,Pouteria hispida,Sapotaceae,778433.713,9586868.991,O,27.7,False,28.4,False,T01,21.41,27.7,False,O,21.41,feldpausch,265.9886,265.9886,0.874,383.9747
CAU_A01,011a,Nectandra cuspidata,Lauraceae,778442.4249,9586859.479,O,34.3,False,36.5,False,T01,24.79,34.3,False,O,24.79,feldpausch,465.767,465.767,0.518,403.5329
CAU_A01,012a,,,778436.4385,9586859.074,L,10.7,False,10.8,False,T01,11.23,10.7,False,L,11.23,feldpausch,22.1304,22.1304,0.7301,26.8023
CAU_A01,012b,Licania canescens,Chrysobalanaceae,778427.1563,9586869.342,O,15.3,False,15.9,False,T01,14.73,15.3,False,O,14.73,feldpausch,57.9621,57.9621,0.88,84.2333
CAU_A01,013a,Licania canescens,Chrysobalanaceae,778434.5145,9586860.849,O,14.4,False,14.4,False,T01,13.76,14.4,False,O,13.76,feldpausch,48.181,48.181,0.88,70.0189
CAU_A01,013b,Lecythis idatimon,Lecythidaceae,778423.2009,9586868.382,O,16.5,False,17.0,False,T01,15.41,16.5,False,O,15.41,feldpausch,70.1915,70.1915,0.7986,92.7828
CAU_A01,014a,Pouteria gongrijpii,Sapotaceae,778435.2318,9586862.1,O,13.0,False,13.1,False,T01,12.88,13.0,False,O,12.88,feldpausch,36.9961,36.9961,0.7994,48.9529
CAU_A01,014b,Lecythis idatimon,Lecythidaceae,778417.1911,9586868.076,O,12.0,False,12.2,False,T01,12.25,12.0,False,O,12.25,feldpausch,30.1331,30.1331,0.7986,39.8314
CAU_A01,015a,Pouteria oppositifolia,Sapotaceae,778430.1893,9586862.561,O,28.1,False,28.8,False,T01,21.59,28.1,False,O,21.59,feldpausch,275.7821,275.7821,0.65,298.1905
CAU_A01,016a,Lecythis idatimon,Lecythidaceae,778428.396,9586859.433,O,11.7,False,11.9,False,T01,12.03,11.7,False,O,12.03,feldpausch,28.1773,28.1773,0.7986,37.2461
CAU_A01,016b,Pouteria sp.,Sapotaceae,778413.8796,9586872.463,O,46.5,False,45.1,False,T01,27.79,46.5,False,O,27.79,feldpausch,943.1137,943.1137,0.7187,1124.8527
CAU_A01,017a,Caryocar glabrum,Caryocaraceae,778414.2459,9586861.183,O,19.7,False,14.4,False,T01,13.76,19.7,False,O,13.76,feldpausch,88.8281,88.8281,0.6536,96.5608
CAU_A01,018a,,,778433.3582,9586889.837,O,38.4,True,,True,T01,,38.4,True,O,,feldpausch,,,0.7301,
CAU_A01,019a,Eschweilera coriacea,Lecythidaceae,778420.8463,9586897.01,O,35.4,False,36.7,False,T01,24.86,35.4,False,O,24.86,feldpausch,496.7343,496.7343,0.8521,699.5182
CAU_A01,020a,Brosimum rubescens,Moraceae,778411.7993,9586897.401,O,66.0,False,78.5,False,T01,35.76,66.0,False,O,35.76,feldpausch,2389.6067,2389.6067,0.8251,3261.2436
CAU_A01,021a,Pouteria hispida,Sapotaceae,778430.4865,9586902.672,O,54.7,False,54.2,False,T01,30.46,54.7,False,O,30.46,feldpausch,1416.2252,1416.2252,0.874,2044.4282
CAU_A01,022a,Tachigali myrmecophila,Fabaceae,778441.4615,9586903.414,O,41.0,False,46.5,False,T01,28.23,41.0,False,O,28.23,feldpausch,749.0462,749.0462,0.476,597.5543
CAU_A01,023a,Eschweilera coriacea,Lecythidaceae,778445.3176,9586905.679,O,37.5,False,37.9,False,T01,25.31,37.5,False,O,25.31,feldpausch,565.6957,565.6957,0.8521,796.632
CAU_A01,024a,Eschweilera coriacea,Lecythidaceae,778448.7152,9586899.895,O,39.3,False,40.1,False,T01,26.11,39.3,False,O,26.11,feldpausch,639.0259,639.0259,0.8521,899.8981
CAU_A01,025a,,,778454.1756,9586893.248,O,68.6,True,,True,T01,,68.6,True,O,,feldpausch,,,0.7301,
CAU_A01,026a,Manilkara amazonica,Sapotaceae,778458.8405,9586883.54,O,68.0,False,69.0,False,T01,33.95,68.0,False,O,33.95,feldpausch,2407.785,2407.785,0.8854,3520.234
CAU_A01,027a,Licania octandra,Chrysobalanaceae,778452.0586,9586880.075,O,47.8,False,48.5,False,T01,28.84,47.8,False,O,28.84,feldpausch,1031.9516,1031.9516,0.825,1408.13
CAU_A01,142a,Lecythis idatimon,Lecythidaceae,778424.2756,9586867.352,O,37.0,False,37.5,False,T01,25.16,37.0,False,O,25.16,feldpausch,547.8782,547.8782,0.7986,724.2136
CAU_A01,143a,Licania canescens,Chrysobalanaceae,778430.7856,9586867.691,O,14.0,False,14.1,False,T01,13.56,14.0,False,O,13.56,feldpausch,44.956,44.956,0.88,65.3322
CAU_A01,144a,Lecythis idatimon,Lecythidaceae,778430.7918,9586867.599,O,27.7,False,27.7,False,T01,21.09,27.7,False,O,21.09,feldpausch,262.1078,262.1078,0.7986,346.4675
CAU_A01,145a,Pouteria sp.,Sapotaceae,778433.8613,9586866.796,O,53.5,False,54.2,False,T01,30.46,53.5,False,O,30.46,feldpausch,1356.2122,1356.2122,0.7187,1617.5557
CAU_A01,147a,,,778448.7679,9586869.307,O,23.2,False,24.0,False,T01,19.3,23.2,False,O,19.3,feldpausch,170.058,170.058,0.7301,205.9589
CAU_A01,148a,Eschweilera parviflora,Lecythidaceae,778457.8056,9586869.424,O,11.6,False,12.5,False,T01,12.46,11.6,False,O,12.46,feldpausch,28.6753,28.6753,0.918,43.4277
CAU_A01,153a,Tapirira guianensis,Anacardiaceae,778435.5875,9586878.439,O,36.9,False,38.7,False,T01,25.61,36.9,False,O,25.61,feldpausch,554.503,554.503,0.457,425.1151
CAU_A01,154a,Eschweilera parviflora,Lecythidaceae,778436.8815,9586859.283,O,39.0,False,40.5,False,T01,26.25,39.0,False,O,26.25,feldpausch,632.8328,632.8328,0.918,958.4023
