site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh_2009,type_2009,dead_2009,hcom_2009,htot_2009,dbh_2011,type_2011,dead_2011,hcom_2011,htot_2011,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
DUC_A01,1001,Sloanea guianensis,Elaeocarpaceae,173084.5705,9674548.727,27.1,O,False,8.66,19.83,27.4,O,False,8.03,16.55,T01,20.95,19.83,measured,0.15,observed,-1.0,27.25,19.76,27.1,False,O,19.83,measured,26.950000000000003,19.76274187813734,0.8212,236.4851,236.4851,321.2405,233.1623,233.1623,316.7268,
DUC_A01,1002,Sterculia pruriens,Malvaceae,173086.79,9674526.441,9.9,O,False,9.6,14.36,10.7,O,False,9.25,14.94,T01,11.15,14.36,measured,0.4,observed,-1.0,10.3,13.97,9.9,False,O,14.36,measured,9.5,13.93593256834488,0.4862,24.1726,24.1726,19.687,21.6598,21.6598,17.6405,
DUC_A01,1003,Pouteria macrophylla,Sapotaceae,173086.91,9674525.236,12.0,O,False,14.16,19.53,12.3,O,False,17.23,19.65,T01,12.32,19.53,measured,0.15,observed,-1.0,12.15,19.36,12.0,False,O,19.53,measured,11.85,19.356376963480418,0.737,47.5059,47.5059,58.0658,45.9514,45.9514,56.1658,
DUC_A01,1004,Qualea paraensis,Vochysiaceae,173084.7413,9674523.804,42.7,O,False,17.27,25.65,43.5,O,False,19.87,32.02,T01,27.27,25.65,measured,0.4,observed,-1.0,43.1,25.53,42.7,False,O,25.65,measured,42.300000000000004,25.522124934571654,0.6893,738.4569,738.4569,845.5836,721.486,721.486,826.1507,
DUC_A01,1005,Zygia racemosa,Fabaceae,173087.0709,9674521.603,14.8,O,False,11.77,16.24,15.2,O,False,12.69,16.41,T01,14.28,16.24,measured,0.2,observed,-1.0,15.0,16.09,14.8,False,O,16.24,measured,14.600000000000001,16.08826023455164,0.748,59.7508,59.7508,74.0962,57.6541,57.6541,71.4962,
DUC_A01,1007,Protium heptaphyllum,Burseraceae,173087.8697,9674515.599,14.4,O,False,13.21,19.32,15.0,O,False,15.82,19.38,T01,14.15,19.32,measured,0.3,observed,-1.0,14.7,19.05,14.4,False,O,19.32,measured,14.1,19.04011452295663,0.6293,67.1007,67.1007,70.297,63.4883,63.4883,66.5125,
DUC_A01,1008,,,173087.8697,9674515.599,13.7,L,False,10.13,13.61,11.4,L,False,0.0,0.0,T01,11.67,13.61,measured,0.0,observed,-1.0,11.4,13.61,13.7,False,L,13.61,measured,13.7,13.61,0.6681,43.2499,43.2499,48.0338,43.2499,43.2499,48.0338,
DUC_A01,1009,Virola elongata,Myristicaceae,173087.6121,9674513.14,11.5,O,False,5.65,9.08,11.6,O,False,5.91,10.32,T01,11.82,9.08,measured,0.05,observed,-1.0,11.55,9.05,11.5,False,O,9.08,measured,11.45,9.051824307828403,0.5233,20.7031,20.7031,18.117,20.4656,20.4656,17.9092,
DUC_A01,1010,Protium heptaphyllum,Burseraceae,173088.7328,9674499.869,12.1,O,False,5.99,19.81,12.0,O,False,12.71,17.99,T01,12.11,19.81,measured,0.0,observed,-1.0,12.0,19.81,12.1,False,O,19.81,measured,12.1,19.81,0.6293,48.9572,48.9572,51.2893,48.9572,48.9572,51.2893,
DUC_A01,1011,Ocotea canaliculata,Lauraceae,173089.2917,9674496.275,17.8,O,False,10.71,24.08,17.9,O,False,11.22,15.34,T01,15.95,24.08,measured,0.05,observed,-1.0,17.85,24.03,17.8,False,O,24.08,measured,17.75,24.034722190870333,0.4793,125.828,125.828,101.0657,124.9093,124.9093,100.3279,
DUC_A01,1013,Licania guianensis,Chrysobalanaceae,173089.8725,9674488.425,25.3,O,False,16.37,24.63,25.9,O,False,17.45,25.59,T01,20.24,24.63,measured,0.3,observed,-1.0,25.6,24.45,25.3,False,O,24.63,measured,25.0,24.447625465946544,0.8165,255.5178,255.5178,345.1534,247.8327,247.8327,334.7723,
DUC_A01,1014,Simarouba amara,Simaroubaceae,173090.3919,9674484.219,27.0,O,False,22.5,29.61,28.4,O,False,25.03,33.13,T01,21.41,29.61,measured,0.7,observed,-1.0,27.7,29.17,27.0,False,O,29.61,measured,26.3,29.136043775847234,0.3833,347.2215,347.2215,224.2342,324.7122,324.7122,209.6977,
DUC_A01,1015,,,173090.4724,9674482.402,33.1,O,True,,5.94,33.1,O,True,1.36,4.89,T01,23.44,5.94,measured,0.0,observed,-1.0,33.1,5.94,33.1,True,O,5.94,measured,33.1,5.94,0.6681,107.7409,94.7704,94.7704,107.7409,94.7704,94.7704,
DUC_A01,1016,,,173091.2712,9674476.398,10.6,O,False,10.13,20.16,10.8,O,False,13.53,20.01,T01,11.23,20.16,measured,0.1,observed,-1.0,10.7,20.02,10.6,False,O,20.16,measured,10.5,20.02283632964413,0.6681,38.4628,38.4628,42.7172,37.5069,37.5069,41.6556,
DUC_A01,1017,Brosimum rubescens,Moraceae,173087.2514,9674475.39,82.3,O,False,16.93,37.3,83.1,O,False,28.28,38.58,T01,36.54,37.3,measured,0.4,observed,-1.0,82.7,37.24,82.3,False,O,37.3,measured,81.89999999999999,37.231953312539744,0.8251,3830.9721,3830.9721,5228.364,3787.9541,3787.9541,5169.6546,
DUC_A01,1018,Cordia scabrifolia,Boraginaceae,173091.9706,9674470.385,10.2,O,False,13.46,15.3,10.7,O,False,12.86,14.5,T01,11.15,15.3,measured,0.25,observed,-1.0,10.45,15.05,10.2,False,O,15.3,measured,9.95,15.02761080104686,0.474,27.2588,27.2588,21.6566,25.5185,25.5185,20.274,
DUC_A01,1019,Protium heptaphyllum,Burseraceae,173095.239,9674447.254,10.9,O,False,16.1,19.98,11.8,O,False,16.38,20.51,T01,11.96,19.98,measured,0.45,observed,-1.0,11.35,19.45,10.9,False,O,19.98,measured,10.450000000000001,19.383173819245563,0.6293,40.2623,40.2623,42.1801,36.0,36.0,37.7148,
DUC_A01,1020,Ocotea canaliculata,Lauraceae,173090.3059,9674445.005,62.0,O,False,25.6,40.01,62.0,O,False,27.18,37.52,T01,32.41,40.01,measured,0.0,observed,-1.0,62.0,40.01,62.0,False,O,40.01,measured,62.0,40.01,0.4793,2360.0748,2360.0748,1895.6252,2360.0748,2360.0748,1895.6252,
DUC_A01,1021,Oenocarpus bacaba,Arecaceae,173096.0448,9674444.509,14.2,P,False,11.74,20.64,14.2,P,False,16.23,23.85,T01,13.62,20.64,measured,0.0,observed,-1.0,14.2,20.64,14.2,False,P,20.64,measured,14.2,20.64,0.65,69.6441,27.7594,27.7594,69.6441,27.7594,27.7594,
DUC_A01,1022,,,173095.6785,9674441.508,50.4,O,True,,15.2,,O,False,,,T01,,15.2,measured,0.15,site_median,-1.0,,,50.4,True,O,15.2,measured,50.25,15.177586005462008,0.6681,612.4695,473.8802,473.8802,608.04,470.4954,470.4954,
DUC_A01,1023,Chrysophyllum sanguinolentum,Sapotaceae,173099.7323,9674427.208,19.1,O,False,10.53,16.32,19.8,O,False,15.04,20.77,T01,17.05,16.32,measured,0.35,observed,-1.0,19.45,16.14,19.1,False,O,16.32,measured,18.75,16.121539279187274,0.6714,98.7763,98.7763,110.2328,94.143,94.143,105.0621,
DUC_A01,1024,Brosimum parinarioides,Moraceae,173097.803,9674426.201,36.5,O,False,26.1,32.2,37.7,O,False,36.05,47.73,T01,25.24,32.2,measured,0.6,observed,-1.0,37.1,31.91,36.5,False,O,32.2,measured,35.9,31.901311610238874,0.6306,678.7716,678.7716,712.5654,651.2117,651.2117,683.6334,
DUC_A01,1025,Ocotea cernua,Lauraceae,173099.2682,9674424.186,18.4,O,False,16.42,22.41,18.6,O,False,19.53,26.96,T01,16.36,22.41,measured,0.1,observed,-1.0,18.5,22.34,18.4,False,O,22.41,measured,18.299999999999997,22.328897489454675,0.4535,125.1458,125.1458,95.227,123.3842,123.3842,93.8866,
DUC_A01,1026,Virola michelii,Myristicaceae,173100.9533,9674421.634,6.0,O,False,5.45,9.23,6.7,O,False,8.33,10.83,T01,7.9,9.23,measured,0.35,observed,-1.0,6.35,8.87,6.0,False,O,9.23,measured,5.65,8.818500626461063,0.4701,5.9081,5.9081,4.6564,5.0253,5.0253,3.9607,
DUC_A01,1027,,,173101.2463,9674419.361,6.9,O,False,6.11,9.6,6.9,O,False,7.0,10.44,T01,8.08,9.6,measured,0.0,observed,-1.0,6.9,9.6,6.9,False,O,9.6,measured,6.9,9.6,0.6681,8.0647,8.0647,8.9568,8.0647,8.0647,8.9568,
DUC_A01,1028,,,173102.7604,9674413.852,7.9,L,False,,,8.6,L,False,0.0,0.0,T01,9.52,13.18,local_fit,0.35,observed,-1.0,8.25,12.78,7.9,False,L,9.52,feldpausch,7.550000000000001,9.204955285695384,0.6681,10.4179,10.4179,11.5702,9.2278,9.2278,10.2485,
DUC_A01,1029,,,173102.8092,9674412.694,16.5,O,True,,1.35,16.5,O,True,0.0,0.0,T01,15.1,1.35,measured,0.0,observed,-1.0,16.5,1.35,16.5,True,O,1.35,measured,16.5,1.35,0.6681,6.5192,7.0087,7.0087,6.5192,7.0087,7.0087,
DUC_A01,1030,Protium heptaphyllum,Burseraceae,173103.029,9674412.158,9.9,O,False,5.03,15.93,10.5,O,False,8.97,17.35,T01,11.0,15.93,measured,0.3,observed,-1.0,10.2,15.61,9.9,False,O,15.93,measured,9.6,15.57786492721722,0.6293,26.7487,26.7487,28.0229,24.6457,24.6457,25.8197,
DUC_A01,1031,Poeppigia procera,Fabaceae,173101.466,9674409.479,58.9,O,False,23.15,36.94,58.9,O,False,23.01,33.28,T01,31.67,36.94,measured,0.0,observed,-1.0,58.9,36.94,58.9,False,O,36.94,measured,58.9,36.94,0.735,1975.1619,1975.1619,2407.8173,1975.1619,1975.1619,2407.8173,
DUC_A01,1032,Sloanea guianensis,Elaeocarpaceae,173105.007,9674400.324,30.9,O,False,22.55,26.78,30.9,O,False,24.17,27.56,T01,22.52,26.78,measured,0.0,observed,-1.0,30.9,26.78,30.9,False,O,26.78,measured,30.9,26.78,0.8212,409.6404,409.6404,556.454,409.6404,409.6404,556.454,
DUC_A01,1033,Pouteria gongrijpii,Sapotaceae,173105.8617,9674394.085,18.3,O,False,24.62,31.1,18.4,O,False,15.2,19.58,T01,16.25,31.1,measured,0.05,observed,-1.0,18.35,31.04,18.3,False,O,31.1,measured,18.25,31.043400479397885,0.7994,170.4902,170.4902,225.5909,169.2809,169.2809,223.9907,
DUC_A01,1034,Chimarrhis turbinata,Rubiaceae,173107.9374,9674389.282,12.8,O,False,8.97,14.99,13.0,O,False,11.68,16.09,T01,12.81,14.99,measured,0.1,observed,-1.0,12.9,14.91,12.8,False,O,14.99,measured,12.700000000000001,14.907475487219434,0.72,41.6214,41.6214,49.7276,40.7688,40.7688,48.709,
DUC_A01,1035,Sterculia pruriens,Malvaceae,173104.494,9674386.776,58.2,O,False,21.55,26.97,58.2,O,False,28.72,39.39,T01,31.49,26.97,measured,0.0,observed,-1.0,58.2,26.97,58.2,False,O,26.97,measured,58.2,26.97,0.4862,1419.4829,1419.4829,1156.0748,1419.4829,1419.4829,1156.0748,
DUC_A01,1036,Protium heptaphyllum,Burseraceae,173113.1145,9674362.377,10.7,O,False,17.91,22.16,11.1,O,False,18.8,22.4,T01,11.45,22.16,measured,0.2,observed,-1.0,10.9,21.87,10.7,False,O,22.16,measured,10.5,21.861041354138884,0.6293,42.9629,42.9629,45.0094,40.864,40.864,42.8105,
DUC_A01,1037,Brosimum rubescens,Moraceae,173110.8972,9674355.804,78.1,O,False,36.94,49.13,79.1,O,False,33.99,41.33,T01,35.87,49.13,measured,0.5,observed,-1.0,78.6,49.01,78.1,False,O,49.13,measured,77.6,49.00744931351019,0.8251,4525.5352,4525.5352,6176.2771,4458.2722,4458.2722,6084.4791,
DUC_A01,1038,Oenocarpus bacaba,Arecaceae,173114.4469,9674353.787,11.3,P,False,6.38,14.11,11.5,P,False,0.0,18.0,T01,11.75,14.11,measured,0.1,observed,-1.0,11.4,14.01,11.3,False,P,14.11,measured,11.200000000000001,14.020614098592194,0.65,30.7615,14.8167,14.8167,30.0455,14.4591,14.4591,
DUC_A01,1039,,,173115.2101,9674353.269,21.3,O,False,15.71,21.79,21.5,O,False,12.25,19.8,T01,17.99,21.79,measured,0.1,observed,-1.0,21.4,21.73,21.3,False,O,21.79,measured,21.2,21.72378270223822,0.6681,162.0305,162.0305,179.9529,160.0727,160.0727,177.7786,
DUC_A01,1040,,,173116.5191,9674346.16,11.1,O,False,16.12,20.7,11.3,O,False,14.48,19.07,T01,11.6,20.7,measured,0.1,observed,-1.0,11.2,20.58,11.1,False,O,20.7,measured,11.0,20.566220819572568,0.6681,43.1835,43.1835,47.9601,42.1597,42.1597,46.8231,
DUC_A01,1041,Casearia javitensis,Salicaceae,173115.6608,9674344.853,7.4,O,False,7.73,10.6,7.5,O,False,7.61,10.31,T01,8.6,10.6,measured,0.05,observed,-1.0,7.45,10.55,7.4,False,O,10.6,measured,7.3500000000000005,10.546557963468793,0.753,10.1836,10.1836,12.7109,10.0002,10.0002,12.4821,
DUC_A01,1042,Lecythis idatimon,Lecythidaceae,173115.1856,9674335.726,28.7,O,False,19.0,24.18,29.2,O,False,20.29,28.26,T01,21.77,24.18,measured,0.25,observed,-1.0,28.95,24.06,28.7,False,O,24.18,measured,28.45,24.052712176352742,0.7986,320.9959,320.9959,424.3089,313.9391,313.9391,414.9808,
DUC_A01,1043,Oenocarpus bacaba,Arecaceae,173118.273,9674319.141,15.8,P,False,10.92,17.85,15.9,P,False,12.47,20.29,T01,14.73,17.85,measured,0.05,observed,-1.0,15.85,17.8,15.8,False,P,17.85,measured,15.75,17.811426110213095,0.65,74.4455,37.226,37.226,73.8302,36.9031,36.9031,
DUC_A01,1044,,,173118.6388,9674318.578,6.6,O,False,9.71,11.62,6.6,O,True,0.0,0.0,T01,7.81,11.62,measured,0.0,observed,-1.0,6.6,11.62,6.6,False,O,11.62,measured,6.6,11.62,0.6681,8.9095,8.9095,9.895,8.9095,8.9095,9.895,
DUC_A01,1045,,,173116.3116,9674308.032,54.1,O,False,25.11,33.28,54.3,O,False,18.54,34.58,T01,30.48,33.28,measured,0.1,observed,-1.0,54.2,33.26,54.1,False,O,33.28,measured,54.0,33.250520110117186,0.6681,1511.1677,1511.1677,1678.3204,1504.4182,1504.4182,1670.8243,
DUC_A01,1046,Protium heptaphyllum,Burseraceae,173120.3265,9674305.463,11.7,O,False,8.5,14.69,11.9,O,False,8.49,15.12,T01,12.03,14.69,measured,0.1,observed,-1.0,11.8,14.6,11.7,False,O,14.69,measured,11.6,14.600500116178134,0.6293,34.2431,34.2431,35.8742,33.4738,33.4738,35.0683,
DUC_A01,1047,Capirona decorticans,Rubiaceae,173121.0522,9674292.844,30.5,O,False,23.85,36.17,30.9,O,False,25.37,40.19,T01,22.52,36.17,measured,0.2,observed,-1.0,30.7,36.03,30.5,False,O,36.17,measured,30.3,36.02913913585097,0.593,535.5033,535.5033,529.4048,526.6607,526.6607,520.6629,
DUC_A01,1048,Ocotea cernua,Lauraceae,173120.1579,9674292.743,60.2,O,False,24.83,35.07,60.8,O,False,27.12,37.0,T01,32.13,35.07,measured,0.3,observed,-1.0,60.5,34.99,60.2,False,O,35.07,measured,59.900000000000006,34.99049610174318,0.4535,1959.2522,1959.2522,1490.8507,1935.9456,1935.9456,1473.116,
DUC_A01,1049,Poeppigia procera,Fabaceae,173121.3042,9674284.405,25.1,O,False,14.97,22.77,25.1,O,False,15.65,20.33,T01,19.85,22.77,measured,0.0,observed,-1.0,25.1,22.77,25.1,False,O,22.77,measured,25.1,22.77,0.735,233.0291,233.0291,284.0736,233.0291,233.0291,284.0736,
DUC_A01,1050,Chrysophyllum sanguinolentum,Sapotaceae,173123.6745,9674276.811,27.2,O,False,13.91,20.44,27.3,O,False,19.09,31.68,T01,20.91,20.44,measured,0.05,observed,-1.0,27.25,20.41,27.2,False,O,20.44,measured,27.15,20.417024910634538,0.6714,245.3401,245.3401,273.7958,244.1923,244.1923,272.5149,
DUC_A01,1051,Ocotea canaliculata,Lauraceae,173123.9092,9674275.628,7.2,O,False,8.34,13.37,7.4,O,False,8.06,14.77,T01,8.51,13.37,measured,0.1,observed,-1.0,7.3,13.24,7.2,False,O,13.37,measured,7.1000000000000005,13.230964938220962,0.4793,12.1082,12.1082,9.7253,11.6625,11.6625,9.3674,
DUC_A01,1052,Theobroma glaucum,Malvaceae,173124.3067,9674275.673,8.4,O,False,12.15,15.49,8.7,O,False,12.54,14.92,T01,9.6,15.49,measured,0.15,observed,-1.0,8.55,15.28,8.4,False,O,15.49,measured,8.25,15.285457495564145,0.5297,18.8862,18.8862,16.7237,17.9984,17.9984,15.9376,
DUC_A01,1053,Poeppigia procera,Fabaceae,173123.9625,9674267.167,38.5,O,False,20.98,30.28,39.0,O,False,22.75,30.07,T01,25.71,30.28,measured,0.25,observed,-1.0,38.75,30.17,38.5,False,O,30.28,measured,38.25,30.171460020263,0.735,709.3951,709.3951,864.7867,697.9805,697.9805,850.8717,
DUC_A01,1054,Poeppigia procera,Fabaceae,173125.4299,9674263.099,7.4,O,False,7.57,14.63,7.7,O,False,10.0,26.48,T01,8.77,14.63,measured,0.15,observed,-1.0,7.55,14.41,7.4,False,O,14.63,measured,7.25,14.408211563576124,0.735,13.947,13.947,17.002,13.2021,13.2021,16.094,
DUC_A01,1055,Lecythis idatimon,Lecythidaceae,173122.5166,9674262.164,37.3,O,False,20.38,26.02,37.5,O,False,18.31,23.51,T01,25.16,26.02,measured,0.1,observed,-1.0,37.4,25.99,37.3,False,O,26.02,measured,37.199999999999996,25.9811292100035,0.7986,575.1435,575.1435,760.2543,571.3033,571.3033,755.178,
DUC_A01,1056,Chamaecrista xinguensis,Fabaceae,173124.9335,9674258.144,21.6,O,False,11.39,18.71,21.6,O,False,13.42,19.85,T01,18.05,18.71,measured,0.0,observed,-1.0,21.6,18.71,21.6,False,O,18.71,measured,21.6,18.71,0.9035,143.5022,143.5022,213.9778,143.5022,143.5022,213.9778,
DUC_A01,1057,Lecythis idatimon,Lecythidaceae,173126.8648,9674254.69,5.8,O,False,5.92,12.13,5.8,O,False,7.79,11.26,T01,7.09,12.13,measured,0.0,observed,-1.0,5.8,12.13,5.8,False,O,12.13,measured,5.8,12.13,0.7986,7.2197,7.2197,9.5434,7.2197,7.2197,9.5434,
DUC_A01,1058,Chamaecrista xinguensis,Fabaceae,173126.2803,9674254.555,18.7,O,False,14.69,19.98,18.8,O,False,5.99,21.2,T01,16.48,19.98,measured,0.05,observed,-1.0,18.75,19.94,18.7,False,O,19.98,measured,18.65,19.944555703354315,0.9035,115.472,115.472,172.1817,114.6712,114.6712,170.9876,
DUC_A01,1059,Helicostylis sp.,Moraceae,173128.0167,9674251.056,8.2,O,False,9.05,12.02,8.1,O,False,8.7,12.8,T01,9.1,12.02,measured,0.0,observed,-1.0,8.1,12.02,8.2,False,O,12.02,measured,8.2,12.02,0.643,14.0673,14.0673,15.0505,14.0673,14.0673,15.0505,
DUC_A01,1060,Copaifera reticulata,Fabaceae,173121.3972,9674247.289,82.0,O,False,18.74,39.26,82.0,O,False,20.31,54.09,T01,36.36,39.26,measured,0.0,observed,-1.0,82.0,39.26,82.0,False,O,39.26,measured,82.0,39.26,0.6075,3998.7184,3998.7184,4047.4954,3998.7184,3998.7184,4047.4954,
DUC_A01,1061,Poeppigia procera,Fabaceae,173129.3001,9674242.435,9.2,O,False,5.33,9.79,9.3,O,False,6.87,11.25,T01,10.08,9.79,measured,0.05,observed,-1.0,9.25,9.75,9.2,False,O,9.79,measured,9.149999999999999,9.751081477740826,0.735,14.4138,14.4138,17.5711,14.2059,14.2059,17.3177,
DUC_A01,1063,Pouteria gongrijpii,Sapotaceae,173131.0619,9674238.384,9.5,O,False,6.96,13.04,9.5,O,False,7.59,12.39,T01,10.23,13.04,measured,0.0,observed,-1.0,9.5,13.04,9.5,False,O,13.04,measured,9.5,13.04,0.7994,20.2996,20.2996,26.8603,20.2996,20.2996,26.8603,
