site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
DUC_A01,001a,Licania guianensis,Chrysobalanaceae,-2.943539052,-59.94080937,49.6,20160824,False,O,P02,29.16,29.16,feldpausch_regional,0.18,default,1.0,49.78,29.22,49.6,False,O,29.16,feldpausch,49.78,29.21264125938782,0.8165,1121.1753,1121.1753,1514.4831,1131.1207,1131.1207,1527.9173,
DUC_A01,001b,Sacoglottis guianensis,Humiriaceae,-2.94356803,-59.94106181,43.6,20160824,False,O,P02,27.3,27.3,feldpausch_regional,0.18,default,1.0,43.78,27.36,43.6,False,O,27.3,feldpausch,43.78,27.35915337143587,0.8359,817.397,817.397,1129.6875,825.7397,825.7397,1141.2175,
DUC_A01,002a,Pourouma minor,Urticaceae,-2.943541712,-59.94081504,31.5,20160824,False,O,P02,22.78,22.78,feldpausch_regional,0.18,default,1.0,31.68,22.85,31.5,False,O,22.78,feldpausch,31.68,22.856267820602433,0.436,363.1912,363.1912,265.9491,368.4534,368.4534,269.8024,
DUC_A01,002b,Pouteria gongrijpii,Sapotaceae,-2.94362256,-59.94096717,39.2,20160824,False,O,P02,25.79,25.79,feldpausch_regional,0.18,default,1.0,39.38,25.85,39.2,False,O,25.79,feldpausch,39.38,25.854669279148066,0.7994,628.2487,628.2487,831.2924,635.4435,635.4435,840.8124,
DUC_A01,003a,Peltogyne lecointei,Fabaceae,-2.94353624,-59.94082183,10.0,20160824,False,O,P02,10.62,10.62,feldpausch_regional,0.18,default,1.0,10.18,10.76,10.0,False,O,10.62,feldpausch,10.18,10.7580160268907,0.7633,18.3636,18.3636,23.228,19.2555,19.2555,24.3561,
DUC_A01,003b,,,-2.943684742,-59.94097498,47.5,20160824,True,O,P02,28.54,28.54,feldpausch_regional,0.18,default,1.0,47.68,28.59,47.5,True,O,28.54,feldpausch,47.68,28.594815724322824,0.6678,1008.9966,704.7061,704.7061,1018.379,711.1725,711.1725,
DUC_A01,004a,Protium paniculatum,Burseraceae,-2.943529507,-59.94085807,10.4,20160824,False,O,P02,10.93,10.93,feldpausch_regional,0.18,default,1.0,10.58,11.06,10.4,False,O,10.93,feldpausch,10.58,11.066010609221836,0.49,20.3893,20.3893,16.7324,21.3399,21.3399,17.5125,
DUC_A01,004b,Qualea paraensis,Vochysiaceae,-2.943710721,-59.94101056,91.1,20160824,False,O,P02,37.77,37.77,feldpausch_regional,0.18,default,1.0,91.28,37.79,91.1,False,O,37.77,feldpausch,91.28,37.795835745648645,0.6893,4728.6375,4728.6375,5414.6124,4750.0614,4750.0614,5439.1442,
DUC_A01,005a,Protium paniculatum,Burseraceae,-2.943578954,-59.94083236,12.6,20160824,False,O,P02,12.53,12.53,feldpausch_regional,0.18,default,1.0,12.78,12.66,12.6,False,O,12.53,feldpausch,12.78,12.655804961925917,0.49,33.8832,33.8832,27.8061,35.1758,35.1758,28.8669,
DUC_A01,005b,Mouriri collocarpa,Melastomataceae,-2.943710549,-59.94103993,39.6,20160824,False,O,P02,25.93,25.93,feldpausch_regional,0.18,default,1.0,39.78,25.99,39.6,False,O,25.93,feldpausch,39.78,25.994130926959734,0.8333,644.2181,644.2181,887.7209,651.5153,651.5153,897.7763,
DUC_A01,006a,Eschweilera ovata,Lecythidaceae,-2.943600546,-59.94082317,10.1,20160824,False,O,P02,10.7,10.7,feldpausch_regional,0.18,default,1.0,10.28,10.84,10.1,False,O,10.7,feldpausch,10.28,10.83753457254877,0.9,18.8614,18.8614,28.0182,19.768,19.768,29.3649,
DUC_A01,006b,,,-2.943704327,-59.94106295,49.4,20160824,False,O,P02,29.11,29.11,feldpausch_regional,0.18,default,1.0,49.58,29.16,49.4,False,O,29.11,feldpausch,49.58,29.16285771427288,0.6678,1110.5059,1110.5059,1232.9017,1120.4002,1120.4002,1243.8865,
DUC_A01,007a,Pouteria sp.,Sapotaceae,-2.943661306,-59.9407891,43.8,20160824,False,O,P02,27.37,27.37,feldpausch_regional,0.18,default,1.0,43.98,27.43,43.8,False,O,27.37,feldpausch,43.98,27.42892834669712,0.7187,826.796,826.796,986.1204,835.1928,835.1928,996.1352,
DUC_A01,007b,Ormosia coccinea,Fabaceae,-2.943753545,-59.94091431,58.0,20160824,False,O,P02,31.44,31.44,feldpausch_regional,0.18,default,1.0,58.18,31.49,58.0,False,O,31.44,feldpausch,58.18,31.485060547660915,0.625,1637.6274,1637.6274,1704.1914,1649.8673,1649.8673,1716.9288,
DUC_A01,008a,Ocotea cernua,Lauraceae,-2.943670486,-59.94078564,10.1,20160824,False,O,P02,10.7,10.7,feldpausch_regional,0.18,default,1.0,10.28,10.84,10.1,False,O,10.7,feldpausch,10.28,10.83753457254877,0.4535,18.8614,18.8614,14.3522,19.768,19.768,15.0421,
DUC_A01,008b,Qualea paraensis,Vochysiaceae,-2.943907331,-59.94099955,52.0,20160824,False,O,P02,29.85,29.85,feldpausch_regional,0.18,default,1.0,52.18,29.9,52.0,False,O,29.85,feldpausch,52.18,29.90031591534847,0.6893,1257.8964,1257.8964,1440.3772,1268.4934,1268.4934,1452.5114,
DUC_A01,009a,Eperua bijuga,Fabaceae,-2.943669032,-59.94076827,33.7,20160824,False,O,P02,23.69,23.69,feldpausch_regional,0.18,default,1.0,33.88,23.76,33.7,False,O,23.69,feldpausch,33.88,23.762650380027786,0.729,430.4966,430.4966,520.6144,436.2984,436.2984,527.6307,
DUC_A01,010a,Brosimum rubescens,Moraceae,-2.94369302,-59.94075946,25.4,20160824,False,O,P02,20.0,20.0,feldpausch_regional,0.18,default,1.0,25.58,20.08,25.4,False,O,20.0,feldpausch,25.58,20.087904560984484,0.8251,210.1364,210.1364,286.7862,213.967,213.967,292.0139,
DUC_A01,011a,Protium paniculatum,Burseraceae,-2.943700546,-59.94077609,21.9,20160824,False,O,P02,18.21,18.21,feldpausch_regional,0.18,default,1.0,22.08,18.3,21.9,False,O,18.21,feldpausch,22.08,18.305969782316833,0.49,143.5721,143.5721,117.8219,146.6349,146.6349,120.3353,
DUC_A01,012a,,,-2.943702957,-59.94077429,27.2,20160824,False,O,P02,20.86,20.86,feldpausch_regional,0.18,default,1.0,27.38,20.94,27.2,False,O,20.86,feldpausch,27.38,20.94418032293849,0.6678,250.2591,250.2591,277.8418,254.5005,254.5005,282.5506,
DUC_A01,013a,Licania guianensis,Chrysobalanaceae,-2.943740831,-59.9407774,34.0,20160824,False,O,P02,23.81,23.81,feldpausch_regional,0.18,default,1.0,34.18,23.88,34.0,False,O,23.81,feldpausch,34.18,23.882175205506762,0.8165,440.1743,440.1743,594.5873,446.0503,446.0503,602.5245,
DUC_A01,014a,Oenocarpus bataua,Arecaceae,-2.943741499,-59.94077889,19.5,20160824,False,P,P02,16.88,16.88,feldpausch_regional,0.18,default,1.0,19.68,16.99,19.5,False,P,16.88,feldpausch,19.68,16.982249741871016,0.6815,106.2977,66.3711,66.3711,108.8612,68.0684,68.0684,
