site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,agb_source,dbh,htot,hcom,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
FNA_A01,1,,,715679.7056,8617104.557,,0.0047418,6.3,4.46,,20131019,D,O,T01,7.54,7.54,feldpausch_regional,0.18,default,0.0,6.3,7.54,6.3,False,O,4.46,measured,6.3,4.46,0.8064,3.1954,3.1954,4.2645,3.1954,3.1954,4.2645,T01_1
FNA_A01,2,,,715680.2481,8617104.949,,0.014259592,9.1,9.5,,20131019,D,O,T01,9.92,9.92,feldpausch_regional,0.18,default,0.0,9.1,9.92,9.1,False,O,9.5,measured,9.1,9.5,0.8064,13.7015,13.7015,18.2856,13.7015,13.7015,18.2856,T01_1
FNA_A01,3,,,715676.4788,8617105.656,,0.022395566,13.7,6.07,,20131019,D,O,T01,13.29,13.29,feldpausch_regional,0.18,default,0.0,13.7,13.29,13.7,False,O,6.07,measured,13.7,6.07,0.8064,19.6667,19.6667,26.2466,19.6667,19.6667,26.2466,T01_1
FNA_A01,4,,,715680.411,8617106.393,,0.005589774,6.6,4.86,,20131019,D,O,T01,7.81,7.81,feldpausch_regional,0.18,default,0.0,6.6,7.81,6.6,False,O,4.86,measured,6.6,4.86,0.8064,3.8051,3.8051,5.0782,3.8051,3.8051,5.0782,T01_1
FNA_A01,5,,,715679.9634,8617109.056,,0.004430187,5.4,5.98,,20131019,D,O,T01,6.71,6.71,feldpausch_regional,0.18,default,0.0,5.4,6.71,5.4,False,O,5.98,measured,5.4,5.98,0.8064,3.1489,3.1489,4.2024,3.1489,3.1489,4.2024,T01_1
FNA_A01,6,,,715680.6854,8617110.793,,0.005143372,6.2,5.12,,20131019,D,O,T01,7.45,7.45,feldpausch_regional,0.18,default,0.0,6.2,7.45,6.2,False,O,5.12,measured,6.2,5.12,0.8064,3.5437,3.5437,4.7293,3.5437,3.5437,4.7293,T01_1
FNA_A01,7,,,715679.4661,8617112.015,,0.005437994,6.8,4.37,,20131019,D,O,T01,7.99,7.99,feldpausch_regional,0.18,default,0.0,6.8,7.99,6.8,False,O,4.37,measured,6.8,4.37,0.8064,3.636,3.636,4.8525,3.636,3.636,4.8525,T01_1
FNA_A01,8,,,715677.4917,8617111.695,,0.003928912,5.7,6.17,,20131019,D,O,T01,6.99,6.99,feldpausch_regional,0.18,default,0.0,5.7,6.99,5.7,False,O,6.17,measured,5.7,6.17,0.8064,3.6078,3.6078,4.8149,3.6078,3.6078,4.8149,T01_1
FNA_A01,9,,,715679.2009,8617113.592,,0.003166704,5.8,3.33,,20131019,D,O,T01,7.09,7.09,feldpausch_regional,0.18,default,0.0,5.8,7.09,5.8,False,O,3.33,measured,5.8,3.33,0.8064,2.0445,2.0445,2.7285,2.0445,2.0445,2.7285,T01_1
FNA_A01,10,,,715680.3538,8617112.766,,0.004821431,7.4,4.18,,20131019,D,O,T01,8.51,8.51,feldpausch_regional,0.18,default,0.0,7.4,8.51,7.4,False,O,4.18,measured,7.4,4.18,0.8064,4.1065,4.1065,5.4804,4.1065,4.1065,5.4804,T01_1
