site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,htot,hcom,date,dead,type,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,plot_id,quadra_id
FN_A01,98,,,70.661.811.988.124,86.448.789.419.992,20.0,13.23,1.47,20150812,True,O,17.17,17.17,feldpausch_regional,0.18,default,2.0,20.36,17.37,20.0,True,O,13.23,measured,20.36,13.385141623125344,0.6481,88.0468,66.6125,66.6125,92.2102,69.6936,69.6936,unknown,
FN_A01,100,,,7.066.328.629.808,8.644.868.699.504,31.4,16.72,1.34,20150812,True,O,22.73,22.73,feldpausch_regional,0.18,default,2.0,31.76,22.89,31.4,True,O,16.72,measured,31.759999999999998,16.832192381139436,0.6481,266.8984,198.8502,198.8502,274.6912,204.5519,204.5519,unknown,
FN_A01,104,,,7.066.203.391.618,8.644.890.205.604,25.2,5.62,1.43,20150812,True,O,19.9,19.9,feldpausch_regional,0.18,default,2.0,25.56,20.08,25.2,True,O,5.62,measured,25.56,5.669779327475503,0.6481,59.9428,52.4983,52.4983,62.1584,54.3999,54.3999,unknown,
FN_A01,105,,,70.661.820.815.078,86.448.832.846.724,44.0,25.33,2.73,20150812,True,O,27.43,27.43,feldpausch_regional,0.18,default,2.0,44.36,27.55,44.0,True,O,25.33,measured,44.36,25.438189261733072,0.6481,773.4429,548.4517,548.4517,789.1194,559.41,559.41,unknown,
FN_A01,122,,,706.623.882.547.259,86.450.487.597.179,22.6,6.86,1.26,20150812,True,O,18.58,18.58,feldpausch_regional,0.18,default,2.0,22.96,18.77,22.6,True,O,6.86,measured,22.96,6.929439870711817,0.6481,58.8752,49.7038,49.7038,61.3196,51.7243,51.7243,unknown,
FN_A01,123,,,706.622.169.951.968,864.505.377.060.984,16.0,7.1,1.64,20150812,True,O,14.79,14.79,feldpausch_regional,0.18,default,2.0,16.36,15.01,16.0,True,O,7.1,measured,16.36,7.208206682532765,0.6481,31.0264,25.6229,25.6229,32.8855,27.1224,27.1224,unknown,
FN_A01,124,,,706.622.193.376.096,864.505.506.358.048,38.0,4.99,1.11,20150812,True,O,25.35,25.35,feldpausch_regional,0.18,default,2.0,38.36,25.48,38.0,True,O,4.99,measured,38.36,5.016049079197804,0.6481,118.9993,108.3111,108.3111,121.8274,110.8441,110.8441,unknown,
FN_A01,125,,,706.625.031.992.733,864.505.710.066.806,22.3,18.54,1.43,20150812,True,O,18.42,18.42,feldpausch_regional,0.18,default,2.0,22.66,18.61,22.3,True,O,18.54,measured,22.66,18.730738385911565,0.6481,151.3655,109.1397,109.1397,157.7399,113.6395,113.6395,unknown,
FN_A01,127,,,706.623.332.755.312,864.517.235.569.728,52.9,5.01,1.66,20150812,True,O,30.1,30.1,feldpausch_regional,0.18,default,2.0,53.26,30.2,52.9,True,O,5.01,measured,53.26,5.02644319962044,0.6481,227.8703,210.5902,210.5902,231.6468,214.0391,214.0391,unknown,
FN_A01,128,,,706.629.474.129.368,864.518.355.687.892,60.1,32.31,2.41,20150812,True,O,31.96,31.96,feldpausch_regional,0.18,default,2.0,60.46,32.05,60.1,True,O,32.31,measured,60.46,32.397601889560484,0.6481,1802.7543,1248.6653,1248.6653,1828.7193,1266.4711,1266.4711,unknown,
FN_A01,129,,,70.666.221.253.672,86.451.845.076.528,75.0,23.35,2.2,20150812,True,O,35.13,35.13,feldpausch_regional,0.18,default,2.0,75.36,35.19,75.0,True,O,23.35,measured,75.36,23.394543173486184,0.6481,2023.1509,1490.8731,1490.8731,2045.9524,1507.5682,1507.5682,unknown,
FN_A01,130,,,706.633.172.160.128,864.532.064.590.624,50.0,4.44,1.97,20150812,True,O,29.28,29.28,feldpausch_regional,0.18,default,2.0,50.36,29.39,50.0,True,O,4.44,measured,50.36,4.455818986783303,0.6481,181.4245,170.435,170.435,184.6228,173.4018,173.4018,unknown,
FN_A01,131,,,706.626.401.125.172,864.536.217.705.576,17.8,5.72,1.97,20150812,True,O,15.89,15.89,feldpausch_regional,0.18,default,2.0,18.16,16.11,17.8,True,O,5.72,measured,18.16,5.796989324787395,0.6481,30.9385,26.5735,26.5735,32.5942,27.9635,27.9635,unknown,
FN_A01,132,,,70.666.671.130.568,86.453.169.351.144,41.0,1.64,0.95,20150812,True,O,26.42,26.42,feldpausch_regional,0.18,default,2.0,41.36,26.55,41.0,True,O,1.64,measured,41.36,1.647722624217064,0.6481,46.591,50.7422,50.7422,47.6107,51.836,51.836,unknown,
FN_A01,134,,,706.632.310.059.748,864.534.860.477.384,38.3,12.76,1.68,20150812,True,O,25.46,25.46,feldpausch_regional,0.18,default,2.0,38.66,25.59,38.3,True,O,12.76,measured,38.66,12.825909344387014,0.6481,302.1169,237.1608,237.1608,309.2359,242.6606,242.6606,unknown,
FN_A01,135,,,706.640.557.963.328,864.536.070.356.224,52.4,29.97,2.92,20150812,True,O,29.96,29.96,feldpausch_regional,0.18,default,2.0,52.76,30.06,52.4,True,O,29.97,measured,52.76,30.069742728161913,0.6481,1281.863,892.5895,892.5895,1303.3295,907.359,907.359,unknown,
FN_A01,136,,,706.652.546.626.688,864.535.538.019.104,45.9,5.6,1.93,20150812,True,O,28.04,28.04,feldpausch_regional,0.18,default,2.0,46.26,28.15,45.9,True,O,5.6,measured,46.26,5.622542183505548,0.6481,192.5531,173.6611,173.6611,196.2802,176.9765,176.9765,unknown,
FN_A01,137,,,70.699.539.055.716,86.447.177.872.144,21.2,3.69,1.46,20150813,True,O,17.83,17.83,feldpausch_regional,0.18,default,2.0,21.56,18.02,21.2,True,O,3.69,measured,21.56,3.7303538666243234,0.6481,28.3717,26.3365,26.3365,29.6327,27.482,27.482,unknown,
FN_A01,138,,,706.984.815.483.728,864.473.409.778.672,13.9,6.36,1.18,20150813,True,O,13.42,13.42,feldpausch_regional,0.18,default,2.0,14.26,13.66,13.9,True,O,6.36,measured,14.26,6.473922604218979,0.6481,21.1738,17.6733,17.6733,22.6465,18.8727,18.8727,unknown,
FN_A01,139,,,706.982.617.614.792,864.473.973.259.808,22.3,7.09,1.3,20150813,True,O,18.42,18.42,feldpausch_regional,0.18,default,2.0,22.66,18.61,22.3,True,O,7.09,measured,22.66,7.162941486305987,0.6481,59.2356,49.7162,49.7162,61.7301,51.7659,51.7659,unknown,
FN_A01,140,,,707.009.509.801.096,864.475.273.528.704,40.0,19.55,2.11,20150813,True,O,26.07,26.07,feldpausch_regional,0.18,default,2.0,40.36,26.2,40.0,True,O,19.55,measured,40.36,19.645215417937614,0.6481,498.7019,366.7225,366.7225,509.9129,374.8399,374.8399,unknown,
FN_A01,141,Qualea paraensis,Vochysiaceae,706.972.796.979.872,864.485.837.263.168,43.5,13.76,11.47,20150813,False,O,27.27,27.27,feldpausch_regional,0.18,default,2.0,43.86,27.39,43.5,False,O,13.76,measured,43.86,13.819714122361324,0.6893,416.9494,416.9494,477.4355,425.506,425.506,487.2334,unknown,
FN_A01,142,,,70.695.792.214.216,86.448.539.303.504,38.6,3.53,1.45,20150813,True,O,25.57,25.57,feldpausch_regional,0.18,default,2.0,38.96,25.7,38.6,True,O,3.53,measured,38.96,3.548042757489901,0.6481,87.52,84.2003,84.2003,89.5649,86.1367,86.1367,unknown,
FN_A01,143,Qualea paraensis,Vochysiaceae,706.950.349.077.536,864.486.281.499.584,55.8,26.39,17.85,20150813,False,O,30.88,30.88,feldpausch_regional,0.18,default,2.0,56.16,30.97,55.8,False,O,26.39,measured,56.16,26.470036219060468,0.6893,1280.0163,1280.0163,1465.7059,1300.0223,1300.0223,1488.6142,unknown,
FN_A01,144,,,706.952.373.804.941,864.487.969.423.635,37.1,26.58,3.47,20150813,True,O,25.01,25.01,feldpausch_regional,0.18,default,2.0,37.46,25.15,37.1,True,O,26.58,measured,37.46,26.723285465734214,0.6481,581.0911,405.5956,405.5956,595.2638,415.3277,415.3277,unknown,
FN_A01,145,,,70.696.727.154.888,86.449.029.563.912,36.2,20.71,2.24,20150813,True,O,24.67,24.67,feldpausch_regional,0.18,default,2.0,36.56,24.81,36.2,True,O,20.71,measured,36.56,20.8253573914534,0.6481,434.1618,314.856,314.856,445.0359,322.612,322.612,unknown,
FN_A01,146,,,706.898.277.094,8.645.017.977,35.1,10.32,2.31,20150813,True,O,24.25,24.25,feldpausch_regional,0.18,default,2.0,35.46,24.39,35.1,True,O,10.32,measured,35.46,10.379882374447984,0.6481,207.1341,167.4417,167.4417,212.4978,171.7048,171.7048,unknown,
FN_A01,147,Anacardium spruceanum,Anacardiaceae,70.688.945.361.016,86.449.991.339.336,36.1,21.82,13.06,20150813,False,O,24.63,24.63,feldpausch_regional,0.18,default,2.0,36.46,24.77,36.1,False,O,21.82,measured,36.46,21.94198787257711,0.4792,454.3986,454.3986,364.8516,465.8136,465.8136,374.0171,unknown,
FN_A01,148,,,706.891.201.526.848,864.500.649.499.808,13.0,13.22,1.8,20150813,True,O,12.81,12.81,feldpausch_regional,0.18,default,2.0,13.36,13.06,13.0,True,O,13.22,measured,13.36,13.47549148529195,0.6481,37.949,28.1264,28.1264,40.7822,30.1745,30.1745,unknown,
FN_A01,149,,,70.689.457.535.816,86.450.046.306.316,57.6,5.57,2.11,20150813,True,O,31.34,31.34,feldpausch_regional,0.18,default,2.0,57.96,31.43,57.6,True,O,5.57,measured,57.96,5.5861074855687365,0.6481,298.3734,272.2789,272.2789,302.8768,276.345,276.345,unknown,
FN_A01,150,,,7.068.875.876.412,8.645.016.022.372,47.5,2.03,1.4,20150813,True,O,28.54,28.54,feldpausch_regional,0.18,default,2.0,47.86,28.65,47.5,True,O,2.03,measured,47.86,2.03778438926612,0.6481,76.4685,81.0921,81.0921,77.8943,82.5841,82.5841,unknown,
FN_A01,151,,,706.881.587.638.448,864.515.023.136.832,47.4,27.46,1.61,20150813,True,O,28.51,28.51,feldpausch_regional,0.18,default,2.0,47.76,28.62,47.4,True,O,27.46,measured,47.76,27.56561638043307,0.6481,967.7245,679.9441,679.9441,985.8098,692.4826,692.4826,unknown,
FN_A01,152,,,706.872.279.695.872,864.514.275.371.648,59.3,18.7,1.95,20150813,True,O,31.76,31.76,feldpausch_regional,0.18,default,2.0,59.66,31.85,59.3,True,O,18.7,measured,59.66,18.751747520231447,0.6481,1029.8663,777.2045,777.2045,1044.9202,788.4499,788.4499,unknown,
FN_A01,153,,,7.068.360.400.072,8.645.169.015.728,38.0,18.35,1.73,20150813,True,O,25.35,25.35,feldpausch_regional,0.18,default,2.0,38.36,25.48,38.0,True,O,18.35,measured,38.36,18.445791704064067,0.6481,424.1379,314.2541,314.2541,434.2177,321.6034,321.6034,unknown,
FN_A01,154,,,7.068.352.519.668,8.645.174.069.602,38.7,10.06,1.85,20150813,True,O,25.61,25.61,feldpausch_regional,0.18,default,2.0,39.06,25.74,38.7,True,O,10.06,measured,39.06,10.111240044674531,0.6481,244.4602,199.3455,199.3455,250.1561,203.9172,203.9172,unknown,
FN_A01,155,Aniba parviflora,Lauraceae,706.873.955.175.032,864.514.161.075.888,48.0,27.39,19.72,20150813,False,O,28.69,28.69,feldpausch_regional,0.18,default,2.0,48.36,28.8,48.0,False,O,27.39,measured,48.36,27.49347582569491,0.54,989.3123,989.3123,892.6354,1007.5487,1007.5487,909.0897,unknown,
FN_A01,1,Croton urucurana,Euphorbiaceae,706.748.291.682.592,864.265.970.746.704,11.2,14.82,10.3,20150814,False,O,11.53,11.53,feldpausch_regional,0.18,default,2.0,11.56,11.79,11.2,False,O,14.82,measured,11.559999999999999,15.158564627626092,0.528,31.7163,31.7163,27.9961,34.4887,34.4887,30.4433,unknown,
FN_A01,2,Inga sp.,Fabaceae,706.772.440.491.952,864.266.955.557.024,11.8,11.46,5.67,20150814,False,O,11.96,11.96,feldpausch_regional,0.18,default,2.0,12.16,12.22,11.8,False,O,11.46,measured,12.16,11.70697924362944,0.5786,27.3236,27.3236,26.3703,29.5837,29.5837,28.5515,unknown,
FN_A01,3,Croton urucurana,Euphorbiaceae,706.783.504.461.256,864.267.299.097.072,14.2,11.67,7.46,20150814,False,O,13.62,13.62,feldpausch_regional,0.18,default,2.0,14.56,13.86,14.2,False,O,11.67,measured,14.559999999999999,11.874008800472305,0.528,39.9198,39.9198,35.2374,42.6343,42.6343,37.6334,unknown,
FN_A01,4,Cecropia palmata,Urticaceae,7.067.850.947.556,8.642.672.562.792,12.4,12.92,10.08,20150814,False,O,12.39,12.39,feldpausch_regional,0.18,default,2.0,12.76,12.64,12.4,False,O,12.92,measured,12.76,13.183364826048509,0.3404,33.8386,33.8386,19.4595,36.4945,36.4945,20.9869,unknown,
