site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,agb_source,dbh,htot,hcom,dead,type,plot_id,htot_feldpausch,dbh_used,dead_used,type_used,htot_used,htot_source,iagc_m1_kgC,iagc_m2_kgC,rho_w_m3,iagc_m3_kgC
FST_A01,1,Brosimum rubescens,Moraceae,587710.9825,9821885.241,0.825151429,0.151940343,13.6,19.56,11.24,A,O,1,13.22,13.6,True,O,19.56,measured,60.7442,42.4109,0.8251,42.4109
FST_A01,2,Aspidosperma nitidum,Apocynaceae,587708.5653,9821888.458,0.763327689,0.076589941,11.6,14.65,7.26,A,O,1,11.82,11.6,True,O,14.65,measured,33.5846,24.3574,0.7635,24.3574
FST_A01,3,Swartzia corrugata,Fabaceae,587705.9342,9821894.535,1.0565,2.562283696,40.0,29.78,23.11,A,O,1,26.07,40.0,True,O,29.78,measured,752.025,517.4279,1.0565,517.4279
FST_A01,4,Protium hepytaphillum ,Burseraceae,587702.1446,9821893.9,0.629,0.051819431,11.1,13.14,7.69,A,O,1,11.45,11.1,True,O,13.14,measured,27.7128,20.4041,0.5773,20.4041
FST_A01,5,Mezilaurus itauba,Lauraceae,587696.2038,9821894.51,0.720305556,18.99623864,100.2,51.61,32.58,A,O,1,38.99,100.2,True,O,51.61,measured,7722.9412,5091.0951,0.7443,5091.0951
FST_A01,6,Nectandra cuspidata,Lauraceae,587692.7628,9821897.703,0.56,1.120577127,30.8,41.44,29.24,A,O,1,22.48,30.8,True,O,41.44,measured,623.3233,401.9854,0.518,401.9854
FST_A01,7,Protium hepytaphillum ,Burseraceae,587695.5423,9821900.838,0.629,0.090869113,13.0,16.79,9.81,A,O,1,12.81,13.0,True,O,16.79,measured,47.9212,34.2009,0.5773,34.2009
FST_A01,8,Alibertia edulis,Rubiaceae,587689.6922,9821900.7,0.76,0.155259586,14.5,19.09,13.85,A,O,1,13.82,14.5,True,O,19.09,measured,67.223,47.2601,0.76,47.2601
FST_A01,9,,,587690.4693,9821901.878,0.58,1.160396277,42.5,34.83,,D,O,1,26.93,42.5,False,O,34.83,measured,986.3305,986.3305,0.6997,1145.9131
FST_A01,10,Protium hepytaphillum ,Burseraceae,587686.281,9821905.735,0.629,0.070090457,10.9,18.43,13.75,A,O,1,11.3,10.9,True,O,18.43,measured,37.2109,25.9485,0.5773,25.9485
FST_A01,11,Nectandra cuspidata,Lauraceae,587686.424,9821905.875,0.56,0.268344123,21.0,21.35,14.36,A,O,1,17.72,21.0,True,O,21.35,measured,154.4988,108.6289,0.518,108.6289
FST_A01,12,Protium paniculatum,Burseraceae,587686.002,9821908.252,0.49,0.127785326,14.6,24.04,10.01,A,O,1,13.89,14.6,True,O,24.04,measured,85.3237,57.8588,0.49,57.8588
FST_A01,13,Maquira sclerophylla,Moraceae,587684.2446,9821911.416,0.53,0.368015713,22.5,26.95,16.8,A,O,1,18.53,22.5,True,O,26.95,measured,221.8944,150.8765,0.5135,150.8765
FST_A01,14,Pourouma minor,Urticaceae,587681.7061,9821910.47,0.444604162,0.273720367,20.2,29.64,22.11,A,O,1,17.28,20.2,True,O,29.64,measured,197.2694,131.4494,0.436,131.4494
FST_A01,15,Protium paniculatum,Burseraceae,587680.6991,9821912.833,0.49,0.372872418,23.3,27.54,21.25,A,O,1,18.94,23.3,True,O,27.54,measured,242.6299,164.6879,0.49,164.6879
FST_A01,16,Anacardium spruceanum,Anacardiaceae,587696.6795,9821927.056,0.479166667,1.687410298,44.3,35.25,23.3,A,O,1,27.53,44.3,True,O,35.25,measured,1082.1017,728.5227,0.4792,728.5227
FST_A01,17,Pouteria macrophilla,Sapotaceae,587704.7393,9821926.565,0.737,10.93263939,80.0,45.54,32.35,A,O,1,36.02,80.0,True,O,45.54,measured,4404.3714,2929.5771,0.7187,2929.5771
FST_A01,18,Nectandra cuspidata,Lauraceae,587712.9279,9821920.619,0.56,1.304465611,37.6,32.37,18.71,A,O,1,25.2,37.6,True,O,32.37,measured,722.9806,489.4765,0.518,489.4765
FST_A01,19,Pouteria sp.,Sapotaceae,587712.3736,9821913.103,0.781766198,11.2790538,82.0,42.16,29.33,A,O,1,36.36,82.0,True,O,42.16,measured,4286.7516,2889.7207,0.7187,2889.7207
FST_A01,20,Cordia scabrifolia,Boraginaceae,587722.5146,9821917.435,0.474,1.235438346,40.7,30.91,19.88,A,O,1,26.32,40.7,True,O,30.91,measured,806.7252,552.2672,0.474,552.2672
FST_A01,21,Inga alba,Fabaceae,587740.8764,9821914.458,0.586080352,1.548182887,40.1,32.27,22.39,A,O,1,26.11,40.1,True,O,32.27,measured,817.309,555.3231,0.5861,555.3231
FST_A01,22,Pouteria guianensis,Sapotaceae,587739.4782,9821911.697,0.929561667,2.526229265,40.1,33.2,18.97,A,O,1,26.11,40.1,True,O,33.2,measured,840.2902,568.3805,0.9295,568.3805
FST_A01,23,Pouteria sp.,Sapotaceae,587712.2169,9821882.542,0.781766198,0.236772404,18.7,17.02,12.83,A,O,1,16.42,18.7,True,O,17.02,measured,98.7443,71.5595,0.7187,71.5595
FST_A01,24,Nectandra cuspidata,Lauraceae,587712.3342,9821883.773,0.56,0.875367053,31.6,30.75,19.6,A,O,1,22.82,31.6,True,O,30.75,measured,489.7638,331.5057,0.518,331.5057
FST_A01,25,Protium paniculatum,Burseraceae,587598.7819,9821985.699,0.49,0.102603637,14.6,19.3,13.5,A,O,2,13.89,14.6,True,O,19.3,measured,68.8623,48.3449,0.49,48.3449
FST_A01,26,Pouteria retinervis,Sapotaceae,587590.6649,9821994.402,0.783318031,0.53751337,23.3,24.83,16.75,A,O,2,18.94,23.3,True,O,24.83,measured,219.299,151.3081,0.7187,151.3081
FST_A01,27,,,587583.3611,9821995.157,0.6,0.411927361,48.8,6.72,,D,O,2,28.93,48.8,False,O,6.72,measured,259.2797,259.2797,0.6997,301.2297
FST_A01,28,Maquira sclerophylla,Moraceae,587574.9777,9822004.88,0.53,0.051091903,10.8,16.24,8.58,A,O,2,11.23,10.8,True,O,16.24,measured,32.3025,22.9703,0.5135,22.9703
FST_A01,29,Licania octandra,Chrysobalanaceae,587574.2501,9822006.429,0.825,0.758402435,27.3,24.23,17.59,A,O,2,20.91,27.3,True,O,24.23,measured,291.7287,203.6038,0.825,203.6038
FST_A01,31,,,587588.4046,9822020.595,0.58,0.347541429,53.0,4.65,,D,O,2,30.13,53.0,False,O,4.65,measured,212.6578,212.6578,0.6997,247.0646
FST_A01,32,Pouteria sp.,Sapotaceae,587597.1473,9822035.468,0.781766198,1.723964405,39.6,27.63,20.79,A,O,2,25.93,39.6,True,O,27.63,measured,685.4084,476.9792,0.7187,476.9792
FST_A01,33,Pouteria hispida,Sapotaceae,587600.1783,9822032.858,0.87,1.867010075,37.3,30.3,25.89,A,O,2,25.09,37.3,True,O,30.3,measured,667.3049,456.3491,0.874,456.3491
FST_A01,34,Tamarindus indica,Fabaceae,587602.5167,9822029.527,0.64,1.121171479,54.5,11.59,8.02,A,O,2,30.54,54.5,True,O,11.59,measured,547.5857,443.8873,0.9784,443.8873
FST_A01,35,Lecythis pisonis,Lecythidaceae,587604.0322,9822028.222,0.852360511,13.7580743,87.6,41.32,30.93,A,O,2,37.25,87.6,True,O,41.32,measured,4781.9075,3244.0446,0.857,3244.0446
FST_A01,36,Pouteria sp.,Sapotaceae,587602.3457,9822017.814,0.781766198,5.717221876,65.0,34.01,23.47,A,O,2,33.09,65.0,True,O,34.01,measured,2208.5927,1523.142,0.7187,1523.142
FST_A01,37,Tetragastris altissima,Burseraceae,587623.6036,9822014.004,0.707804286,32.85512518,140.3,46.33,21.59,A,O,2,42.75,140.3,True,O,46.33,measured,13409.0765,9137.9793,0.7079,9137.9793
FST_A01,38,Ocotea canaliculata,Lauraceae,587628.5819,9822016.305,0.479426667,1.17341634,37.0,35.12,22.05,A,O,2,24.98,37.0,True,O,35.12,measured,758.6678,506.6715,0.4793,506.6715
FST_A01,39,Caryocar glabrum,Caryocaraceae,587632.9329,9822016.512,0.6758827,1.682056996,40.4,29.96,21.97,A,O,2,26.21,40.4,True,O,29.96,measured,771.2975,530.4365,0.6536,530.4365
FST_A01,40,Ocotea sp.,Lauraceae,587619.6437,9822005.554,0.500567938,3.236961759,60.3,34.94,25.86,A,O,2,32.01,60.3,True,O,34.94,measured,1958.4985,1340.0846,0.5245,1340.0846
FST_A01,41,Pouteria oppositifolia,Sapotaceae,587610.8114,9822007.889,0.65,1.384474935,40.4,25.64,19.29,A,O,2,26.21,40.4,True,O,25.64,measured,662.5537,467.0003,0.65,467.0003
FST_A01,42,Geissospermum sericeum,Apocynaceae,587603.8857,9822000.675,0.782,0.891126672,35.0,18.28,9.36,A,O,2,24.21,35.0,True,O,18.28,measured,359.8904,265.7615,0.7823,265.7615
FST_A01,43,Goupia glabra,Goupiaceae,587603.519,9821993.084,0.7272025,11.47435169,90.0,38.27,20.48,A,O,2,37.61,90.0,True,O,38.27,measured,4677.4799,3216.0494,0.7272,3216.0494
FST_A01,44,Strychnos subcordata,Loganiaceae,587496.7756,9822078.996,0.54,0.120198203,13.5,23.99,16.57,A,O,3,13.15,13.5,True,O,23.99,measured,73.0772,49.3846,0.6959,49.3846
FST_A01,45,Poeppigia sp.,Fabaceae,587495.9355,9822077.876,0.69,0.612828123,25.5,26.83,15.61,A,O,3,20.05,25.5,True,O,26.83,measured,282.0726,193.0863,0.735,193.0863
FST_A01,46,Eschweilera coriacea,Lecythidaceae,587495.9806,9822080.259,0.852013744,0.437478237,18.0,31.13,18.84,A,O,3,16.01,18.0,True,O,31.13,measured,165.2325,108.6488,0.8521,108.6488
FST_A01,47,Xylopia cayennensis,Annonaceae,587495.2865,9822083.315,0.57,0.523830149,25.0,28.89,19.42,A,O,3,19.8,25.0,True,O,28.89,measured,291.6951,197.1655,0.5959,197.1655
FST_A01,48,,,587495.95,9822087.019,0.58,0.754126721,53.1,11.93,,D,O,3,30.16,53.1,False,O,11.93,measured,535.3604,535.3604,0.6997,621.9786
FST_A01,49,Protium paniculatum,Burseraceae,587493.8271,9822083.028,0.49,0.066880321,13.2,15.39,11.33,A,O,3,12.95,13.2,True,O,15.39,measured,45.3488,32.8374,0.49,32.8374
FST_A01,50,Goupia glabra,Goupiaceae,587490.9709,9822087.515,0.7272025,6.021710031,69.7,33.49,18.36,A,O,3,34.09,69.7,True,O,33.49,measured,2493.2639,1729.4405,0.7272,1729.4405
FST_A01,51,Virola melinoni,Myristicaceae,587483.7173,9822092.776,0.476163695,0.042479335,14.2,8.69,4.9,A,O,3,13.62,14.2,True,O,8.69,measured,29.9372,23.8097,0.4734,23.8097
FST_A01,52,,,587478.3196,9822099.847,0.58,0.409550462,35.8,14.83,,D,O,3,24.52,35.8,False,O,14.83,measured,306.672,306.672,0.6997,356.2897
FST_A01,53,Pouteria retinervis,Sapotaceae,587472.8672,9822105.352,0.783318031,0.060330036,13.0,8.95,5.27,A,O,3,12.81,13.0,True,O,8.95,measured,25.9333,20.4427,0.7187,20.4427
FST_A01,54,Pouteria gongrijpii,Sapotaceae,587463.4783,9822113.904,0.799402922,1.381599063,33.0,31.18,14.88,A,O,3,23.4,33.0,True,O,31.18,measured,540.2851,365.6605,0.7994,365.6605
FST_A01,55,Inga heterophylla,Fabaceae,587459.8212,9822111.849,0.56,0.103455364,12.9,21.81,11.66,A,O,3,12.74,12.9,True,O,21.81,measured,60.934,41.7118,0.56,41.7118
FST_A01,56,Dimorphandra macrostachya,Fabaceae,587468.5573,9822117.357,0.6,1.318856905,36.5,32.41,24.11,A,O,3,24.79,36.5,True,O,32.41,measured,683.0918,461.7221,0.695,461.7221
FST_A01,57,,,587473.1322,9822111.843,0.6,1.92008129,56.8,30.44,,D,O,3,31.14,56.8,False,O,30.44,measured,1523.3182,1523.3182,0.6997,1769.7822
FST_A01,58,Parkia pendula,Fabaceae,587473.6363,9822120.81,0.53,2.463474511,50.4,35.95,25.01,A,O,3,29.4,50.4,True,O,35.95,measured,1418.9504,958.2575,0.5212,958.2575
FST_A01,59,Manilkara huberi,Sapotaceae,587485.177,9822134.536,0.93,4.912482595,54.5,34.94,21.56,A,O,3,30.54,54.5,True,O,34.94,measured,1607.6437,1094.6886,0.9214,1094.6886
FST_A01,60,Parkia paraensis,Fabaceae,587484.481,9822141.902,0.41,1.119131409,38.2,36.75,20.6,A,O,3,25.42,38.2,True,O,36.75,measured,843.9944,560.4885,0.415,560.4885
FST_A01,61,Geissospermum sericeum,Apocynaceae,587489.9776,9822140.935,0.782,3.80711415,45.5,46.2,21.85,A,O,3,27.91,45.5,True,O,46.2,measured,1484.5318,958.8693,0.7823,958.8693
FST_A01,62,Goupia glabra,Goupiaceae,587488.6815,9822147.502,0.7272025,5.014953915,86.0,18.32,12.33,A,O,3,37.01,86.0,True,O,18.32,measured,2085.5323,1607.4201,0.7272,1607.4201
FST_A01,63,Caryocar glabrum,Caryocaraceae,587493.0739,9822136.768,0.6758827,2.936268345,51.0,32.81,23.87,A,O,3,29.57,51.0,True,O,32.81,measured,1328.1886,910.5272,0.6536,910.5272
FST_A01,64,Chimarrhis turbinata,Rubiaceae,587499.4923,9822140.348,0.72,7.552203035,76.0,35.68,26.37,A,O,3,35.31,76.0,True,O,35.68,measured,3140.3313,2165.5598,0.72,2165.5598
FST_A01,65,Pouteria hispida,Sapotaceae,587488.2301,9822123.675,0.87,3.180797459,47.0,32.52,18.48,A,O,3,28.38,47.0,True,O,32.52,measured,1122.6765,767.7049,0.874,767.7049
FST_A01,66,Enterolobium schomburgkii,Fabaceae,587488.3693,9822122.202,0.711902716,8.089124333,74.7,40.01,19.32,A,O,3,35.07,74.7,True,O,40.01,measured,3395.4631,2297.6006,0.6989,2297.6006
FST_A01,67,Chimarrhis turbinata,Rubiaceae,587482.8294,9822116.476,0.72,2.168028117,49.4,24.24,15.29,A,O,3,29.11,49.4,True,O,24.24,measured,928.7943,666.9005,0.72,666.9005
FST_A01,68,Pouteria sp.,Sapotaceae,587492.5265,9822121.108,0.781766198,0.50930077,39.2,8.33,5.02,A,O,3,25.79,39.2,True,O,8.33,measured,208.4993,175.2747,0.7187,175.2747
FST_A01,69,Geissospermum sericeum,Apocynaceae,587495.5269,9822125.108,0.782,2.101816188,42.1,29.79,15.19,A,O,3,26.8,42.1,True,O,29.79,measured,831.2892,573.3414,0.7823,573.3414
FST_A01,70,Mezilaurus itauba,Lauraceae,587501.4844,9822126.414,0.720305556,13.46123452,97.0,39.02,28.14,A,O,3,38.58,97.0,True,O,39.02,measured,5517.4129,3795.5605,0.7443,3795.5605
FST_A01,71,Geissospermum sericeum,Apocynaceae,587505.6417,9822125.32,0.782,2.091004703,44.7,26.29,19.83,A,O,3,27.66,44.7,True,O,26.29,measured,827.1354,583.53,0.7823,583.53
FST_A01,72,Pouteria hispida,Sapotaceae,587509.8422,9822130.92,0.87,2.342796041,43.1,28.48,23.59,A,O,3,27.14,43.1,True,O,28.48,measured,832.8971,579.1989,0.874,579.1989
FST_A01,73,Protium paniculatum,Burseraceae,587517.3742,9822122.713,0.49,0.833132157,35.6,26.36,16.7,A,O,3,24.44,35.6,True,O,26.36,measured,531.7822,370.9307,0.49,370.9307
FST_A01,74,Swartzia corrugata,Fabaceae,587513.4521,9822114.166,1.0565,9.186070247,70.0,34.86,27.71,A,O,3,34.15,70.0,True,O,34.86,measured,2614.59,1802.5169,1.0565,1802.5169
FST_A01,75,Pouteria gongrijpii,Sapotaceae,587513.1737,9822117.113,0.799402922,1.929499757,41.0,28.21,21.93,A,O,3,26.42,41.0,True,O,28.21,measured,748.5282,520.0641,0.7994,520.0641
FST_A01,76,Tachigali alba,Fabaceae,587375.4896,9822191.398,0.560284357,0.165495762,16.1,22.39,14.72,A,O,4,14.85,16.1,True,O,22.39,measured,96.3469,66.3828,0.5573,66.3828
FST_A01,77,Pouteria retinervis,Sapotaceae,587373.8983,9822197.4,0.783318031,0.363360033,20.0,22.78,13.73,A,O,4,17.17,20.0,True,O,22.78,measured,149.6386,103.8959,0.7187,103.8959
FST_A01,78,Pouteria gongrijpii,Sapotaceae,587384.5689,9822193.161,0.799402922,1.972595592,40.0,30.3,18.11,A,O,4,26.07,40.0,True,O,30.3,measured,764.8386,524.8069,0.7994,524.8069
FST_A01,79,,,587385.9689,9822201.305,0.6,0.884101125,72.1,6.58,,D,O,4,34.57,72.1,False,O,6.58,measured,544.1753,544.1753,0.6997,632.2197
FST_A01,80,Manilkara huberi,Sapotaceae,587385.4952,9822207.106,0.93,2.256558736,46.4,22.14,15.06,A,O,4,28.2,46.4,True,O,22.14,measured,752.3105,546.3246,0.9214,546.3246
FST_A01,81,Terminalia amazonia,Combretaceae,587376.3964,9822200.524,0.68038,13.27258603,90.0,47.32,27.35,A,O,4,37.61,90.0,True,O,47.32,measured,5754.2103,3825.8777,0.6735,3825.8777
FST_A01,82,Manilkara huberi,Sapotaceae,587373.3062,9822204.651,0.93,3.212202618,42.5,37.57,27.79,A,O,4,26.93,42.5,True,O,37.57,measured,1061.9911,706.411,0.9214,706.411
FST_A01,83,Pseudopiptadenia suaveolens,Fabaceae,587382.6742,9822216.366,0.679712857,5.661699149,60.0,45.46,26.83,A,O,4,31.94,60.0,True,O,45.46,measured,2507.6,1645.5188,0.6797,1645.5188
FST_A01,84,Tachigali alba,Fabaceae,587376.6261,9822220.471,0.560284357,1.013394255,35.2,28.68,21.27,A,O,4,24.28,35.2,True,O,28.68,measured,564.8189,388.5479,0.5573,388.5479
FST_A01,85,Nectandra cuspidata,Lauraceae,587369.3221,9822202.866,0.56,1.609860158,39.5,36.2,27.16,A,O,4,25.89,39.5,True,O,36.2,measured,887.8054,591.9394,0.518,591.9394
FST_A01,86,Pouteria gongrijpii,Sapotaceae,587364.1214,9822207.551,0.799402922,3.963671182,51.5,36.73,27.62,A,O,4,29.71,51.5,True,O,36.73,measured,1511.3631,1018.2655,0.7994,1018.2655
FST_A01,87,Annona ambotay,Annonaceae,587362.798,9822206.056,0.413,0.11004344,16.7,18.77,5.01,A,O,4,15.22,16.7,True,O,18.77,measured,87.1173,61.8281,0.5112,61.8281
FST_A01,88,Pouteria guianensis,Sapotaceae,587351.2843,9822213.876,0.929561667,0.284060738,17.4,19.83,13.19,A,O,4,15.65,17.4,True,O,19.83,measured,99.5863,70.205,0.9295,70.205
FST_A01,89,Jacaranda copaia,Bignoniaceae,587348.0562,9822214.635,0.353578132,0.050743601,13.2,16.18,13.41,A,O,4,12.95,13.2,True,O,16.18,measured,47.6194,34.2099,0.3507,34.2099
FST_A01,90,,,587358.4795,9822226.071,0.6,0.967593603,40.0,31.04,,D,O,4,26.07,40.0,False,O,31.04,measured,783.0642,783.0642,0.6997,909.7595
