site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,htot,hcom,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
HUM_A01,65,Eschweilera amazonica,Lecythidaceae,646734.0354,8921462.621,12.9,10.42,7.11,20140701,False,O,1,12.74,12.74,feldpausch_regional,0.18,default,-1.0,12.72,12.62,12.9,False,O,10.42,measured,12.72,10.317512018004843,0.9,29.6327,29.6327,44.0186,28.5541,28.5541,42.4164,
HUM_A01,66,Byrsonima crispa,Malpighiaceae,646730.5238,8921463.746,32.3,20.46,15.28,20140701,False,O,1,23.11,23.11,feldpausch_regional,0.18,default,-1.0,32.12,23.04,32.3,False,O,20.46,measured,32.12,20.393422363078248,0.58,343.4535,343.4535,332.2753,338.6483,338.6483,327.6265,
HUM_A01,67,Annona exsucca,Annonaceae,646732.3802,8921459.308,20.3,18.23,8.37,20140701,False,O,1,17.33,17.33,feldpausch_regional,0.18,default,-1.0,20.12,17.23,20.3,False,O,18.23,measured,20.12,18.124234078462475,0.5112,123.9426,123.9426,105.9965,121.1167,121.1167,103.5797,
HUM_A01,68,Euterpe oleracea,Arecaceae,646729.6473,8921457.1,15.7,21.88,14.9,20140701,False,P,1,14.6,14.6,feldpausch_regional,0.18,default,-1.0,15.52,14.48,15.7,False,P,21.88,measured,15.52,21.7081873391684,0.3877,89.6898,36.582,36.582,87.0214,35.4409,35.4409,
HUM_A01,69,Inga marginata,Fabaceae,646725.1324,8921454.069,16.8,14.86,11.06,20140701,False,O,1,15.29,15.29,feldpausch_regional,0.18,default,-1.0,16.62,15.18,16.8,False,O,14.86,measured,16.62,14.752154017185305,0.5518,70.1705,70.1705,64.6633,68.2237,68.2237,62.8693,
HUM_A01,70,Inga marginata,Fabaceae,646725.565,8921451.132,10.1,12.62,7.89,20140701,False,O,1,10.7,10.7,feldpausch_regional,0.18,default,-1.0,9.92,10.56,10.1,False,O,12.62,measured,9.92,12.4566721815362,0.5518,22.158,22.158,20.4189,21.1234,21.1234,19.4656,
HUM_A01,71,Byrsonima crispa,Malpighiaceae,646725.4651,8921447.418,31.2,22.07,11.9,20140701,False,O,1,22.65,22.65,feldpausch_regional,0.18,default,-1.0,31.02,22.57,31.2,False,O,22.07,measured,31.02,21.994888796613264,0.58,345.6221,345.6221,334.3733,340.6054,340.6054,329.5199,
HUM_A01,72,Protium hepytaphillum ,Burseraceae,646718.7887,8921444.788,18.4,20.43,13.75,20140701,False,O,1,16.25,16.25,feldpausch_regional,0.18,default,-1.0,18.22,16.14,18.4,False,O,20.43,measured,18.22,20.29676387421851,0.5773,114.3423,114.3423,110.1199,111.455,111.455,107.3393,
HUM_A01,73,Poeppigia sp.,Fabaceae,646717.6124,8921443.602,23.5,18.81,11.43,20140701,False,O,1,19.05,19.05,feldpausch_regional,0.18,default,-1.0,23.32,18.95,23.5,False,O,18.81,measured,23.32,18.71860513729725,0.735,170.0547,170.0547,207.3048,166.7269,166.7269,203.2481,
HUM_A01,74,Protium hepytaphillum ,Burseraceae,646713.9571,8921444.845,39.4,19.61,10.41,20140701,False,O,1,25.86,25.86,feldpausch_regional,0.18,default,-1.0,39.22,25.79,39.4,False,O,19.61,measured,39.22,19.56098407582208,0.5773,485.6545,485.6545,467.7205,480.1587,480.1587,462.4277,
HUM_A01,75,Vitex triflora,Lamiaceae,646721.1845,8921441.164,59.1,26.55,16.68,20140701,False,O,1,31.72,31.72,feldpausch_regional,0.18,default,-1.0,58.92,31.67,59.1,False,O,26.55,measured,58.92,26.512896115225786,0.5482,1440.411,1440.411,1318.9691,1429.9069,1429.9069,1309.3506,
HUM_A01,76,Mouriri collocarpa,Melastomataceae,646719.2453,8921438.865,19.8,19.96,15.08,20140701,False,O,1,17.05,17.05,feldpausch_regional,0.18,default,-1.0,19.62,16.95,19.8,False,O,19.96,measured,19.62,19.840690172166475,0.8333,128.9757,128.9757,177.7261,125.9577,125.9577,173.5674,
HUM_A01,79,Protium hepytaphillum ,Burseraceae,646716.7797,8921437.042,13.5,13.68,10.46,20140701,False,O,1,13.15,13.15,feldpausch_regional,0.18,default,-1.0,13.32,13.03,13.5,False,O,13.68,measured,13.32,13.552226920364316,0.5773,42.2369,42.2369,40.6772,40.7695,40.7695,39.264,
HUM_A01,80,Duguetia stelechantha,Annonaceae,646717.4824,8921435.756,11.1,16.25,13.15,20140701,False,O,1,11.45,11.45,feldpausch_regional,0.18,default,-1.0,10.92,11.32,11.1,False,O,16.25,measured,10.92,16.06068950666011,0.849,34.0976,34.0976,47.8478,32.651,32.651,45.8179,
HUM_A01,81,Protium hepytaphillum ,Burseraceae,646712.2965,8921432.622,31.9,18.81,13.34,20140701,False,O,1,22.95,22.95,feldpausch_regional,0.18,default,-1.0,31.72,22.87,31.9,False,O,18.81,measured,31.72,18.747793884022798,0.5773,308.7902,308.7902,297.3874,304.4125,304.4125,293.1713,
HUM_A01,82,Inga thibaudiana,Fabaceae,646710.638,8921427.532,17.1,17.87,9.64,20140701,False,O,1,15.47,15.47,feldpausch_regional,0.18,default,-1.0,16.92,15.36,17.1,False,O,17.87,measured,16.92,17.742966547567104,0.5786,86.9646,86.9646,83.9304,84.5956,84.5956,81.644,
HUM_A01,83,Terminalia amazonia,Combretaceae,646710.3074,8921426.693,20.2,20.27,18.53,20140701,False,O,1,17.28,17.28,feldpausch_regional,0.18,default,-1.0,20.02,17.18,20.2,False,O,20.27,measured,20.02,20.151700719336976,0.6735,136.1432,136.1432,152.3974,133.023,133.023,148.9048,
HUM_A01,84,Inga marginata,Fabaceae,646706.7811,8921420.121,14.1,15.46,9.68,20140701,False,O,1,13.56,13.56,feldpausch_regional,0.18,default,-1.0,13.92,13.44,14.1,False,O,15.46,measured,13.92,15.322599594776039,0.5518,51.809,51.809,47.7428,50.0875,50.0875,46.1564,
HUM_A01,85,Apuleia leiocarpa,Fabaceae,646703.7451,8921424.554,65.0,44.76,28.53,20140701,False,O,1,33.09,33.09,feldpausch_regional,0.18,default,-1.0,64.82,33.05,65.0,False,O,44.76,measured,64.82,44.705999522000106,0.7992,2887.595,2887.595,3820.1368,2868.6247,2868.6247,3795.0402,
