site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,agb_source,dbh,htot,hcom,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
JAM_A01,1,Symphonia globulifera,Clusiaceae,522939.6159,8998328.641,0.6,0.417999492,26.8,19.06,10.8,20111208,A,O,T07,20.67,20.67,feldpausch_regional,0.18,default,0.0,26.8,20.67,26.8,True,O,19.06,measured,26.8,19.06,0.6004,222.628,161.2388,161.2388,222.628,161.2388,161.2388,
JAM_A01,2,Euterpe oleracea,Arecaceae,522940.3271,8998327.749,,0.018618115,8.9,12.9,8.6,20111208,A,P,T07,9.76,9.76,feldpausch_regional,0.18,default,0.0,8.9,9.76,8.9,True,P,12.9,measured,8.9,12.9,0.3877,17.685,,,17.685,,,
JAM_A01,3,Casearia grandiflora,Salicaceae,522940.19,8998314.747,0.77,0.352661378,18.8,25.46,18.67,20111208,A,O,T07,16.48,16.48,feldpausch_regional,0.18,default,0.0,18.8,16.48,18.8,True,O,25.46,measured,18.8,25.46,0.77,147.8205,100.5466,100.5466,147.8205,100.5466,100.5466,
JAM_A01,4,Sacoglottis guianensis,Humiriaceae,522939.5126,8998312.938,0.84,0.264257028,18.1,18.87,15.42,20111208,A,O,T07,16.07,16.07,feldpausch_regional,0.18,default,0.0,18.1,16.07,18.1,True,O,18.87,measured,18.1,18.87,0.8359,102.4714,72.9454,72.9454,102.4714,72.9454,72.9454,
JAM_A01,5,NI,NI,522940.7127,8998304.952,0.62,0.030096123,9.8,9.93,6.74,20111208,A,O,T07,10.47,10.47,feldpausch_regional,0.18,default,0.0,9.8,10.47,9.8,True,O,9.93,measured,9.8,9.93,0.639,16.5332,12.6478,12.6478,16.5332,12.6478,12.6478,
JAM_A01,6,Tetragastris altissima,Burseraceae,522938.7595,8998293.227,0.71,0.231170857,20.6,15.12,10.59,20111208,A,O,T07,17.5,17.5,feldpausch_regional,0.18,default,0.0,20.6,17.5,20.6,True,O,15.12,measured,20.6,15.12,0.7079,106.2605,78.8256,78.8256,106.2605,78.8256,78.8256,
JAM_A01,7,Neea oppositifolia,Nyctaginaceae,522939.0945,8998290.431,0.89,0.316796624,22.4,13.9,10.72,20111208,A,O,T07,18.47,18.47,feldpausch_regional,0.18,default,0.0,22.4,18.47,22.4,True,O,13.9,measured,22.4,13.9,0.893,115.2729,87.0045,87.0045,115.2729,87.0045,87.0045,
JAM_A01,8,Virola melinoni,Myristicaceae,522939.7462,8998318.241,0.48,0.0580173,11.7,17.49,12.77,20111208,A,O,T07,11.89,11.89,feldpausch_regional,0.18,default,0.0,11.7,11.89,11.7,True,O,17.49,measured,11.7,17.49,0.4734,40.5997,28.644,28.644,40.5997,28.644,28.644,
JAM_A01,9,Apeiba echinata,Malvaceae,522938.766,8998284.726,0.28,0.470823456,32.2,32.36,22.7,20111208,A,O,T07,23.07,23.07,feldpausch_regional,0.18,default,0.0,32.2,23.07,32.2,True,O,32.36,measured,32.2,32.36,0.2822,534.0275,358.8874,358.8874,534.0275,358.8874,358.8874,
JAM_A01,10,Tetragastris altissima,Burseraceae,522941.0821,8998283.455,0.71,0.021826125,7.0,12.36,8.56,20111208,A,O,T07,8.17,8.17,feldpausch_regional,0.18,default,0.0,7.0,8.17,7.0,True,O,12.36,measured,7.0,12.36,0.7079,10.6146,7.7184,7.7184,10.6146,7.7184,7.7184,
JAM_A01,11,,,522941.0821,8998283.455,,0.015761707,15.5,,,20111208,A,L,T07,14.47,14.47,feldpausch_regional,0.18,default,0.0,15.5,14.47,15.5,True,L,14.47,feldpausch,15.5,14.47,0.639,58.4259,43.0513,43.0513,58.4259,43.0513,43.0513,
JAM_A01,12,Aspidosperma spruceanum,Apocynaceae,522940.2511,8998277.945,0.75,0.060121829,10.7,13.69,8.84,20111208,A,O,T07,11.15,11.15,feldpausch_regional,0.18,default,0.0,10.7,11.15,10.7,True,O,13.69,measured,10.7,13.69,0.7533,26.8502,19.6067,19.6067,26.8502,19.6067,19.6067,
JAM_A01,13,Erisma uncinatum,Vochysiaceae,522940.4262,8998271.946,0.51,0.05317905,14.7,9.48,6.71,20111208,A,O,T07,13.95,13.95,feldpausch_regional,0.18,default,0.0,14.7,13.95,14.7,True,O,9.48,measured,14.7,9.48,0.5231,34.8682,27.3983,27.3983,34.8682,27.3983,27.3983,
JAM_A01,14,Erisma uncinatum,Vochysiaceae,522940.849,8998262.151,0.51,0.043056842,11.7,12.12,8.56,20111208,A,O,T07,11.89,11.89,feldpausch_regional,0.18,default,0.0,11.7,11.89,11.7,True,O,12.12,measured,11.7,12.12,0.5231,28.383,21.2196,21.2196,28.383,21.2196,21.2196,
JAM_A01,15,Inga thibaudiana,Fabaceae,522940.574,8998260.147,0.58,0.035956191,10.2,11.78,8.56,20111208,A,O,T07,10.78,10.78,feldpausch_regional,0.18,default,0.0,10.2,10.78,10.2,True,O,11.78,measured,10.2,11.78,0.5786,21.1196,15.7564,15.7564,21.1196,15.7564,15.7564,
JAM_A01,16,Tetragastris altissima,Burseraceae,522941.4015,8998257.957,0.71,0.509705493,27.8,18.31,14.41,20111208,A,O,T07,21.14,21.14,feldpausch_regional,0.18,default,0.0,27.8,21.14,27.8,True,O,18.31,measured,27.8,18.31,0.7079,229.9429,167.8913,167.8913,229.9429,167.8913,167.8913,
JAM_A01,17,Terminalia amazonia,Combretaceae,522941.4333,8998239.456,0.68,0.288300167,20.7,19.43,13.72,20111208,A,O,T07,17.56,17.56,feldpausch_regional,0.18,default,0.0,20.7,17.56,20.7,True,O,19.43,measured,20.7,19.43,0.6735,137.0201,97.7172,97.7172,137.0201,97.7172,97.7172,
JAM_A01,18,Annona ambotay,Annonaceae,522940.9417,8998254.751,0.41,0.049822813,14.3,11.59,6.82,20111208,A,O,T07,13.69,13.69,feldpausch_regional,0.18,default,0.0,14.3,13.69,14.3,True,O,11.59,measured,14.3,11.59,0.5112,40.1996,30.5599,30.5599,40.1996,30.5599,30.5599,
JAM_A01,19,Tetragastris altissima,Burseraceae,522937.19,8998234.903,0.71,5.324703989,60.0,41.05,29.43,20111208,A,O,T07,31.94,31.94,feldpausch_regional,0.18,default,0.0,60.0,31.94,60.0,True,O,41.05,measured,60.0,41.05,0.7079,2269.894,1513.7429,1513.7429,2269.894,1513.7429,1513.7429,
JAM_A01,20,Helicostylis sp.,Moraceae,522940.7148,8998232.947,0.65,0.281395907,21.0,19.21,11.76,20111208,A,O,T07,17.72,17.72,feldpausch_regional,0.18,default,0.0,21.0,17.72,21.0,True,O,19.21,measured,21.0,19.21,0.643,139.3656,99.6376,99.6376,139.3656,99.6376,99.6376,
JAM_A01,21,Zygia racemosa,Fabaceae,522941.8851,8998219.36,0.75,0.271942196,16.9,24.94,19.0,20111208,A,O,T07,15.35,15.35,feldpausch_regional,0.18,default,0.0,16.9,15.35,16.9,True,O,24.94,measured,16.9,24.94,0.748,117.6702,79.8903,79.8903,117.6702,79.8903,79.8903,
JAM_A01,22,Licania heteromorpha,Chrysobalanaceae,522941.4215,8998216.454,0.82,0.159831056,14.1,19.35,14.7,20111208,A,O,T07,13.56,13.56,feldpausch_regional,0.18,default,0.0,14.1,13.56,14.1,True,O,19.35,measured,14.1,19.35,0.8164,64.4966,45.1859,45.1859,64.4966,45.1859,45.1859,
JAM_A01,23,Couratari stellata,Lecythidaceae,522941.2278,8998215.952,0.63,0.453316068,20.6,33.15,20.72,20111208,A,O,T07,17.5,17.5,feldpausch_regional,0.18,default,0.0,20.6,17.5,20.6,True,O,33.15,measured,20.6,33.15,0.6331,228.6238,149.813,149.813,228.6238,149.813,149.813,
JAM_A01,24,NI,NI,522941.1979,8998210.351,0.62,0.061075566,11.0,15.99,10.37,20111208,A,O,T07,11.38,11.38,feldpausch_regional,0.18,default,0.0,11.0,11.38,11.0,True,O,15.99,measured,11.0,15.99,0.639,32.9773,23.5284,23.5284,32.9773,23.5284,23.5284,
JAM_A01,25,Copaifera reticulata,Fabaceae,522941.3405,8998206.953,0.61,0.92512551,30.2,32.8,23.63,20111208,A,O,T07,22.22,22.22,feldpausch_regional,0.18,default,0.0,30.2,22.22,30.2,True,O,32.8,measured,30.2,32.8,0.6075,477.4491,319.1965,319.1965,477.4491,319.1965,319.1965,
JAM_A01,26,Aspidosperma parvifolium,Apocynaceae,522938.366,8998196.915,0.74,10.43130312,70.0,56.78,31.27,20111208,A,O,T07,34.15,34.15,feldpausch_regional,0.18,default,0.0,70.0,34.15,70.0,True,O,56.78,measured,70.0,56.78,0.781,4209.0759,2686.5033,2686.5033,4209.0759,2686.5033,2686.5033,
JAM_A01,27,Pterocarpus sp.,Fabaceae,522941.3472,8998190.451,0.51,0.279243099,23.2,19.9,12.33,20111208,A,O,T07,18.89,18.89,feldpausch_regional,0.18,default,0.0,23.2,18.89,23.2,True,O,19.9,measured,23.2,19.9,0.5838,175.216,125.1691,125.1691,175.216,125.1691,125.1691,
JAM_A01,28,Astrocaryum aculeatum,Arecaceae,522940.3912,8998186.939,,0.080656165,19.6,6.59,3.87,20111208,A,P,T07,16.94,16.94,feldpausch_regional,0.18,default,0.0,19.6,16.94,19.6,True,P,6.59,measured,19.6,6.59,0.508,42.8723,,,42.8723,,,
JAM_A01,29,Helicostylis sp.,Moraceae,522941.9412,8998182.958,0.65,0.212710642,16.0,25.02,18.46,20111208,A,O,T07,14.79,14.79,feldpausch_regional,0.18,default,0.0,16.0,14.79,16.0,True,O,25.02,measured,16.0,25.02,0.643,106.0795,71.7957,71.7957,106.0795,71.7957,71.7957,
JAM_A01,30,Nectandra cuspidata,Lauraceae,522941.9712,8998180.558,0.56,0.4893891,31.1,17.75,13.12,20111208,A,O,T07,22.61,22.61,feldpausch_regional,0.18,default,0.0,31.1,22.61,31.1,True,O,17.75,measured,31.1,17.75,0.518,277.6813,204.8446,204.8446,277.6813,204.8446,204.8446,
JAM_A01,31,Helicostylis sp.,Moraceae,522941.9664,8998172.958,0.65,0.016069932,7.6,8.38,4.82,20111208,A,O,T07,8.68,8.68,feldpausch_regional,0.18,default,0.0,7.6,8.68,7.6,True,O,8.38,measured,7.6,8.38,0.643,8.5289,6.6206,6.6206,8.5289,6.6206,6.6206,
JAM_A01,32,Sapium marmieri,Euphorbiaceae,522941.4366,8998167.351,0.41,0.086615506,14.2,20.58,14.25,20111208,A,O,T07,13.62,13.62,feldpausch_regional,0.18,default,0.0,14.2,13.62,14.2,True,O,20.58,measured,14.2,20.58,0.41,69.4465,48.1986,48.1986,69.4465,48.1986,48.1986,
JAM_A01,33,Amaioua guianensis,Rubiaceae,522942.8109,8998145.466,0.63,0.024598793,9.1,9.34,6.17,20111208,A,O,T07,9.92,9.92,feldpausch_regional,0.18,default,0.0,9.1,9.92,9.1,True,O,9.34,measured,9.1,9.34,0.625,13.4762,10.3726,10.3726,13.4762,10.3726,10.3726,
JAM_A01,34,Minquartia guianensis,Olacaceae,522942.8663,8998133.066,0.77,0.015615222,6.6,9.15,5.63,20111208,A,O,T07,7.81,7.81,feldpausch_regional,0.18,default,0.0,6.6,7.81,6.6,True,O,9.15,measured,6.6,9.15,0.7867,7.056,5.3652,5.3652,7.056,5.3652,5.3652,
JAM_A01,36,Tetragastris altissima,Burseraceae,522939.1182,8998120.918,0.71,2.602395885,48.4,30.84,19.84,20111208,A,O,T07,28.81,28.81,feldpausch_regional,0.18,default,0.0,48.4,28.81,48.4,True,O,30.84,measured,48.4,30.84,0.7079,1128.8974,779.5532,779.5532,1128.8974,779.5532,779.5532,
JAM_A01,37,Brosimum rubescens ,Moraceae,522941.7733,8998108.55,0.83,0.104272454,15.1,10.89,7.87,20111208,A,O,T07,14.21,14.21,feldpausch_regional,0.18,default,0.0,15.1,14.21,15.1,True,O,10.89,measured,15.1,10.89,0.8251,42.0691,32.3819,32.3819,42.0691,32.3819,32.3819,
JAM_A01,38,Tetragastris altissima,Burseraceae,522942.8121,8998105.463,0.71,0.840287039,32.3,22.36,12.52,20111208,A,O,T07,23.11,23.11,feldpausch_regional,0.18,default,0.0,32.3,23.11,32.3,True,O,22.36,measured,32.3,22.36,0.7079,374.5489,266.8901,266.8901,374.5489,266.8901,266.8901,
JAM_A01,39,Peltogyne leicointei,Fabaceae,522943.0509,8998102.366,0.76,0.028138111,9.6,7.86,5.24,20111208,A,O,T07,10.31,10.31,feldpausch_regional,0.18,default,0.0,9.6,10.31,9.6,True,O,7.86,measured,9.6,7.86,0.7926,12.6411,10.0244,10.0244,12.6411,10.0244,10.0244,
JAM_A01,40,Helicostylis sp.,Moraceae,522943.1509,8998102.367,0.65,0.040151999,10.5,10.97,5.94,20111208,A,O,T07,11.0,11.0,feldpausch_regional,0.18,default,0.0,10.5,11.0,10.5,True,O,10.97,measured,10.5,10.97,0.643,20.848,15.7517,15.7517,20.848,15.7517,15.7517,
JAM_A01,41,Eschweilera coriacea,Lecythidaceae,522943.2859,8998099.569,0.85,0.007836133,6.7,4.03,2.14,20111208,A,O,T07,7.9,7.9,feldpausch_regional,0.18,default,0.0,6.7,7.9,6.7,True,O,4.03,measured,6.7,4.03,0.8521,3.2639,2.8271,2.8271,3.2639,2.8271,2.8271,
JAM_A01,42,Miconia pyrifolia,Melastomataceae,522943.3064,8998081.967,0.63,0.091062304,14.7,13.11,9.9,20111208,A,O,T07,13.95,13.95,feldpausch_regional,0.18,default,0.0,14.7,13.95,14.7,True,O,13.11,measured,14.7,13.11,0.6228,47.8459,35.7185,35.7185,47.8459,35.7185,35.7185,
JAM_A01,43,Copaifera reticulata,Fabaceae,522942.3648,8998073.31,0.61,0.16493047,15.0,23.71,17.48,20111208,A,O,T07,14.15,14.15,feldpausch_regional,0.18,default,0.0,15.0,14.15,15.0,True,O,23.71,measured,15.0,23.71,0.6075,88.7409,60.386,60.386,88.7409,60.386,60.386,
JAM_A01,44,Stryphnodendron pulcherrimum,Fabaceae,522943.7194,8998070.329,0.47,0.079780712,15.2,14.43,7.53,20111208,A,O,T07,14.28,14.28,feldpausch_regional,0.18,default,0.0,15.2,14.28,15.2,True,O,14.43,measured,15.2,14.43,0.475,56.0871,41.3073,41.3073,56.0871,41.3073,41.3073,
JAM_A01,45,Inga sp.,Fabaceae,522943.6534,8998067.73,0.58,0.188546301,16.2,24.49,16.18,20111208,A,O,T07,14.91,14.91,feldpausch_regional,0.18,default,0.0,16.2,14.91,16.2,True,O,24.49,measured,16.2,24.49,0.5786,106.4356,72.324,72.324,106.4356,72.324,72.324,
JAM_A01,46,Pradosia praealta,Sapotaceae,522938.3632,8998061.668,0.73,5.859336652,61.0,42.3,31.34,20111208,A,O,T07,32.17,32.17,feldpausch_regional,0.18,default,0.0,61.0,32.17,61.0,True,O,42.3,measured,61.0,42.3,0.7378,2413.9748,1603.4874,1603.4874,2413.9748,1603.4874,1603.4874,
JAM_A01,47,Peltogyne leicointei,Fabaceae,522944.5731,8998061.546,0.76,0.32045081,24.2,14.08,8.54,20111208,A,O,T07,19.4,19.4,feldpausch_regional,0.18,default,0.0,24.2,19.4,24.2,True,O,14.08,measured,24.2,14.08,0.7926,135.7389,102.6236,102.6236,135.7389,102.6236,102.6236,
JAM_A01,48,NI,NI,522944.6659,8998059.748,0.6,0.005360008,6.2,5.16,,20111208,D,O,T07,7.45,7.45,feldpausch_regional,0.18,default,0.0,6.2,7.45,6.2,False,O,5.16,measured,6.2,5.16,0.639,3.5707,3.5707,3.7969,3.5707,3.5707,3.7969,
JAM_A01,49,Vochysia maxima,Vochysiaceae,522941.5456,8998050.415,0.49,9.211051207,85.3,50.76,37.62,20111208,A,O,T07,36.9,36.9,feldpausch_regional,0.18,default,0.0,85.3,36.9,85.3,True,O,50.76,measured,85.3,50.76,0.495,5549.6078,3639.7722,3639.7722,5549.6078,3639.7722,3639.7722,
