site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,dbh,dead,type,plot_id,htot_feldpausch,dbh_used,dead_used,type_used,htot_used,htot_source,iagc_m1_kgC,iagc_m2_kgC,rho_w_m3,iagc_m3_kgC
JAM_A02,8,Vochysia guianensis,Vochysiaceae,498887.0032,8990912.63,0.51,26.1,A,O,0,20.34,26.1,True,O,20.34,feldpausch,225.2649,161.2767,0.5087,161.2767
JAM_A02,55,Tachigali myrmecophila,Fabaceae,498881.9628,8990488.091,0.53,16.7,A,O,0,15.22,16.7,True,O,15.22,feldpausch,70.997,52.0844,0.476,52.0844
JAM_A02,63,,,498881.4822,8990469.582,,30.3,D,O,0,22.26,30.3,False,O,22.26,feldpausch,329.1708,329.1708,0.6306,345.5365
JAM_A02,50,Eschweilera coriacea,Lecythidaceae,498982.394,8990052.203,0.85,11.1,A,O,0,11.45,11.1,True,O,11.45,feldpausch,24.2284,18.2309,0.8521,18.2309
JAM_A02,10,Tetragastris panamensis,Burseraceae,499726.3186,8990357.19,0.73,25.9,A,O,0,20.24,25.9,True,O,20.24,feldpausch,220.8428,158.1755,0.7173,158.1755
JAM_A02,33,Virola sebifera,Myristicaceae,499726.2947,8990208.088,0.45,17.8,A,O,0,15.89,17.8,True,O,15.89,feldpausch,83.8644,61.2941,0.4454,61.2941
JAM_A02,34,Xylopia sp.,Annonaceae,499725.0251,8990204.464,0.57,15.1,A,O,0,14.21,15.1,True,O,14.21,feldpausch,54.5451,40.2564,0.5959,40.2564
JAM_A02,19,Sacoglottis guianensis,Humiriaceae,498877.6725,8988970.265,0.84,18.6,A,O,0,16.36,18.6,True,O,16.36,feldpausch,94.0161,68.5425,0.8359,68.5425
JAM_A02,1,Nectandra cuspidata,Lauraceae,498887.2825,8990933.628,0.56,28.9,A,l,0,21.64,28.9,True,L,21.64,feldpausch,291.9741,208.0154,0.518,208.0154
JAM_A02,2,Apuleia leiocarpa,Fabaceae,498869.9919,8990930.248,0.77,58.0,A,O,0,31.44,58.0,True,O,31.44,feldpausch,1637.6274,1137.2506,0.7992,1137.2506
JAM_A02,6a,Bagassa guianensis,Moraceae,498877.7839,8990916.5,0.71,67.0,A,O,0,33.53,67.0,True,O,33.53,feldpausch,2310.9037,1599.6086,0.7087,1599.6086
JAM_A02,3,Helicostylis sp.,Moraceae,498878.7529,8990914.407,0.65,39.6,A,O,0,25.93,39.6,True,O,25.93,feldpausch,644.2181,452.8353,0.643,452.8353
JAM_A02,4,Copaifera reticulata,Fabaceae,498884.7798,8990917.845,0.61,35.0,A,O,0,24.21,35.0,True,O,24.21,feldpausch,473.4351,334.4285,0.6075,334.4285
JAM_A02,5,Rinorea passoura,Violaceae,498884.7771,8990917.645,0.68,10.8,A,O,0,11.23,10.8,True,O,11.23,feldpausch,22.5359,16.987,0.6705,16.987
JAM_A02,6,Attalea speciosa,Arecaceae,498887.0763,8990918.13,0.33,23.5,A,P,0,19.05,23.5,True,P,19.05,feldpausch,172.1721,,0.326,
JAM_A02,7,Tachigali myrmecophila,Fabaceae,498885.2638,8990901.781,0.53,29.0,A,O,0,21.68,29.0,True,O,21.68,feldpausch,294.4798,209.7741,0.476,209.7741
JAM_A02,9,Bertholletia excelsa,Lecythidaceae,498855.071,8990932.651,0.64,55.1,A,O,0,30.7,55.1,True,O,30.7,feldpausch,1447.557,1006.5651,0.638,1006.5651
JAM_A02,10,Handroanthus serratifolius,Bignoniaceae,498845.2346,8990942.586,0.64,60.8,A,O,0,32.13,60.8,True,O,32.13,feldpausch,1833.9409,1272.0952,0.6306,1272.0952
JAM_A02,11,Apeiba echinata,Malvaceae,498843.2301,8990941.773,0.28,45.5,A,O,0,27.91,45.5,True,O,27.91,feldpausch,907.738,634.9124,0.2822,634.9124
JAM_A02,12,Hymenolobium petraeum,Fabaceae,498841.2787,8990944.96,0.71,39.4,A,O,0,25.86,39.4,True,O,25.86,feldpausch,636.2016,447.2826,0.7125,447.2826
JAM_A02,13,NI,NI,498886.9065,8990785.238,0.64,12.8,A,O,0,12.67,12.8,True,O,12.67,feldpausch,35.3219,26.3361,0.6306,26.3361
JAM_A02,14,Eschweilera grandifolia,Lecythidaceae,498889.3023,8990785.097,0.88,13.6,A,O,0,13.22,13.6,True,O,13.22,feldpausch,41.4429,30.7826,0.8314,30.7826
