site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,dbh,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
JAM_A03,1,Protium hepytaphillum ,Burseraceae,498874.4407,8996741.74,0.63,16.2,20131218,A,O,0,14.91,14.91,feldpausch_regional,0.18,default,0.0,16.2,14.91,16.2,True,O,14.91,feldpausch,16.2,14.91,0.5773,65.5765,48.1941,48.1941,65.5765,48.1941,48.1941,4
JAM_A03,2,Helicostylis sp.,Moraceae,498872.2207,8996744.205,0.65,22.5,20131218,A,O,0,18.53,18.53,feldpausch_regional,0.18,default,0.0,22.5,18.53,22.5,True,O,18.53,feldpausch,22.5,18.53,0.643,153.9456,111.0572,111.0572,153.9456,111.0572,111.0572,4
JAM_A03,3,Inga alba,Fabaceae,498874.5659,8996745.05,0.59,15.4,20131218,A,O,0,14.41,14.41,feldpausch_regional,0.18,default,0.0,15.4,14.41,15.4,True,O,14.41,feldpausch,15.4,14.41,0.5861,57.4589,42.3534,42.3534,57.4589,42.3534,42.3534,4
JAM_A03,4,Ambelania acida,Apocynaceae,498873.5734,8996752.335,0.52,12.6,20131218,A,O,0,12.53,12.53,feldpausch_regional,0.18,default,0.0,12.6,12.53,12.6,True,O,12.53,feldpausch,12.6,12.53,0.5247,33.8832,25.2886,25.2886,33.8832,25.2886,25.2886,4
JAM_A03,5,Attalea speciosa,Arecaceae,498874.5876,8996753.759,0.33,28.2,20131218,A,P,0,21.32,21.32,feldpausch_regional,0.18,default,0.0,28.2,21.32,28.2,True,P,21.32,feldpausch,28.2,21.32,0.326,274.311,,,274.311,,,4
JAM_A03,6,Protium hepytaphillum ,Burseraceae,498872.521,8996755.712,0.63,14.3,20131218,A,O,0,13.69,13.69,feldpausch_regional,0.18,default,0.0,14.3,13.69,14.3,True,O,13.69,feldpausch,14.3,13.69,0.5773,47.294,35.0195,35.0195,47.294,35.0195,35.0195,4
JAM_A03,7,Theobroma glaucum,Malvaceae,498871.8844,8996765.981,0.53,12.4,20131218,A,O,0,12.39,12.39,feldpausch_regional,0.18,default,0.0,12.4,12.39,12.4,True,O,12.39,feldpausch,12.4,12.39,0.5297,32.4831,24.2681,24.2681,32.4831,24.2681,24.2681,4
JAM_A03,8,Peltogyne leicointei,Fabaceae,498869.8733,8996768.319,0.8,16.4,20131218,A,O,0,15.04,15.04,feldpausch_regional,0.18,default,0.0,16.4,15.04,16.4,True,O,15.04,feldpausch,16.4,15.04,0.7926,67.7376,49.7434,49.7434,67.7376,49.7434,49.7434,4
JAM_A03,9,Enterolobium schomburgkii,Fabaceae,498869.7699,8996773.716,0.71,30.5,20131218,A,O,0,22.35,22.35,feldpausch_regional,0.18,default,0.0,30.5,22.35,30.5,True,O,22.35,feldpausch,30.5,22.35,0.6989,334.7409,237.8856,237.8856,334.7409,237.8856,237.8856,4
JAM_A03,10,Poeppigia sp.,Fabaceae,498871.6123,8996777.373,0.69,13.2,20131218,A,O,0,12.95,12.95,feldpausch_regional,0.18,default,0.0,13.2,12.95,13.2,True,O,12.95,feldpausch,13.2,12.95,0.735,38.3174,28.5131,28.5131,38.3174,28.5131,28.5131,4
JAM_A03,11,Vochysia guianensis,Vochysiaceae,498872.3849,8996779.223,0.51,15.0,20131218,A,O,0,14.15,14.15,feldpausch_regional,0.18,default,0.0,15.0,14.15,15.0,True,O,14.15,feldpausch,15.0,14.15,0.5087,53.6203,39.5877,39.5877,53.6203,39.5877,39.5877,4
JAM_A03,12,Tapirira guianensis,Anacardiaceae,498872.4089,8996780.785,0.46,11.1,20131218,A,O,0,11.45,11.45,feldpausch_regional,0.18,default,0.0,11.1,11.45,11.1,True,O,11.45,feldpausch,11.1,11.45,0.457,24.2284,18.2309,18.2309,24.2284,18.2309,18.2309,4
JAM_A03,13,Euterpe oleracea,Arecaceae,498871.9496,8996783.199,0.41,12.4,20131218,A,P,0,12.39,12.39,feldpausch_regional,0.18,default,0.0,12.4,12.39,12.4,True,P,12.39,feldpausch,12.4,12.39,0.3877,32.4831,,,32.4831,,,4
JAM_A03,14,Guatteria schomburgkiana,Annonaceae,498870.6622,8996783.379,0.6,19.9,20131218,A,O,0,17.11,17.11,feldpausch_regional,0.18,default,0.0,19.9,17.11,19.9,True,O,17.11,feldpausch,19.9,17.11,0.6,112.066,81.3887,81.3887,112.066,81.3887,81.3887,4
JAM_A03,15,Virola crebrinervia,Myristicaceae,498869.6915,8996781.558,0.5,12.8,20131218,A,O,0,12.67,12.67,feldpausch_regional,0.18,default,0.0,12.8,12.67,12.8,True,O,12.67,feldpausch,12.8,12.67,0.4734,35.3219,26.3361,26.3361,35.3219,26.3361,26.3361,4
JAM_A03,16,Nectandra cuspidata,Lauraceae,498868.8503,8996786.57,0.56,11.8,20131218,A,O,0,11.96,11.96,feldpausch_regional,0.18,default,0.0,11.8,11.96,11.8,True,O,11.96,feldpausch,11.8,11.96,0.518,28.4866,21.3505,21.3505,28.4866,21.3505,21.3505,4
JAM_A03,17,Terminalia amazonia,Combretaceae,498890.5174,8996775.701,0.68,38.8,20131218,A,O,0,25.64,25.64,feldpausch_regional,0.18,default,0.0,38.8,25.64,38.8,True,O,25.64,feldpausch,38.8,25.64,0.6735,612.2999,430.7426,430.7426,612.2999,430.7426,430.7426,0
JAM_A03,18,Anacardium spruceanum,Anacardiaceae,498903.5002,8996772.901,0.48,48.0,20131218,A,O,0,28.69,28.69,feldpausch_regional,0.18,default,0.0,48.0,28.69,48.0,True,O,28.69,feldpausch,48.0,28.69,0.4792,1035.115,722.7124,722.7124,1035.115,722.7124,722.7124,0
JAM_A03,19,Diospyros guianensis,Ebenaceae,498905.0347,8996767.792,0.73,39.0,20131218,A,O,0,25.71,25.71,feldpausch_regional,0.18,default,0.0,39.0,25.71,39.0,True,O,25.71,feldpausch,39.0,25.71,0.73,620.1238,436.1664,436.1664,620.1238,436.1664,436.1664,0
JAM_A03,20,Parkia paraensis,Fabaceae,498915.4819,8996761.433,0.42,70.0,20131218,A,O,0,34.15,34.15,feldpausch_regional,0.18,default,0.0,70.0,34.15,70.0,True,O,34.15,feldpausch,70.0,34.15,0.415,2562.6034,1772.4302,1772.4302,2562.6034,1772.4302,1772.4302,0
JAM_A03,21,Apeiba echinata,Malvaceae,498915.5908,8996760.439,0.28,42.0,20131218,A,O,0,26.77,26.77,feldpausch_regional,0.18,default,0.0,42.0,26.77,42.0,True,O,26.77,feldpausch,42.0,26.77,0.2822,745.4665,522.8468,522.8468,745.4665,522.8468,522.8468,0
JAM_A03,22,,,498909.6163,8996734.849,,40.8,20131218,D,O,0,26.35,26.35,feldpausch_regional,0.18,default,0.0,40.8,26.35,40.8,False,O,26.35,feldpausch,40.8,26.35,0.6345,693.6673,693.6673,732.5938,693.6673,693.6673,732.5938,0
JAM_A03,23,Inga alba,Fabaceae,498898.6141,8996737.371,0.59,41.5,20131218,A,O,0,26.59,26.59,feldpausch_regional,0.18,default,0.0,41.5,26.59,41.5,True,O,26.59,feldpausch,41.5,26.59,0.5861,723.4619,507.6627,507.6627,723.4619,507.6627,507.6627,0
JAM_A03,24,Neea oppositifolia,Nyctaginaceae,498870.5272,8996895.625,0.89,15.1,20131218,A,O,0,14.21,14.21,feldpausch_regional,0.18,default,0.0,15.1,14.21,15.1,True,O,14.21,feldpausch,15.1,14.21,0.893,54.5451,40.2564,40.2564,54.5451,40.2564,40.2564,5
JAM_A03,25,Mezilaurus itauba,Lauraceae,498872.4931,8996926.119,0.72,60.8,20131218,A,O,0,32.13,32.13,feldpausch_regional,0.18,default,0.0,60.8,32.13,60.8,True,O,32.13,feldpausch,60.8,32.13,0.7443,1833.9409,1272.0952,1272.0952,1833.9409,1272.0952,1272.0952,1
JAM_A03,26,Bertholletia excelsa,Lecythidaceae,498882.5515,8996741.581,0.64,106.2,20131218,A,O,0,39.7,39.7,feldpausch_regional,0.18,default,0.0,106.2,39.7,106.2,True,O,39.7,feldpausch,106.2,39.7,0.638,6696.9226,4614.4414,4614.4414,6696.9226,4614.4414,4614.4414,0
JAM_A03,27,Rinorea guianensis,Violaceae,498880.2968,8996893.952,0.78,41.4,20131218,A,O,0,26.56,26.56,feldpausch_regional,0.18,default,0.0,41.4,26.56,41.4,True,O,26.56,feldpausch,41.4,26.56,0.78,719.27,504.7528,504.7528,719.27,504.7528,504.7528,1
