site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2013,dead_2013,hcom_2013,htot_2013,date_2013,dbh_2018,dead_2018,date_2018,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
PAR_A01,1,NI,NI,220532.4959,9634021.826,O,11.1,False,9.44,12.36,20130309,,True,20180429,T06,,12.36,measured,0.2,site_median,0.0,,12.36,11.1,False,O,12.36,measured,11.1,12.36,0.599,26.1061,26.1061,26.0627,26.1061,26.1061,26.0627,T06_2
PAR_A01,2,Bocageopsis pleiosperma,Annonaceae,220517.7534,9634013.352,O,12.6,False,14.5,19.89,20130309,"16,5",False,20180429,T06,,19.89,measured,0.2,site_median,0.0,,19.89,12.6,False,O,19.89,measured,12.6,19.89,0.6402,53.1926,53.1926,56.6683,53.1926,53.1926,56.6683,T06_2
PAR_A01,3,Casearia grandiflora,Salicaceae,220493.8442,9634000.801,O,12.0,False,8.46,12.8,20130309,"12,3",False,20180429,T06,,12.8,measured,0.2,site_median,0.0,,12.8,12.0,False,O,12.8,measured,12.0,12.8,0.77,31.4528,31.4528,40.1235,31.4528,31.4528,40.1235,T06_2
PAR_A01,4,Bocageopsis pleiosperma,Annonaceae,220487.1511,9633996.364,O,13.6,False,7.66,10.34,20130309,"13,6",True,20180429,T06,,10.34,measured,0.2,site_median,0.0,,10.34,13.6,False,O,10.34,measured,13.6,10.34,0.6402,32.6062,32.6062,34.7367,32.6062,32.6062,34.7367,T06_2
PAR_A01,5,Dipteryx odorata,Fabaceae,220483.7652,9633994.636,O,15.2,False,14.71,16.8,20130309,"17,0",False,20180429,T06,,16.8,measured,0.2,site_median,0.0,,16.8,15.2,False,O,16.8,measured,15.2,16.8,0.9228,65.0611,65.0611,99.0302,65.0611,65.0611,99.0302,T06_2
PAR_A01,6,Bocageopsis pleiosperma,Annonaceae,220475.6357,9633990.328,O,11.0,False,12.44,18.51,20130309,"11,1",False,20180429,T06,,18.51,measured,0.2,site_median,0.0,,18.51,11.0,False,O,18.51,measured,11.0,18.51,0.6402,38.0406,38.0406,40.5262,38.0406,38.0406,40.5262,T06_2
PAR_A01,7,NI,NI,220450.8002,9633977.387,O,11.5,False,6.59,10.05,20130309,"11,5",True,20180429,T06,,10.05,measured,0.2,site_median,0.0,,10.05,11.5,False,O,10.05,measured,11.5,10.05,0.599,22.859,22.859,22.821,22.859,22.859,22.821,T06_2
PAR_A01,8,NI,NI,220441.424,9633971.604,O,13.8,False,10.97,16.67,20130309,16,False,20180429,T06,14.79,16.67,measured,0.44,observed,0.0,16.0,16.67,13.8,False,O,16.67,measured,13.8,16.67,0.599,53.4704,53.4704,53.3816,53.4704,53.4704,53.3816,T06_2
PAR_A01,9,Strychnos subcordata,Loganiaceae,220424.5177,9633962.294,O,10.6,False,6.61,10.04,20130309,"10,8",False,20180429,T06,,10.04,measured,0.2,site_median,0.0,,10.04,10.6,False,O,10.04,measured,10.6,10.04,0.6959,19.4782,19.4782,22.5128,19.4782,19.4782,22.5128,T06_2
PAR_A01,10,,,220412.2194,9633955.604,O,14.8,True,,4.01,20130309,,True,20180429,T06,,4.01,measured,0.2,site_median,0.0,,4.01,14.8,True,O,4.01,measured,14.8,4.01,0.599,15.2574,13.739,13.739,15.2574,13.739,13.739,T06_2
