site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2014,dead_2014,hcom_2014,htot_2014,dbh_2016,dead_2016,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
SAN_A01,1,Sloanea guianensis,Elaeocarpaceae,735903.0405,9669925.923,O,10.8,False,2.47,3.38,,True,1,,3.38,measured,0.25,site_median,0.0,,3.38,10.8,False,O,3.38,measured,10.8,3.38,0.8212,6.9811,6.9811,9.4832,6.9811,6.9811,9.4832,
SAN_A01,2,Cecropia ficifolia,Urticaceae,735901.5968,9669928.078,O,16.4,False,11.52,13.19,17.2,False,1,15.53,13.19,measured,0.4,observed,0.0,17.2,13.19,16.4,False,O,13.19,measured,16.4,13.19,0.266,59.5929,59.5929,26.9404,59.5929,59.5929,26.9404,
SAN_A01,3,Inga alba,Fabaceae,735898.1384,9669926.374,O,31.0,False,9.48,24.19,33.7,False,1,23.69,24.19,measured,1.35,observed,0.0,33.7,24.19,31.0,False,O,24.19,measured,31.0,24.19,0.5861,373.2736,373.2736,364.8381,373.2736,373.2736,364.8381,
SAN_A01,4,Guatteria schomburgkiana,Annonaceae,735894.0366,9669926.751,O,10.2,False,9.51,14.17,,True,1,,14.17,measured,0.25,site_median,0.0,,14.17,10.2,False,O,14.17,measured,10.2,14.17,0.6,25.2921,25.2921,25.2921,25.2921,25.2921,25.2921,
SAN_A01,5,Pouteria guianensis,Sapotaceae,735893.9963,9669928.783,O,11.6,False,4.3,9.39,12.2,False,1,12.25,9.39,measured,0.3,observed,0.0,12.2,9.39,11.6,False,O,9.39,measured,11.6,9.39,0.9295,21.7573,21.7573,33.3534,21.7573,21.7573,33.3534,
SAN_A01,6,Jacaranda copaia,Bignoniaceae,735889.1038,9669926.188,O,21.0,False,14.86,18.36,22.2,False,1,18.37,18.36,measured,0.6,observed,0.0,22.2,18.36,21.0,False,O,18.36,measured,21.0,18.36,0.3507,133.3437,133.3437,78.943,133.3437,133.3437,78.943,
SAN_A01,7,Jacaranda copaia,Bignoniaceae,735888.4342,9669927.266,O,14.2,False,14.75,17.47,14.2,False,1,13.62,17.47,measured,0.0,observed,0.0,14.2,17.47,14.2,False,O,17.47,measured,14.2,17.47,0.3507,59.1841,59.1841,35.0386,59.1841,59.1841,35.0386,
SAN_A01,8,Jacaranda copaia,Bignoniaceae,735888.2032,9669926.27,O,21.1,False,14.84,22.03,21.4,False,1,17.94,22.03,measured,0.15,observed,0.0,21.4,22.03,21.1,False,O,22.03,measured,21.1,22.03,0.3507,160.7838,160.7838,95.1883,160.7838,160.7838,95.1883,
SAN_A01,9,Sloanea guianensis,Elaeocarpaceae,735887.8983,9669925.485,O,13.8,False,3.65,10.36,,True,1,,10.36,measured,0.25,site_median,0.0,,10.36,13.8,False,O,10.36,measured,13.8,10.36,0.8212,33.6121,33.6121,45.6586,33.6121,33.6121,45.6586,
SAN_A01,10,Cecropia ficifolia,Urticaceae,735879.5629,9669929.102,O,20.7,False,4.91,5.67,20.6,False,1,17.5,5.67,measured,0.0,observed,0.0,20.6,5.67,20.7,False,O,5.67,measured,20.7,5.67,0.266,41.1843,41.1843,18.6183,41.1843,41.1843,18.6183,
SAN_A01,11,Sloanea guianensis,Elaeocarpaceae,735879.5026,9669929.414,O,11.1,False,1.36,2.73,,True,1,,2.73,measured,0.25,site_median,0.0,,2.73,11.1,False,O,2.73,measured,11.1,2.73,0.8212,5.979,5.979,8.1218,5.979,5.979,8.1218,
SAN_A01,12,Neea oppositifolia,Nyctaginaceae,735874.2951,9669930.612,O,10.7,False,3.24,4.8,10.8,False,1,11.23,4.8,measured,0.05,observed,0.0,10.8,4.8,10.7,False,O,4.8,measured,10.7,4.8,0.893,9.654,9.654,14.232,9.654,9.654,14.232,
SAN_A01,13,Sloanea guianensis,Elaeocarpaceae,735869.7293,9669932.061,O,13.4,False,9.27,13.6,16.5,False,1,15.1,13.6,measured,1.55,observed,0.0,16.5,13.6,13.4,False,O,13.6,measured,13.4,13.6,0.8212,41.3907,41.3907,56.225,41.3907,41.3907,56.225,
SAN_A01,14,Stryphnodendron pulcherrimum,Fabaceae,735871.9291,9669931.856,O,23.0,False,9.49,14.36,24.0,False,1,19.3,14.36,measured,0.5,observed,0.0,24.0,14.36,23.0,False,O,14.36,measured,23.0,14.36,0.475,125.2957,125.2957,99.7501,125.2957,125.2957,99.7501,
SAN_A01,15,Cecropia ficifolia,Urticaceae,735860.422,9669929.84,O,26.1,False,11.68,19.06,27.3,False,1,20.91,19.06,measured,0.6,observed,0.0,27.3,19.06,26.1,False,O,19.06,measured,26.1,19.06,0.266,211.4185,211.4185,95.5766,211.4185,211.4185,95.5766,
SAN_A01,16,Pouteria sp.,Sapotaceae,735858.1846,9669929.016,O,10.2,False,2.96,4.97,11.2,False,1,11.53,4.97,measured,0.5,observed,0.0,11.2,4.97,10.2,False,O,4.97,measured,10.2,4.97,0.7187,9.0969,9.0969,10.8498,9.0969,9.0969,10.8498,
SAN_A01,17,Cecropia ficifolia,Urticaceae,735856.4562,9669928.968,O,10.3,False,7.91,10.67,10.4,False,1,10.93,10.67,measured,0.05,observed,0.0,10.4,10.67,10.3,False,O,10.67,measured,10.3,10.67,0.266,19.5437,19.5437,8.8352,19.5437,19.5437,8.8352,
SAN_A01,18,Pouteria sp.,Sapotaceae,735874.8627,9669965.41,O,55.2,False,17.02,28.77,54.5,False,1,30.54,28.77,measured,0.0,observed,0.0,54.5,28.77,55.2,False,O,28.77,measured,55.2,28.77,0.7187,1363.4872,1363.4872,1626.2326,1363.4872,1363.4872,1626.2326,
SAN_A01,19,Simarouba amara,Simaroubaceae,735874.138,9669967.543,O,44.5,False,12.76,24.23,47.6,False,1,28.57,24.23,measured,1.55,observed,0.0,47.6,24.23,44.5,False,O,24.23,measured,44.5,24.23,0.3833,757.1612,757.1612,488.9714,757.1612,757.1612,488.9714,
SAN_A01,20,Pradosia cochlearia,Sapotaceae,735897.7603,9669947.7,O,51.3,False,16.06,27.47,53.0,False,1,30.13,27.47,measured,0.85,observed,0.0,53.0,27.47,51.3,False,O,27.47,measured,51.3,27.47,0.73,1129.629,1129.629,1367.9283,1129.629,1129.629,1367.9283,
SAN_A01,21,Inga alba,Fabaceae,735900.8789,9669948.398,O,35.6,False,12.78,23.85,36.1,False,1,24.63,23.85,measured,0.25,observed,0.0,36.1,23.85,35.6,False,O,23.85,measured,35.6,23.85,0.5861,482.3028,482.3028,471.4032,482.3028,482.3028,471.4032,
SAN_A01,22,,,735900.6584,9669954.506,O,59.1,True,0.59,29.12,,True,1,,29.12,measured,0.25,site_median,0.0,,29.12,59.1,True,O,29.12,measured,59.1,29.12,0.5942,1576.3412,1109.0292,1109.0292,1576.3412,1109.0292,1109.0292,
SAN_A01,23,Pouteria retinervis,Sapotaceae,735903.4822,9669945.096,O,39.7,False,12.45,19.34,36.0,False,1,24.6,19.34,measured,0.0,observed,0.0,36.0,19.34,39.7,False,O,19.34,measured,39.7,19.34,0.7187,486.2742,486.2742,579.9798,486.2742,486.2742,579.9798,
SAN_A01,24,Inga alba,Fabaceae,735906.0889,9669941.801,O,40.3,False,10.56,22.77,42.8,False,1,27.04,22.77,measured,1.25,observed,0.0,42.8,22.77,40.3,False,O,22.77,measured,40.3,22.77,0.5861,587.2222,587.2222,573.9516,587.2222,587.2222,573.9516,
SAN_A01,25,,,735751.3879,9669945.475,O,18.6,True,1.03,6.42,,True,2,,6.42,measured,0.25,site_median,0.0,,6.42,18.6,True,O,6.42,measured,18.6,6.42,0.5942,37.7315,31.8896,31.8896,37.7315,31.8896,31.8896,
SAN_A01,26,Inga alba,Fabaceae,735748.2612,9669946.987,O,18.0,False,14.9,20.84,18.7,False,2,16.42,20.84,measured,0.35,observed,0.0,18.7,20.84,18.0,False,O,20.84,measured,18.0,20.84,0.5861,111.6855,111.6855,109.1615,111.6855,111.6855,109.1615,
SAN_A01,27,Inga thibaudiana,Fabaceae,735747.8537,9669945.959,O,14.8,False,13.27,19.95,14.7,False,2,13.95,19.95,measured,0.0,observed,0.0,14.7,19.95,14.8,False,O,19.95,measured,14.8,19.95,0.5786,73.0392,73.0392,70.4908,73.0392,73.0392,70.4908,
SAN_A01,28,Cecropia ficifolia,Urticaceae,735745.0623,9669949.58,O,24.2,False,18.69,25.26,24.4,False,2,19.5,25.26,measured,0.1,observed,0.0,24.4,25.26,24.2,False,O,25.26,measured,24.2,25.26,0.266,240.1282,240.1282,108.5556,240.1282,240.1282,108.5556,
SAN_A01,29,Cecropia ficifolia,Urticaceae,735741.3692,9669947.921,O,36.0,False,15.17,26.31,37.2,False,2,25.05,26.31,measured,0.6,observed,0.0,37.2,26.31,36.0,False,O,26.31,measured,36.0,26.31,0.266,542.5017,542.5017,245.2505,542.5017,542.5017,245.2505,
SAN_A01,30,Inga thibaudiana,Fabaceae,735737.58,9669946.079,O,19.8,False,11.42,20.4,20.0,False,2,17.17,20.4,measured,0.1,observed,0.0,20.0,20.4,19.8,False,O,20.4,measured,19.8,20.4,0.5786,131.7499,131.7499,127.153,131.7499,131.7499,127.153,
SAN_A01,31,Jacaranda copaia,Bignoniaceae,735736.2096,9669946.482,O,13.6,False,16.12,17.82,,True,2,,17.82,measured,0.25,site_median,0.0,,17.82,13.6,False,O,17.82,measured,13.6,17.82,0.3507,55.4644,55.4644,32.8364,55.4644,55.4644,32.8364,
SAN_A01,32,Sloanea guianensis,Elaeocarpaceae,735731.6015,9669950.306,O,11.1,False,2.45,6.98,,True,2,,6.98,measured,0.25,site_median,0.0,,6.98,11.1,False,O,6.98,measured,11.1,6.98,0.8212,14.9463,14.9463,20.303,14.9463,14.9463,20.303,
SAN_A01,33,Inga thibaudiana,Fabaceae,735724.1439,9669947.201,O,17.5,False,6.6,14.46,,True,2,,14.46,measured,0.25,site_median,0.0,,14.46,17.5,False,O,14.46,measured,17.5,14.46,0.5786,73.9938,73.9938,71.4121,73.9938,73.9938,71.4121,
SAN_A01,34,Jacaranda copaia,Bignoniaceae,735716.1493,9669949.252,O,11.5,False,17.74,20.31,,True,2,,20.31,measured,0.25,site_median,0.0,,20.31,11.5,False,O,20.31,measured,11.5,20.31,0.3507,45.4222,45.4222,26.8911,45.4222,45.4222,26.8911,
