site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2016,dead_2016,hcom_2016,htot_2016,dbh_2018,dead_2018,plot_id,htot_feldpausch,dbh_used,dead_used,type_used,htot_used,htot_source,iagc_m1_kgC,iagc_m2_kgC,rho_w_m3,iagc_m3_kgC
SAN_A01b,001a,,,736910.3807,9667923.18,O,22.0,False,,,22.4,False,2,18.47,22.0,False,O,18.47,feldpausch,146.8728,146.8728,0.6965,169.8819
SAN_A01b,001b,Eschweilera coriacea,Lecythidaceae,736890.3347,9667914.087,O,44.1,False,26.19,35.07,47.2,False,2,28.45,44.1,False,O,35.07,measured,1067.2401,1067.2401,0.8521,1502.9239
SAN_A01b,002a,Parkia paraensis,Fabaceae,736902.8456,9667920.434,O,46.8,False,17.54,28.99,46.8,False,2,28.32,46.8,False,O,28.99,measured,995.2561,995.2561,0.415,694.5031
SAN_A01b,002b,Micrandra minor,Euphorbiaceae,736897.7126,9667892.239,O,46.6,False,19.98,28.15,46.4,False,2,28.2,46.6,False,O,28.15,measured,959.0493,959.0493,0.41,661.3667
SAN_A01b,003a,,,736904.3004,9667919.625,O,21.5,True,,,,True,2,,21.5,True,O,,feldpausch,,,0.6965,
SAN_A01b,003b,Tachigali myrmecophila,Fabaceae,736904.9648,9667874.771,O,57.5,False,36.82,44.77,,True,2,,57.5,False,O,44.77,measured,2273.504,2273.504,0.476,1813.696
SAN_A01b,004a,Eschweilera micrantha,Lecythidaceae,736906.3098,9667920.021,O,13.5,False,,,14.2,False,2,13.62,13.5,False,O,13.62,feldpausch,42.0561,42.0561,0.86,59.7618
SAN_A01b,004b,Micrandra minor,Euphorbiaceae,736880.8993,9667883.61,O,42.7,False,22.8,31.67,42.9,False,2,27.07,42.7,False,O,31.67,measured,907.1694,907.1694,0.41,625.5901
SAN_A01b,005a,,,736908.1397,9667918.341,O,26.6,True,,,,True,2,,26.6,True,O,,feldpausch,,,0.6965,
SAN_A01b,005b,Eschweilera apiculata,Lecythidaceae,736883.0185,9667890.344,O,46.6,False,21.49,33.28,46.7,False,2,28.29,46.6,False,O,33.28,measured,1129.2781,1129.2781,0.8314,1552.584
SAN_A01b,006a,Virola michelii,Myristicaceae,736909.3067,9667916.921,O,13.0,False,,,13.9,False,2,13.42,13.0,False,O,13.42,feldpausch,38.5092,38.5092,0.4701,30.3507
SAN_A01b,006b,,,736877.7142,9667901.158,O,47.3,True,2.77,31.54,,True,2,,47.3,True,O,31.54,measured,1103.262,758.3167,0.6965,758.3167
SAN_A01b,007a,Eschweilera ovata,Lecythidaceae,736907.8811,9667916.46,O,10.1,False,,,10.2,False,2,10.78,10.1,False,O,10.78,feldpausch,18.9991,18.9991,0.9,28.2226
SAN_A01b,008a,,,736905.3701,9667914.767,L,11.6,False,,,11.3,False,2,11.6,11.6,False,L,11.6,feldpausch,26.742,26.742,0.6965,30.9314
SAN_A01b,009a,Eschweilera ovata,Lecythidaceae,736904.701,9667911.401,O,12.0,False,,,12.8,False,2,12.67,12.0,False,O,12.67,feldpausch,31.141,31.141,0.9,46.2591
SAN_A01b,010a,Eschweilera coriacea,Lecythidaceae,736903.6973,9667908.808,O,17.9,False,,,18.1,False,2,16.07,17.9,False,O,16.07,feldpausch,85.7238,85.7238,0.8521,120.7192
SAN_A01b,011a,Eschweilera micrantha,Lecythidaceae,736908.4404,9667910.301,O,11.2,False,,,10.4,False,2,10.93,11.2,False,O,10.93,feldpausch,23.5628,23.5628,0.86,33.4828
SAN_A01b,012a,Duguetia surinamensis,Annonaceae,736907.6937,9667907.132,O,25.4,False,,,25.5,False,2,20.05,25.4,False,O,20.05,feldpausch,210.6492,210.6492,0.8,278.933
SAN_A01b,013a,Manilkara huberi,Sapotaceae,736909.2638,9667906.026,O,15.0,False,8.55,11.48,15.3,False,2,14.34,15.0,False,O,11.48,measured,43.7214,43.7214,0.9214,66.4513
SAN_A01b,014a,Poeppigia procera,Fabaceae,736914.3997,9667911.449,O,19.1,False,,,19.9,False,2,17.11,19.1,False,O,17.11,feldpausch,103.4403,103.4403,0.735,126.0987
SAN_A01b,015a,Lecythis idatimon,Lecythidaceae,736914.3441,9667910.837,O,17.2,False,,,17.7,False,2,15.83,17.2,False,O,15.83,feldpausch,78.1458,78.1458,0.7986,103.2971
