site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,htot,hcom,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
SAN_A02,1,Attalea maripa,Arecaceae,738320.1308,9636707.555,34.8,13.31,6.19,False,P,1,24.13,24.13,feldpausch_regional,0.18,default,0.0,34.8,24.13,34.8,False,P,13.31,measured,34.8,13.31,0.326,261.1086,326.061,326.061,261.1086,326.061,326.061,
SAN_A02,2,Attalea maripa,Arecaceae,738327.3408,9636709.935,61.1,12.96,4.29,False,P,1,32.2,32.2,feldpausch_regional,0.18,default,0.0,61.1,32.2,61.1,False,P,12.96,measured,61.1,12.96,0.326,763.3358,1531.6296,1531.6296,763.3358,1531.6296,1531.6296,
SAN_A02,3,Attalea maripa,Arecaceae,738327.5442,9636723.531,51.0,14.97,5.56,False,P,1,29.57,29.57,feldpausch_regional,0.18,default,0.0,51.0,29.57,51.0,False,P,14.97,measured,51.0,14.97,0.326,617.5244,932.1629,932.1629,617.5244,932.1629,932.1629,
SAN_A02,4,Attalea maripa,Arecaceae,738329.0292,9636726.602,59.0,11.31,7.02,False,P,1,31.69,31.69,feldpausch_regional,0.18,default,0.0,59.0,31.69,59.0,False,P,11.31,measured,59.0,11.31,0.326,624.2281,1391.2631,1391.2631,624.2281,1391.2631,1391.2631,
SAN_A02,5,Cecropia ficifolia,Urticaceae,738324.1923,9636734.259,15.2,10.82,7.59,False,O,1,14.28,14.28,feldpausch_regional,0.18,default,0.0,15.2,14.28,15.2,False,O,10.82,measured,15.2,10.82,0.266,42.3472,42.3472,19.1441,42.3472,42.3472,19.1441,
SAN_A02,6,Attalea maripa,Arecaceae,738334.2502,9636741.065,70.0,12.06,3.85,False,P,1,34.15,34.15,feldpausch_regional,0.18,default,0.0,70.0,34.15,70.0,False,P,12.06,measured,70.0,12.06,0.326,927.8698,2225.6641,2225.6641,927.8698,2225.6641,2225.6641,
SAN_A02,7,Attalea maripa,Arecaceae,738366.7782,9636742.973,54.1,8.92,4.49,False,P,1,30.43,30.43,feldpausch_regional,0.18,default,0.0,54.1,30.43,54.1,False,P,8.92,measured,54.1,8.92,0.326,418.04,1096.2831,1096.2831,418.04,1096.2831,1096.2831,
SAN_A02,8,Attalea maripa,Arecaceae,738352.2998,9636744.493,52.0,11.53,2.95,False,P,1,29.85,29.85,feldpausch_regional,0.18,default,0.0,52.0,29.85,52.0,False,P,11.53,measured,52.0,11.53,0.326,497.101,983.2607,983.2607,497.101,983.2607,983.2607,
SAN_A02,9,Attalea maripa,Arecaceae,738357.4421,9636743.743,55.4,11.71,2.39,False,P,1,30.77,30.77,feldpausch_regional,0.18,default,0.0,55.4,30.77,55.4,False,P,11.71,measured,55.4,11.71,0.326,571.0883,1170.2121,1170.2121,571.0883,1170.2121,1170.2121,
SAN_A02,10,Attalea maripa,Arecaceae,738363.2255,9636747.846,65.0,14.89,4.12,False,P,1,33.09,33.09,feldpausch_regional,0.18,default,0.0,65.0,33.09,65.0,False,P,14.89,measured,65.0,14.89,0.326,986.3085,1815.5427,1815.5427,986.3085,1815.5427,1815.5427,
