site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,agb_source,dbh,htot,hcom,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
SFX_A02,1,Dalbergia melanoxylon,Fabaceae,411041.5597,9270911.325,0.8,0.432156124,36.3,8.05,3.2,20120806,A,O,P18,24.71,24.71,feldpausch_regional,0.18,default,0.0,36.3,24.71,36.3,True,O,8.05,measured,36.3,8.05,1.0772,173.5622,146.155,146.155,173.5622,146.155,146.155,
SFX_A02,2,Theobroma glaucum,Malvaceae,411037.8597,9270906.525,0.53,,10.0,,,20120806,A,O,P18,10.62,10.62,feldpausch_regional,0.18,default,0.0,10.0,10.62,10.0,True,O,10.62,feldpausch,10.0,10.62,0.5297,18.3636,13.9133,13.9133,18.3636,13.9133,13.9133,
SFX_A02,3,Pouteria sp.,Sapotaceae,411042.5597,9270904.525,0.78,,25.7,,,20120806,A,O,P18,20.14,20.14,feldpausch_regional,0.18,default,0.0,25.7,20.14,25.7,True,O,20.14,feldpausch,25.7,20.14,0.7187,216.4772,155.1123,155.1123,216.4772,155.1123,155.1123,
SFX_A02,4,Schefflera morototoni,Araliaceae,411039.6597,9270899.325,0.45,0.060828102,14.3,12.9,10.54,20120806,A,O,P18,13.69,13.69,feldpausch_regional,0.18,default,0.0,14.3,13.69,14.3,True,O,12.9,measured,14.3,12.9,0.4559,44.6285,33.3575,33.3575,44.6285,33.3575,33.3575,
SFX_A02,5,Astronium gracile,Anacardiaceae,411033.8597,9270899.325,0.73,5.210652061,58.7,40.7,21.08,20120806,A,O,P18,31.62,31.62,feldpausch_regional,0.18,default,0.0,58.7,31.62,58.7,True,O,40.7,measured,58.7,40.7,0.73,2156.7828,1438.7452,1438.7452,2156.7828,1438.7452,1438.7452,
SFX_A02,6,NI,NI,411019.8597,9270898.325,0.62,,12.7,,,20120806,A,O,P18,12.6,12.6,feldpausch_regional,0.18,default,0.0,12.7,12.6,12.7,True,O,12.6,feldpausch,12.7,12.6,0.7175,34.5977,25.8089,25.8089,34.5977,25.8089,25.8089,
SFX_A02,7,Theobroma glaucum,Malvaceae,411036.5597,9270897.325,0.53,,12.7,,,20120806,A,O,P18,12.6,12.6,feldpausch_regional,0.18,default,0.0,12.7,12.6,12.7,True,O,12.6,feldpausch,12.7,12.6,0.5297,34.5977,25.8089,25.8089,34.5977,25.8089,25.8089,
SFX_A02,8,Nectandra cuspidata,Lauraceae,411030.8597,9270894.325,0.56,0.747075652,36.0,20.22,16.45,20120806,A,O,P18,24.6,24.6,feldpausch_regional,0.18,default,0.0,36.0,24.6,36.0,True,O,20.22,measured,36.0,20.22,0.518,419.5711,305.3469,305.3469,419.5711,305.3469,305.3469,
SFX_A02,9,Sapium marmieri,Euphorbiaceae,411033.8597,9270893.325,0.41,0.702705224,39.3,21.8,17.0,20120806,A,O,P18,25.82,25.82,feldpausch_regional,0.18,default,0.0,39.3,25.82,39.3,True,O,21.8,measured,39.3,21.8,0.41,535.8565,386.992,386.992,535.8565,386.992,386.992,
SFX_A02,10,Dalbergia melanoxylon,Fabaceae,411024.8597,9270893.025,0.8,,17.7,,,20120806,A,O,P18,15.83,15.83,feldpausch_regional,0.18,default,0.0,17.7,15.83,17.7,True,O,15.83,feldpausch,17.7,15.83,1.0772,82.6414,60.4201,60.4201,82.6414,60.4201,60.4201,
SFX_A02,11,Dalbergia melanoxylon,Fabaceae,411036.8597,9270892.525,0.8,0.733810106,35.0,14.7,9.19,20120806,A,O,P18,24.21,24.21,feldpausch_regional,0.18,default,0.0,35.0,24.21,35.0,True,O,14.7,measured,35.0,14.7,1.0772,290.9265,222.3623,222.3623,290.9265,222.3623,222.3623,
SFX_A02,12,Inga marginata,Fabaceae,411039.8597,9270892.125,0.57,,10.2,,,20120806,A,O,P18,10.78,10.78,feldpausch_regional,0.18,default,0.0,10.2,10.78,10.2,True,O,10.78,feldpausch,10.2,10.78,0.5518,19.368,14.6535,14.6535,19.368,14.6535,14.6535,
SFX_A02,13,Mimosa hostilis,Fabaceae,411032.8597,9270892.325,0.45,2.075819484,55.6,29.32,19.3,20120806,A,O,P18,30.83,30.83,feldpausch_regional,0.18,default,0.0,55.6,30.83,55.6,True,O,29.32,measured,55.6,29.32,0.8235,1408.6358,987.0728,987.0728,1408.6358,987.0728,987.0728,
SFX_A02,14,Sterculia pruriens,Malvaceae,411032.8597,9270889.925,0.49,,21.1,,,20120806,A,O,P18,17.78,17.78,feldpausch_regional,0.18,default,0.0,21.1,17.78,21.1,True,O,17.78,feldpausch,21.1,17.78,0.4862,130.4348,94.421,94.421,130.4348,94.421,94.421,
SFX_A02,15,Neea oppositifolia,Nyctaginaceae,411033.8597,9270888.325,0.89,0.024071894,10.3,4.99,2.7,20120806,A,O,P18,10.85,10.85,feldpausch_regional,0.18,default,0.0,10.3,10.85,10.3,True,O,4.99,measured,10.3,4.99,0.893,9.3082,7.9576,7.9576,9.3082,7.9576,7.9576,
SFX_A02,16,Theobroma glaucum,Malvaceae,411039.8597,9270886.825,0.53,,10.8,,,20120806,A,O,P18,11.23,11.23,feldpausch_regional,0.18,default,0.0,10.8,11.23,10.8,True,O,11.23,feldpausch,10.8,11.23,0.5297,22.5359,16.987,16.987,22.5359,16.987,16.987,
SFX_A02,17,Dalbergia melanoxylon,Fabaceae,411037.8597,9270882.325,0.8,,27.5,,,20120806,A,O,P18,21.0,21.0,feldpausch_regional,0.18,default,0.0,27.5,21.0,27.5,True,O,21.0,feldpausch,27.5,21.0,1.0772,257.35,183.7808,183.7808,257.35,183.7808,183.7808,
SFX_A02,18,NI,NI,411042.7597,9270882.325,0.62,,11.2,,,20120806,A,O,P18,11.53,11.53,feldpausch_regional,0.18,default,0.0,11.2,11.53,11.2,True,O,11.53,feldpausch,11.2,11.53,0.7175,24.8245,18.6669,18.6669,24.8245,18.6669,18.6669,
SFX_A02,19,Theobroma glaucum,Malvaceae,411034.8597,9270878.325,0.53,,11.0,,,20120806,A,O,P18,11.38,11.38,feldpausch_regional,0.18,default,0.0,11.0,11.38,11.0,True,O,11.38,feldpausch,11.0,11.38,0.5297,23.6621,17.8143,17.8143,23.6621,17.8143,17.8143,
SFX_A02,21,Dalbergia melanoxylon,Fabaceae,411042.9597,9270921.325,0.8,,13.7,,,20120806,A,O,P18,13.29,13.29,feldpausch_regional,0.18,default,0.0,13.7,13.29,13.7,True,O,13.29,feldpausch,13.7,13.29,1.0772,42.2571,31.3721,31.3721,42.2571,31.3721,31.3721,
SFX_A02,22,Dalbergia melanoxylon,Fabaceae,411045.8597,9270917.925,0.8,1.135614698,48.6,11.8,9.16,20120806,A,O,P18,28.87,28.87,feldpausch_regional,0.18,default,0.0,48.6,28.87,48.6,True,O,11.8,measured,48.6,11.8,1.0772,445.586,358.2049,358.2049,445.586,358.2049,358.2049,
SFX_A02,23,Dalbergia melanoxylon,Fabaceae,411045.8597,9270915.925,0.8,1.261785839,45.4,15.03,8.24,20120806,A,O,P18,27.88,27.88,feldpausch_regional,0.18,default,0.0,45.4,27.88,45.4,True,O,15.03,measured,45.4,15.03,1.0772,494.0213,380.9988,380.9988,494.0213,380.9988,380.9988,
SFX_A02,24,,,411045.5597,9270914.025,0.45,0.014742071,11.1,6.09,,20120806,D,o,P18,11.45,11.45,feldpausch_regional,0.18,default,0.0,11.1,11.45,11.1,False,O,6.09,measured,11.1,6.09,0.7175,13.0833,13.0833,15.5774,13.0833,13.0833,15.5774,
SFX_A02,25,Dalbergia melanoxylon,Fabaceae,411048.8597,9270914.025,0.8,1.920502824,50.5,18.48,15.53,20120806,A,O,P18,29.43,29.43,feldpausch_regional,0.18,default,0.0,50.5,29.43,50.5,True,O,18.48,measured,50.5,18.48,1.0772,744.0234,558.2188,558.2188,744.0234,558.2188,558.2188,
SFX_A02,26,Theobroma glaucum,Malvaceae,411047.0597,9270911.825,0.53,0.037051385,11.1,11.15,8.68,20120806,A,O,P18,11.45,11.45,feldpausch_regional,0.18,default,0.0,11.1,11.45,11.1,True,O,11.15,measured,11.1,11.15,0.5297,23.6087,17.8392,17.8392,23.6087,17.8392,17.8392,
