site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,htot,hcom,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
TAC_A01,1,Theobroma glaucum,Malvaceae,799902.9108,9725867.865,12.3,3.14,0.0,20140812,False,O,P01,12.32,12.32,feldpausch_regional,0.18,default,-1.0,12.12,12.19,12.3,False,O,3.14,measured,12.120000000000001,3.1074052808587647,0.5297,8.3745,8.3745,7.4156,8.0545,8.0545,7.1323,
TAC_A01,2,Euterpe oleracea,Arecaceae,799903.7024,9725868.539,9.3,7.41,3.5,20140812,False,P,P01,10.08,10.08,feldpausch_regional,0.18,default,-1.0,9.12,9.93,9.3,False,P,7.41,measured,9.120000000000001,7.304935016852144,0.3877,11.2171,8.6748,8.6748,10.6478,8.2211,8.2211,
TAC_A01,3,Euterpe oleracea,Arecaceae,799903.8532,9725868.667,10.8,10.08,7.77,20140812,False,P,P01,11.23,11.23,feldpausch_regional,0.18,default,-1.0,10.62,11.09,10.8,False,P,10.08,measured,10.620000000000001,9.958918833167338,0.3877,20.2806,13.0838,13.0838,19.3959,12.4932,12.4932,
TAC_A01,4,Euterpe oleracea,Arecaceae,799904.004,9725868.796,11.4,9.95,6.67,20140812,False,P,P01,11.67,11.67,feldpausch_regional,0.18,default,-1.0,11.22,11.54,11.4,False,P,9.95,measured,11.22,9.8374946143282,0.3877,22.2543,15.1799,15.1799,21.3355,14.5302,14.5302,
TAC_A01,5,Theobroma glaucum,Malvaceae,799905.0595,9725869.695,8.8,2.14,1.65,20140812,False,O,P01,9.68,9.68,feldpausch_regional,0.18,default,-1.0,8.62,9.53,8.8,False,O,2.14,measured,8.620000000000001,2.107755247603476,0.5297,2.9962,2.9962,2.6532,2.8354,2.8354,2.5108,
TAC_A01,6,Euterpe oleracea,Arecaceae,799906.2658,9725870.722,13.0,13.9,6.76,20140812,False,P,P01,12.81,12.81,feldpausch_regional,0.18,default,-1.0,12.82,12.68,13.0,False,P,13.9,measured,12.82,13.764476776351728,0.3877,39.853,21.7785,21.7785,38.4138,20.9597,20.9597,
TAC_A01,7,Euterpe oleracea,Arecaceae,799906.2658,9725870.722,5.9,4.64,1.83,20140812,False,P,P01,7.18,7.18,feldpausch_regional,0.18,default,-1.0,5.72,7.01,5.9,False,P,4.64,measured,5.720000000000001,4.532166957559781,0.3877,2.922,2.4838,2.4838,2.6881,2.281,2.281,
TAC_A01,8,Theobroma glaucum,Malvaceae,799907.3213,9725871.62,13.7,5.1,1.82,20140812,False,O,P01,13.29,13.29,feldpausch_regional,0.18,default,-1.0,13.52,13.17,13.7,False,O,5.1,measured,13.52,5.053157702923245,0.5297,16.5931,16.5931,14.6932,16.0252,16.0252,14.1904,
TAC_A01,9,Theobroma glaucum,Malvaceae,799909.583,9725873.546,9.7,3.32,2.08,20140812,False,O,P01,10.39,10.39,feldpausch_regional,0.18,default,-1.0,9.52,10.25,9.7,False,O,3.32,measured,9.52,3.2750653011460997,0.5297,5.5625,5.5625,4.9256,5.2919,5.2919,4.686,
TAC_A01,10,Euterpe oleracea,Arecaceae,799910.7139,9725874.509,13.6,12.13,6.49,20140812,False,P,P01,13.22,13.22,feldpausch_regional,0.18,default,-1.0,13.42,13.1,13.6,False,P,12.13,measured,13.42,12.017653526937869,0.3877,38.1045,24.6537,24.6537,36.7907,23.7672,23.7672,
TAC_A01,11,Euterpe oleracea,Arecaceae,799910.7139,9725874.509,11.4,9.43,6.16,20140812,False,P,P01,11.67,11.67,feldpausch_regional,0.18,default,-1.0,11.22,11.54,11.4,False,P,9.43,measured,11.22,9.323374292775371,0.3877,21.1185,15.1799,15.1799,20.2465,14.5302,14.5302,
TAC_A01,12,Euterpe oleracea,Arecaceae,799910.7893,9725874.574,9.7,8.92,6.19,20140812,False,P,P01,10.39,10.39,feldpausch_regional,0.18,default,-1.0,9.52,10.25,9.7,False,P,8.92,measured,9.52,8.799271833199763,0.3877,14.5947,9.7392,9.7392,13.8848,9.2505,9.2505,
TAC_A01,13,Euterpe oleracea,Arecaceae,799910.7893,9725874.574,10.1,7.78,3.19,20140812,False,P,P01,10.7,10.7,feldpausch_regional,0.18,default,-1.0,9.92,10.56,10.1,False,P,7.78,measured,9.92,7.679311376573032,0.3877,13.8195,10.8831,10.8831,13.1743,10.3583,10.3583,
TAC_A01,14,Theobroma glaucum,Malvaceae,799911.8448,9725875.472,8.7,3.42,3.19,20140812,False,O,P01,9.6,9.6,feldpausch_regional,0.18,default,-1.0,8.52,9.45,8.7,False,O,3.42,measured,8.52,3.367818226447353,0.5297,4.6303,4.6303,4.1002,4.379,4.379,3.8776,
TAC_A01,15,Theobroma glaucum,Malvaceae,799914.1066,9725877.398,9.6,4.48,2.09,20140812,False,O,P01,10.31,10.31,feldpausch_regional,0.18,default,-1.0,9.42,10.17,9.6,False,O,4.48,measured,9.42,4.418666501887338,0.5297,7.303,7.303,6.4668,6.944,6.944,6.149,
TAC_A01,16,Euterpe oleracea,Arecaceae,799915.4636,9725878.554,12.4,10.91,7.49,20140812,False,P,P01,12.39,12.39,feldpausch_regional,0.18,default,-1.0,12.22,12.26,12.4,False,P,10.91,measured,12.22,10.79778014593303,0.3877,28.6904,19.1261,19.1261,27.6031,18.3728,18.3728,
TAC_A01,17,Euterpe oleracea,Arecaceae,799915.4636,9725878.554,15.6,9.14,6.14,20140812,False,P,P01,14.54,14.54,feldpausch_regional,0.18,default,-1.0,15.42,14.42,15.6,False,P,9.14,measured,15.42,9.06769488797394,0.3877,37.7853,35.9452,35.9452,36.6537,34.8168,34.8168,
TAC_A01,18,Euterpe oleracea,Arecaceae,799915.4636,9725878.554,9.7,9.77,4.04,20140812,False,P,P01,10.39,10.39,feldpausch_regional,0.18,default,-1.0,9.52,10.25,9.7,False,P,9.77,measured,9.52,9.637767467529336,0.3877,15.9506,9.7392,9.7392,15.1747,9.2505,9.2505,
TAC_A01,19,Theobroma glaucum,Malvaceae,799916.5945,9725879.517,5.9,2.33,1.69,20140812,False,O,P01,7.18,7.18,feldpausch_regional,0.18,default,-1.0,5.72,7.01,5.9,False,O,2.33,measured,5.720000000000001,2.275851079981528,0.5297,1.4918,1.4918,1.321,1.3724,1.3724,1.2152,
TAC_A01,20,Euterpe oleracea,Arecaceae,799917.7254,9725880.48,12.2,9.92,6.19,20140812,False,P,P01,12.25,12.25,feldpausch_regional,0.18,default,-1.0,12.02,12.12,12.2,False,P,9.92,measured,12.02,9.816072324168314,0.3877,25.3297,18.2902,18.2902,24.3537,17.5581,17.5581,
TAC_A01,21,Euterpe oleracea,Arecaceae,799917.7254,9725880.48,14.2,8.09,5.69,20140812,False,P,P01,13.62,13.62,feldpausch_regional,0.18,default,-1.0,14.02,13.5,14.2,False,P,8.09,measured,14.02,8.01868000692658,0.3877,27.9181,27.7594,27.7594,26.9971,26.8031,26.8031,
TAC_A01,22,Euterpe oleracea,Arecaceae,799917.7254,9725880.48,18.8,9.92,6.98,20140812,False,P,P01,16.48,16.48,feldpausch_regional,0.18,default,-1.0,18.62,16.38,18.8,False,P,9.92,measured,18.62,9.856932204032969,0.3877,58.9131,60.0267,60.0267,57.4583,58.4604,58.4604,
TAC_A01,23,Euterpe oleracea,Arecaceae,799917.8762,9725880.608,6.8,3.78,1.76,20140812,False,P,P01,7.99,7.99,feldpausch_regional,0.18,default,-1.0,6.62,7.83,6.8,False,P,3.78,measured,6.62,3.7045920384423625,0.3877,3.1561,3.6691,3.6691,2.9367,3.4083,3.4083,
TAC_A01,24,Theobroma glaucum,Malvaceae,799918.6301,9725881.25,10.4,4.26,1.41,20140812,False,O,P01,10.93,10.93,feldpausch_regional,0.18,default,-1.0,10.22,10.79,10.4,False,O,4.26,measured,10.22,4.206631244993715,0.5297,8.1286,8.1286,7.1978,7.7601,7.7601,6.8716,
TAC_A01,25,Theobroma glaucum,Malvaceae,799921.1935,9725883.433,10.2,5.22,1.72,20140812,False,O,P01,10.78,10.78,feldpausch_regional,0.18,default,-1.0,10.02,10.64,10.2,False,O,5.22,measured,10.02,5.153177725034133,0.5297,9.5432,9.5432,8.4505,9.1021,9.1021,8.0599,
TAC_A01,26,Euterpe oleracea,Arecaceae,799922.0982,9725884.203,8.9,6.88,3.69,20140812,False,P,P01,9.76,9.76,feldpausch_regional,0.18,default,-1.0,8.72,9.61,8.9,False,P,6.88,measured,8.72,6.777613343052356,0.3877,9.5754,7.6875,7.6875,9.0673,7.2677,7.2677,
