tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
1,Tapirira guianensis,Anacardiaceae,799293.4777,9725892.604,11.5,False,O,1,11.75,11.75,feldpausch_regional,0.18,default,-2.0,11.14,11.48,11.5,False,O,11.75,feldpausch,11.14,11.486025455548704,0.457,26.6256,26.6256,20.4128,24.4741,24.4741,18.7633,
2,Inga sp.,Fabaceae,799294.5195,9725892.813,11.1,False,O,1,11.45,11.45,feldpausch_regional,0.18,default,-2.0,10.74,11.18,11.1,False,O,11.45,feldpausch,10.74,11.182340299273735,0.5786,24.2284,24.2284,23.3831,22.1998,22.1998,21.4252,
3,Xylopia nitida,Annonaceae,799292.2284,9725893.779,18.2,False,O,1,16.13,16.13,feldpausch_regional,0.18,default,-2.0,17.84,15.92,18.2,False,O,16.13,feldpausch,17.84,15.916334995085252,0.5483,88.8733,88.8733,81.396,84.3689,84.3689,77.2706,
4,Tapirira guianensis,Anacardiaceae,799293.1607,9725894.68,14.7,False,O,1,13.95,13.95,feldpausch_regional,0.18,default,-2.0,14.34,13.72,14.7,False,O,13.95,feldpausch,14.34,13.712948981304246,0.457,50.8357,50.8357,38.9737,47.6304,47.6304,36.5163,
5,Tapirira guianensis,Anacardiaceae,799293.1456,9725894.778,10.8,False,O,1,11.23,11.23,feldpausch_regional,0.18,default,-2.0,10.44,10.96,10.8,False,O,11.23,feldpausch,10.440000000000001,10.95930894767477,0.457,22.5359,22.5359,17.2773,20.5965,20.5965,15.7905,
6,Xylopia amazonica,Annonaceae,799296.7208,9725899.073,12.3,False,O,1,12.32,12.32,feldpausch_regional,0.18,default,-2.0,11.94,12.06,12.3,False,O,12.32,feldpausch,11.940000000000001,12.063429349784986,0.787,31.7974,31.7974,41.4369,29.396,29.396,38.3075,
7,Tapirira guianensis,Anacardiaceae,799295.7428,9725898.568,12.2,False,O,1,12.25,12.25,feldpausch_regional,0.18,default,-2.0,11.84,11.99,12.2,False,O,12.25,feldpausch,11.84,11.992521947516652,0.457,31.1212,31.1212,23.8593,28.7515,28.7515,22.0426,
8,Xylopia nitida,Annonaceae,799294.4186,9725900.237,23.0,False,O,1,18.79,18.79,feldpausch_regional,0.18,default,-2.0,22.64,18.6,23.0,False,O,18.79,feldpausch,22.64,18.60210565778387,0.5483,162.8943,162.8943,149.1894,156.4127,156.4127,143.2531,
9,Xylopia nitida,Annonaceae,799293.2127,9725901.214,16.6,False,O,1,15.16,15.16,feldpausch_regional,0.18,default,-2.0,16.24,14.94,16.6,False,O,15.16,feldpausch,16.240000000000002,14.936259251144145,0.5483,69.8995,69.8995,64.0186,66.0062,66.0062,60.4528,
10,Nectandra cuspidata,Lauraceae,799292.1193,9725901.5,11.6,False,O,1,11.82,11.82,feldpausch_regional,0.18,default,-2.0,11.24,11.56,11.6,False,O,11.82,feldpausch,11.24,11.557025370127894,0.518,27.2369,27.2369,23.5976,25.055,25.055,21.7072,
