site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,agb_source,dbh,htot,hcom,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
TAN_A01,1,Manilkara huberi,Sapotaceae,349210.6593,8553226.434,0.93,1.705094695,45.1,17.70902653,13.16929739,20121121,A,O,T01,27.79,27.79,feldpausch_regional,0.18,default,0.0,45.1,27.79,45.1,True,O,17.70902653,measured,45.1,17.70902653,0.9214,572.3363,429.9677,429.9677,572.3363,429.9677,429.9677,T01_1
TAN_A01,2,Heisteria densifrons,Olacaceae,349177.3807,8553288.462,0.65,0.106523568,15.7,13.06216788,9.294750609,20121121,A,O,T01,14.6,14.6,feldpausch_regional,0.18,default,0.0,15.7,14.6,15.7,True,O,13.06216788,measured,15.7,13.06216788,0.65,54.211,40.6218,40.6218,54.211,40.6218,40.6218,T01_2
TAN_A01,3,Heisteria densifrons,Olacaceae,349176.3095,8553292.084,0.65,0.033851968,11.1,8.3043725,6.18313088,20121121,A,O,T01,11.45,11.45,feldpausch_regional,0.18,default,0.0,11.1,11.45,11.1,True,O,8.3043725,measured,11.1,8.3043725,0.65,17.7082,14.0184,14.0184,17.7082,14.0184,14.0184,T01_1
TAN_A01,4,Schefflera morototoni,Araliaceae,349170.2537,8553312.652,0.452896923,1.254192836,45.1,26.7481703,20.58702155,20121121,A,O,T01,27.79,27.79,feldpausch_regional,0.18,default,0.0,45.1,27.79,45.1,True,O,26.7481703,measured,45.1,26.7481703,0.4559,855.9577,602.4751,602.4751,855.9577,602.4751,602.4751,T01_1
TAN_A01,5,Ocotea sp.,Lauraceae,349155.5,8553332.432,0.500567938,0.493746261,29.0,23.04236293,16.93192828,20121121,A,O,T01,21.68,21.68,feldpausch_regional,0.18,default,0.0,29.0,21.68,29.0,True,O,23.04236293,measured,29.0,23.04236293,0.5245,312.5273,220.4969,220.4969,312.5273,220.4969,220.4969,T01_2
TAN_A01,6,,,349146.4137,8553356.936,0.6,0.655164804,37.8,22.12689033,,20121121,A,O,T01,25.28,25.28,feldpausch_regional,0.18,default,0.0,37.8,25.28,37.8,True,O,22.12689033,measured,37.8,22.12689033,0.6531,503.9262,362.3998,362.3998,503.9262,362.3998,362.3998,T01_1
TAN_A01,7,Vochysia guianensis,Vochysiaceae,349137.8454,8553372.764,0.508725,0.924741747,42.1,20.14908875,15.55079963,20121121,A,O,T01,26.8,26.8,feldpausch_regional,0.18,default,0.0,42.1,26.8,42.1,True,O,20.14908875,measured,42.1,20.14908875,0.5087,567.5611,416.3941,416.3941,567.5611,416.3941,416.3941,T01_1
TAN_A01,8,Sloanea guianensis,Elaeocarpaceae,349108.1798,8553422.113,0.821152911,0.119716906,16.4,10.64942034,8.074807976,20121121,A,O,T01,15.04,15.04,feldpausch_regional,0.18,default,0.0,16.4,15.04,16.4,True,O,10.64942034,measured,16.4,10.64942034,0.8212,48.3622,37.5059,37.5059,48.3622,37.5059,37.5059,T01_2
TAN_A01,9,Bocageopsis pleiosperma,Annonaceae,349104.2802,8553430.708,0.640270745,0.065807728,12.9,12.13433661,8.327560271,20121121,A,O,T01,12.74,12.74,feldpausch_regional,0.18,default,0.0,12.9,12.74,12.9,True,O,12.13433661,measured,12.9,12.13433661,0.6402,34.382,25.8205,25.8205,34.382,25.8205,25.8205,T01_2
TAN_A01,10,Heisteria densifrons,Olacaceae,349102.5537,8553433.867,0.65,0.114158252,17.0,11.93928525,4.825807958,20121121,A,O,T01,15.41,15.41,feldpausch_regional,0.18,default,0.0,17.0,15.41,17.0,True,O,11.93928525,measured,17.0,11.93928525,0.65,58.0,44.2513,44.2513,58.0,44.2513,44.2513,T01_2
