site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2009,dead_2009,hcom_2009,htot_2009,date_2009,dbh_2010,dead_2010,htot_2010,date_2010,dbh_2011,dead_2011,hcom_2011,htot_2011,date_2011,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
TAP_A01,1.0,,,727139.84,9684877.68,O,15.0,D,,2.05,20090617-20090708,14.4,D,2.05,20100714-20100805,14.4,D,,1.9,20110712-20110719,M1,13.76,2.05,measured,0.0,observed,-1.0,14.4,2.05,15.0,False,O,2.05,measured,15.0,2.05,0.6,8.137,8.137,8.137,8.137,8.137,8.137,
TAP_A01,2.0,,,727137.51,9684877.4,O,15.1,A,13.53,19.67,20090617-20090708,15.1,A,9.84,20100714-20100805,15.1,A,7.85,9.03,20110712-20110719,M1,14.21,19.67,measured,0.0,observed,-1.0,15.1,19.67,15.1,True,O,19.67,measured,15.1,19.67,0.6,74.9164,52.5225,52.5225,74.9164,52.5225,52.5225,
TAP_A01,3.0,,,727128.17,9684876.27,O,17.5,A,20.38,23.13,20090617-20090708,17.3,A,25.17,20100714-20100805,17.5,A,22.17,24.79,20110712-20110719,M1,15.71,23.13,measured,0.0,observed,-1.0,17.5,23.13,17.5,True,O,23.13,measured,17.5,23.13,0.6,117.0325,80.5436,80.5436,117.0325,80.5436,80.5436,
TAP_A01,4.0,,,727117.49,9684875.46,O,13.6,A,22.84,26.86,20090617-20090708,30.7,A,27.25,20100714-20100805,31.7,A,,13.72,20110712-20110719,M1,22.86,26.86,measured,5.0,observed,-1.0,26.7,24.23,13.6,True,O,26.86,measured,8.6,19.331078682829993,0.6,82.782,54.9726,54.9726,24.5464,16.7963,16.7963,
TAP_A01,5.0,,,727115.44,9684873.74,O,5.4,A,6.13,12.5,20090617-20090708,5.2,A,9.29,20100714-20100805,5.2,A,5.07,11.46,20110712-20110719,M1,6.52,12.5,measured,0.0,observed,-1.0,5.2,12.5,5.4,True,O,12.5,measured,5.4,12.5,0.6,6.4666,4.6357,4.6357,6.4666,4.6357,4.6357,
TAP_A01,6.0,,,727103.97,9684877.73,O,99.7,D,0.7,4.54,20090617-20090708,99.7,D,6.1,20100714-20100805,99.7,D,,5.69,20110712-20110719,M1,38.93,4.54,measured,0.0,observed,-1.0,99.7,4.54,99.7,False,O,4.54,measured,99.7,4.54,0.6,713.1816,713.1816,713.1816,713.1816,713.1816,713.1816,
TAP_A01,7.0,,,727079.22,9684871.93,O,6.1,A,3.37,4.56,20090617-20090708,6.1,A,4.53,20100714-20100805,6.1,A,2.17,4.79,20110712-20110719,M1,7.36,4.56,measured,0.0,observed,-1.0,6.1,4.56,6.1,True,O,4.56,measured,6.1,4.56,0.6,3.066,2.5927,2.5927,3.066,2.5927,2.5927,
TAP_A01,8.0,,,727076.34,9684870.81,L,5.3,A,5.81,6.5,20090617-20090708,5.4,A,,20100714-20100805,5.4,A,,,20110712-20110719,M1,6.71,6.5,measured,0.05,observed,-1.0,5.35,6.45,5.3,True,L,6.5,measured,5.25,6.453118243735378,0.6,3.2934,2.6156,2.6156,3.2103,2.5513,2.5513,
TAP_A01,9.0,,,727074.07,9684870.71,O,14.1,A,11.14,12.35,20090617-20090708,14.2,A,11.99,20100714-20100805,14.3,A,10.1,12.92,20110712-20110719,M1,13.69,12.35,measured,0.1,observed,-1.0,14.2,12.29,14.1,True,O,12.35,measured,14.0,12.289100038332199,0.6,41.6105,31.2955,31.2955,40.8389,30.7286,30.7286,
TAP_A01,10.0,,,727070.7,9684871.06,O,6.3,A,5.75,9.35,20090617-20090708,6.4,A,9.05,20100714-20100805,6.4,A,8.17,11.15,20110712-20110719,M1,7.64,9.35,measured,0.05,observed,-1.0,6.35,9.29,6.3,True,O,9.35,measured,6.25,9.293929600644407,0.6,6.5809,4.9758,4.9758,6.4414,4.8731,4.8731,
TAP_A01,11.0,,,727058.77,9684870.04,O,17.7,D,1.38,4.85,20090617-20090708,,D,,20100714-20100805,,D,,,20110712-20110719,M1,,4.85,measured,0.1,site_median,-1.0,,,17.7,False,O,4.85,measured,17.599999999999998,4.831626666469821,0.6,26.0488,26.0488,26.0488,25.6671,25.6671,25.6671,
TAP_A01,12.0,,,727058.77,9684870.04,O,13.6,A,3.29,5.37,20090617-20090708,,D,,20100714-20100805,,D,,,20110712-20110719,M1,,5.37,measured,0.1,site_median,-1.0,,,13.6,True,O,5.37,measured,13.5,5.342404761983078,0.6,17.2022,14.7318,14.7318,16.8711,14.4549,14.4549,
TAP_A01,13.0,,,727040.47,9684872.09,O,39.2,A,12.09,19.24,20090617-20090708,39.5,A,17.17,20100714-20100805,39.7,A,9.11,14.03,20110712-20110719,M1,25.97,19.24,measured,0.25,observed,-1.0,39.45,19.17,39.2,True,O,19.24,measured,38.95,19.17269522485716,0.6,471.997,347.6253,347.6253,464.5474,342.223,342.223,
TAP_A01,14.0,,,727037.52,9684869.35,O,13.6,D,0.88,2.7,20090617-20090708,13.7,D,6.76,20100714-20100805,13.7,D,,3.5,20110712-20110719,M1,13.29,2.7,measured,0.05,observed,-1.0,13.65,2.69,13.6,False,O,2.7,measured,13.549999999999999,2.6930682896827736,0.6,8.7931,8.7931,8.7931,8.7082,8.7082,8.7082,
