site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2015,dead_2015,hcom_2015,htot_2015,date_2015,dbh_2016,dead_2016,date_2016,dbh_2018,dead_2018,date_2018,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
TAP_A01,001a,Amaioua guianensis,Rubiaceae,726091.4554028,9683369.432992,O,18.6,False,13.03,16.91,20151210.0,18.8,False,20161011.0,19.1,False,20180829,1,16.65,16.91,measured,0.167,observed,-3.0,18.6,16.62,18.6,False,O,16.91,measured,18.099,16.605584093291778,0.625,97.0998,97.0998,101.0465,90.4421,90.4421,94.1182,
TAP_A01,001b,Couratari stellata,Lecythidaceae,726114.3534831118,9683379.10468088,O,80.0,False,28.7,50.4,20151210.0,80.0,False,20161011.0,82.8,False,20180829,1,36.49,50.4,measured,0.933,observed,-3.0,80.0,49.75,80.0,False,O,50.4,measured,77.201,49.71122463955479,0.6331,4862.5552,4862.5552,5124.5366,4475.4859,4475.4859,4716.613,
TAP_A01,002a,Tetragastris panamensis,Burseraceae,726095.913291472,9683371.78395728,O,34.1,False,13.81,19.34,20151210.0,34.5,False,20161011.0,,True,20180829,1,,19.34,measured,0.167,site_median,-3.0,,,34.1,False,O,19.34,measured,33.599000000000004,19.176245928054154,0.7173,361.3922,361.3922,430.2163,348.1986,348.1986,414.5101,
TAP_A01,002b,Lecythis pisonis,Lecythidaceae,726118.3581828718,9683375.57670328,O,78.0,False,32.73,44.83,20151210.0,78.0,False,20161011.0,79.59999999999998,False,20180829,1,35.95,44.83,measured,0.533,observed,-3.0,78.0,44.48,78.0,False,O,44.83,measured,76.401,44.46832617776398,0.857,4128.1973,4128.1973,5846.2059,3933.3952,3933.3952,5570.3341,
TAP_A01,003a,Tachigali paniculata,Fabaceae,726096.9200179199,9683371.8400808,O,10.0,False,1.78,2.79,20151210.0,10.1,False,20161011.0,,True,20180829,1,,2.79,measured,0.167,site_median,-3.0,,,10.0,False,O,2.79,measured,9.499,2.687748510831428,0.5545,4.9816,4.9816,4.6126,4.3448,4.3448,4.0229,
TAP_A01,003b,Astronium graveolens,Anacardiaceae,726119.9084536,9683373.583664,O,22.2,False,10.95,14.86,20151210.0,23.2,False,20161011.0,23.2,False,20180829,1,18.89,14.86,measured,0.333,observed,-3.0,22.2,14.45,22.2,False,O,14.86,measured,21.201,14.425858656435857,0.8677,120.9016,120.9016,173.3011,107.357,107.357,153.8863,
TAP_A01,004a,Tetragastris panamensis,Burseraceae,726101.82261716,9683372.5890284,O,37.1,False,13.92,20.75,20151210.0,37.6,False,20161011.0,38.2,False,20180829,1,25.42,20.75,measured,0.367,observed,-3.0,37.1,20.42,37.1,False,O,20.75,measured,35.999,20.402583521108077,0.7173,456.3397,456.3397,543.2457,423.2455,423.2455,503.849,
TAP_A01,004b,Tachigali myrmecophila,Fabaceae,726122.023682784,9683373.28435616,O,36.6,False,15.74,24.01,20151210.0,36.6,False,20161011.0,10.0,False,20180829,1,10.62,24.01,measured,0.0,observed,-3.0,10.0,24.01,36.6,False,O,24.01,measured,36.6,24.01,0.476,512.4347,512.4347,408.7966,512.4347,512.4347,408.7966,
TAP_A01,005a,Quiina florida,Ochnaceae,726101.9530636,9683372.113604,O,13.1,False,5.92,8.08,20151210.0,14.5,False,20161011.0,14.3,False,20180829,1,13.69,8.08,measured,0.4,observed,-3.0,13.1,7.6,13.1,False,O,8.08,measured,11.899999999999999,7.550294404641798,0.728,23.8236,23.8236,28.7722,18.4851,18.4851,22.3247,
TAP_A01,005b,Swartzia corrugata,Fabaceae,726122.175240344,9683376.54816056,O,40.0,False,7.67,14.6,20151210.0,40.1,False,20161011.0,40.6,False,20180829,1,26.28,14.6,measured,0.2,observed,-3.0,40.0,14.48,40.0,False,O,14.6,measured,39.4,14.480316031907062,1.0565,375.0509,375.0509,651.4952,361.2341,361.2341,627.4942,
TAP_A01,006a,Chamaecrista scleroxylon,Fabaceae,726099.8503719838,9683376.04844416,O,34.0,False,,,20151210.0,34.4,False,20161011.0,35.2,False,20180829,1,24.28,23.16,local_fit,0.4,observed,-3.0,34.0,22.71,34.0,False,O,24.28,feldpausch,32.8,23.781879379665043,0.955,448.6527,448.6527,706.1841,409.8856,409.8856,645.1644,
TAP_A01,006b,Aspidosperma parvifolium,Apocynaceae,726126.58673024,9683375.2646776,O,100.0,False,28.13,48.13,20151210.0,100.2,False,20161011.0,84.4,False,20180829,1,36.75,48.13,measured,0.0,observed,-3.0,84.4,48.13,100.0,False,O,48.13,measured,100.0,48.13,0.781,7186.1879,7186.1879,9295.0206,7186.1879,7186.1879,9295.0206,
TAP_A01,007a,Strychnos subcordata,Loganiaceae,726091.426950272,9683376.87790928,O,13.8,False,,,20151210.0,14.0,False,20161011.0,,True,20180829,1,,13.73,local_fit,0.167,site_median,-3.0,,,13.8,False,O,,feldpausch,13.299000000000001,,0.6959,,,,,,,
TAP_A01,007b,Pouteria gongrijpii,Sapotaceae,726135.17308592,9683377.4259808,O,44.4,False,17.59,25.72,20151210.0,46.6,False,20161011.0,46.4,False,20180829,1,28.2,25.72,measured,0.667,observed,-3.0,44.4,25.14,44.4,False,O,25.72,measured,42.399,25.102732797065357,0.7994,799.0551,799.0551,1057.3016,713.1593,713.1593,943.6452,
TAP_A01,008a,,,726090.7215501278,9683378.30594072,O,24.9,True,,,20151210.0,24.9,True,20161011.0,,True,20180829,1,,19.33,local_fit,0.167,site_median,-3.0,,,24.9,True,O,,feldpausch,24.398999999999997,,0.6697,,,,,,,
TAP_A01,008b,Pouteria gongrijpii,Sapotaceae,726106.386202296,9683374.57585304,O,21.5,False,13.73,20.77,20151210.0,23.5,False,20161011.0,19.4,False,20180829,1,16.83,20.77,measured,0.0,observed,-3.0,19.4,20.77,21.5,False,O,20.77,measured,21.5,20.77,0.7994,157.4703,157.4703,208.3631,157.4703,157.4703,208.3631,
