site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2015,dead_2015,hcom_2015,htot_2015,date_2015,dbh_2018,dead_2018,date_2018,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
TAP_A03,001a,Pouteria gongrijpii,Sapotaceae,726694.04971088,9654190.352117602,O,10.5,False,,,20151209.0,,True,20180904,1,,11.51,local_fit,0.333,site_median,1.0,,,10.5,False,O,,feldpausch,10.833,,0.7994,,,,,,,
TAP_A03,001b,Nectandra cuspidata,Lauraceae,726713.804710752,9654198.88674304,O,20.5,False,,,20151209.0,,True,20180904,1,,16.15,local_fit,0.333,site_median,1.0,,,20.5,False,O,,feldpausch,20.833,,0.518,,,,,,,
TAP_A03,002a,Virola michelii,Myristicaceae,726694.21579696,9654192.6566792,O,11.0,False,,,20151209.0,,True,20180904,1,,11.79,local_fit,0.333,site_median,1.0,,,11.0,False,O,,feldpausch,11.333,,0.4701,,,,,,,
TAP_A03,002b,Protium paniculatum,Burseraceae,726713.632982368,9654202.52646336,O,18.0,False,,,20151209.0,,True,20180904,1,,15.12,local_fit,0.333,site_median,1.0,,,18.0,False,O,,feldpausch,18.333,,0.49,,,,,,,
TAP_A03,003a,Sterculia pruriens,Malvaceae,726692.129192992,9654193.16804784,O,13.9,False,,,20151209.0,14.7,False,20180904,1,13.95,13.27,local_fit,0.267,observed,1.0,14.97,13.44,13.9,False,O,13.95,feldpausch,14.167,14.135600078583348,0.4862,45.5753,45.5753,37.1181,47.9139,47.9139,39.0227,
TAP_A03,003b,,,726714.730627552,9654202.55504704,O,35.7,True,,,20151209.0,,True,20180904,1,,21.38,local_fit,0.333,site_median,1.0,,,35.7,True,O,,feldpausch,36.033,,0.5647,,,,,,,
TAP_A03,004a,Maquira coriacea,Moraceae,726697.5042864638,9654197.17297128,O,33.5,False,,,20151209.0,40.9,False,20180904,1,26.39,20.7,local_fit,2.467,observed,1.0,43.37,21.35,33.5,False,O,26.39,feldpausch,35.967,27.480674493180704,0.5112,472.7951,472.7951,404.3729,565.0364,565.0364,483.2652,
TAP_A03,004b,Pouteria macrophylla,Sapotaceae,726714.041329216,9654205.39098232,O,10.4,False,,,20151209.0,,True,20180904,1,,11.46,local_fit,0.333,site_median,1.0,,,10.4,False,O,,feldpausch,10.733,,0.737,,,,,,,
TAP_A03,005a,Ocotea cernua,Lauraceae,726700.5252113598,9654196.6182872,O,24.7,False,,,20151209.0,25.8,False,20180904,1,20.19,17.75,local_fit,0.367,observed,1.0,26.17,17.91,24.7,False,O,20.19,feldpausch,25.067,20.37686323619842,0.4535,200.8252,200.8252,152.8136,208.5578,208.5578,158.6976,
TAP_A03,005b,Protium heptaphyllum,Burseraceae,726713.02436016,9654205.7426632,O,19.8,False,,,20151209.0,,True,20180904,1,,15.87,local_fit,0.333,site_median,1.0,,,19.8,False,O,,feldpausch,20.133,,0.6293,,,,,,,
