site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2010,dead_2010,hcom_2009,htot_2010,date_2010,dbh_2011,dead_2011,hcom_2011,htot_2011,date_2011,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
TAP_A01,3001,,,727141.67,9664499.01,O,40.3,A,22.34,31.36,20100116-20100213,42.5,A,24.34,32.59,20110704-20110711,493.008928009,26.93,31.36,measured,2.2,observed,-2.0,38.1,29.57,40.3,True,O,31.36,measured,35.9,29.418260865943104,0.5819,802.5631,547.9049,547.9049,601.6934,412.6455,412.6455,
TAP_A01,3002,,,727144.53,9664495.54,O,6.1,A,3.15,7.66,20100116-20100213,6.3,A,,6.81,20110704-20110711,493.008928009,7.54,7.66,measured,0.2,observed,-2.0,5.9,7.29,6.1,True,O,7.66,measured,5.699999999999999,7.27607931637118,0.5819,5.0866,3.9629,3.9629,4.2378,3.3177,3.3177,
TAP_A01,3003,,,727144.92,9664496.03,O,21.6,A,14.89,19.04,20100116-20100213,21.7,A,14.75,20.65,20110704-20110711,493.008928009,18.1,19.04,measured,0.1,observed,-2.0,21.5,18.92,21.6,True,O,19.04,measured,21.400000000000002,18.926068514263903,0.5819,145.9719,104.6489,104.6489,142.508,102.2168,102.2168,
TAP_A01,3004,,,727149.66,9664495.34,O,9.9,A,9.77,13.36,20100116-20100213,10.5,A,6.57,12.33,20110704-20110711,493.008928009,11.0,13.36,measured,0.6,observed,-2.0,9.3,12.24,9.9,True,O,13.36,measured,8.700000000000001,12.157347720539583,0.5819,22.5283,16.4528,16.4528,15.9663,11.7624,11.7624,
TAP_A01,3005,,,727152.81,9664495.31,O,5.3,A,4.89,8.21,20100116-20100213,6.3,A,2.45,10.64,20110704-20110711,493.008928009,7.54,8.21,measured,1.0,observed,-2.0,4.3,6.14,5.3,True,O,8.21,measured,3.3,5.691095620814357,0.5819,4.1366,3.1662,3.1662,1.1473,0.9096,0.9096,
TAP_A01,3006,,,727153.11,9664496.21,O,49.4,A,26.01,42.61,20100116-20100213,48.2,A,22.94,31.92,20110704-20110711,493.008928009,28.75,42.61,measured,0.0,observed,-2.0,48.2,42.61,49.4,True,O,42.61,measured,49.4,42.61,0.5819,1610.7159,1057.9224,1057.9224,1610.7159,1057.9224,1057.9224,
TAP_A01,3007,,,727159.42,9664495.61,O,16.9,A,15.27,18.23,20100116-20100213,18.2,A,14.31,20.18,20110704-20110711,493.008928009,16.13,18.23,measured,1.3,observed,-2.0,15.6,16.43,16.9,True,O,18.23,measured,14.299999999999999,16.26150372554463,0.5819,86.6609,61.8239,61.8239,55.9461,40.3145,40.3145,
TAP_A01,3008,,,727168.09,9664495.33,O,5.5,A,3.13,7.4,20100116-20100213,5.8,A,0.29,7.6,20110704-20110711,493.008928009,7.09,7.4,measured,0.3,observed,-2.0,5.2,6.81,5.5,True,O,7.4,measured,4.9,6.774602136176755,0.5819,4.0181,3.132,3.132,2.9422,2.3127,2.3127,
TAP_A01,3009,,,727173.71,9664495.33,O,29.0,A,16.3,22.24,20100116-20100213,29.2,A,15.69,25.32,20110704-20110711,493.008928009,21.77,22.24,measured,0.2,observed,-2.0,28.8,22.06,29.0,True,O,22.24,measured,28.6,22.054816459065446,0.5819,301.9014,214.1962,214.1962,291.4383,206.908,206.908,
TAP_A01,3010,Carapa guianensis,Meliaceae,727186.53,9664496.32,O,30.5,A,15.66,22.3,20100116-20100213,31.7,A,18.56,24.88,20110704-20110711,493.008928009,22.86,22.3,measured,1.2,observed,-2.0,29.3,21.29,30.5,True,O,22.3,measured,28.1,21.231126969583297,0.53,334.01,237.4502,237.4502,271.3071,193.6137,193.6137,
TAP_A01,3011,,,727187.12,9664495.19,O,9.6,A,4.75,11.71,20100116-20100213,10.2,A,5.79,10.84,20110704-20110711,493.008928009,10.78,11.71,measured,0.6,observed,-2.0,9.0,10.69,9.6,True,O,11.71,measured,8.4,10.618954096409563,0.5819,18.6537,13.8893,13.8893,13.065,9.8164,9.8164,
TAP_A01,3012,,,727198.76,9664495.51,O,21.0,A,14.31,20.4,20100116-20100213,19.9,D,1.96,12.54,20110704-20110711,493.008928009,17.11,20.4,measured,0.0,observed,-2.0,19.9,20.4,21.0,True,O,20.4,measured,21.0,20.4,0.5819,147.7855,104.6587,104.6587,147.7855,104.6587,104.6587,
TAP_A01,3013,,,727220.45,9664495.42,O,9.2,A,4.44,12.23,20100116-20100213,9.5,A,4.48,11.33,20110704-20110711,493.008928009,10.23,12.23,measured,0.3,observed,-2.0,8.9,11.67,9.2,True,O,12.23,measured,8.6,11.64000814278668,0.5819,17.9103,13.2175,13.2175,14.9614,11.0919,11.0919,
TAP_A01,3014,,,727224.29,9664495.04,O,5.0,A,1.77,4.93,20100116-20100213,5.3,A,2.02,4.63,20110704-20110711,493.008928009,6.62,4.93,measured,0.3,observed,-2.0,4.7,4.5,5.0,True,O,4.93,measured,4.4,4.468434161374666,0.5819,2.2442,1.8567,1.8567,1.5887,1.3268,1.3268,
TAP_A01,3015,,,727227.45,9664495.21,O,6.5,A,4.53,6.36,20100116-20100213,6.8,A,3.18,7.0,20110704-20110711,493.008928009,7.99,6.36,measured,0.3,observed,-2.0,6.2,5.93,6.5,True,O,6.36,measured,5.9,5.91122148748062,0.5819,4.8022,3.8647,3.8647,3.701,2.9991,2.9991,
TAP_A01,3016,,,727234.45,9664494.9,O,8.0,A,4.71,10.69,20100116-20100213,8.4,A,4.88,7.7,20110704-20110711,493.008928009,9.35,10.69,measured,0.4,observed,-2.0,7.6,9.92,8.0,True,O,10.69,measured,7.2,9.884317697035124,0.5819,11.9557,8.9525,8.9525,9.0166,6.8013,6.8013,
TAP_A01,3017,Bertholletia excelsa,Lecythidaceae,727235.73,9664500.79,O,98.5,A,35.34,47.32,20100116-20100213,101.4,A,28.98,49.43,20110704-20110711,493.008928009,39.14,47.32,measured,2.9,observed,-2.0,95.6,46.41,98.5,True,O,47.32,measured,92.7,46.37164675426162,0.638,6862.6504,4582.6693,4582.6693,5976.7183,3992.2111,3992.2111,
TAP_A01,3018,,,727237.9,9664495.07,L,7.1,A,,,20100116-20100213,7.5,A,,,20110704-20110711,493.008928009,8.6,8.59,local_fit,0.4,observed,-2.0,6.7,7.89,7.1,True,L,8.6,feldpausch,6.3,7.861276026241126,0.5819,7.6593,5.902,5.902,5.5562,4.3177,4.3177,
TAP_A01,3019,,,727238.79,9664495.46,O,13.0,A,9.23,15.3,20100116-20100213,13.7,A,8.76,11.64,20110704-20110711,493.008928009,13.29,15.3,measured,0.7,observed,-2.0,12.3,14.18,13.0,True,O,15.3,measured,11.6,14.115378238968178,0.5819,43.766,31.6974,31.6974,32.3879,23.6278,23.6278,
TAP_A01,3020,,,727240.96,9664494.64,O,5.1,A,,1.31,20100116-20100213,5.1,A,,1.31,20110704-20110711,493.008928009,6.43,1.31,measured,0.0,observed,-2.0,5.1,1.31,5.1,True,O,1.31,measured,5.1,1.31,0.5819,0.6399,0.6533,0.6533,0.6399,0.6533,0.6533,
TAP_A01,3021,,,727245.0,9664494.76,O,5.4,A,3.17,9.46,20100116-20100213,5.7,A,3.04,7.62,20110704-20110711,493.008928009,6.99,9.46,measured,0.3,observed,-2.0,5.1,8.7,5.4,True,O,9.46,measured,4.800000000000001,8.644567500316235,0.5819,4.9268,3.6908,3.6908,3.5851,2.7089,2.7089,
TAP_A01,3022,,,727246.38,9664494.99,O,9.9,A,7.5,12.21,20100116-20100213,11.1,A,8.22,12.91,20110704-20110711,493.008928009,11.45,12.21,measured,1.2,observed,-2.0,8.7,10.24,9.9,True,O,12.21,measured,7.5,9.955638558428236,0.5819,20.6336,15.2849,15.2849,9.8332,7.4234,7.4234,
TAP_A01,3023,,,727271.72,9664494.67,O,5.6,D,,4.1,20100116-20100213,5.6,D,,4.1,20110704-20110711,493.008928009,6.9,4.1,measured,0.0,observed,-2.0,5.6,4.1,5.6,False,O,4.1,measured,5.6,4.1,0.5819,2.3388,2.3388,2.2698,2.3388,2.3388,2.2698,
TAP_A01,3024,,,727287.99,9664494.18,O,14.2,A,8.09,15.6,20100116-20100213,15.0,A,10.67,15.4,20110704-20110711,493.008928009,14.15,15.6,measured,0.8,observed,-2.0,13.4,14.42,14.2,True,O,15.6,measured,12.6,14.348896335767858,0.5819,52.9928,38.4248,38.4248,38.6758,28.2539,28.2539,
TAP_A01,3025,,,727289.76,9664496.01,O,20.5,A,13.03,17.4,20100116-20100213,21.1,A,10.08,14.26,20110704-20110711,493.008928009,17.78,17.4,measured,0.6,observed,-2.0,19.9,16.74,20.5,True,O,17.4,measured,19.3,16.725617633729502,0.5819,120.7203,87.5662,87.5662,103.2499,75.1451,75.1451,
TAP_A01,3026,,,727293.02,9664494.04,O,8.6,A,9.37,12.4,20100116-20100213,8.7,A,5.33,13.47,20110704-20110711,493.008928009,9.6,12.4,measured,0.1,observed,-2.0,8.5,12.18,8.6,True,O,12.4,measured,8.4,12.187009311570415,0.5819,15.9141,11.6809,11.6809,14.9448,10.9871,10.9871,
TAP_A01,3027,,,727298.34,9664493.99,O,8.9,A,5.49,9.21,20100116-20100213,9.6,A,5.48,7.9,20110704-20110711,493.008928009,10.31,9.21,measured,0.7,observed,-2.0,8.2,8.21,8.9,True,O,9.21,measured,7.5,8.115895843375005,0.5819,12.7288,9.8085,9.8085,8.0555,6.2809,6.2809,
TAP_A01,3028,,,727301.99,9664494.16,O,17.1,D,,2.0,20100116-20100213,17.1,D,,2.0,20110704-20110711,493.008928009,15.47,2.0,measured,0.0,observed,-2.0,17.1,2.0,17.1,False,O,2.0,measured,17.1,2.0,0.5819,10.2583,10.2583,9.9553,10.2583,10.2583,9.9553,
TAP_A01,3029,Astrocaryum gynacanthum,Arecaceae,727303.67,9664494.39,P,5.7,A,1.62,5.31,20100116-20100213,5.0,A,2.37,5.7,20110704-20110711,493.008928009,6.33,5.31,measured,0.0,observed,-2.0,5.0,5.31,5.7,True,P,5.31,measured,5.7,5.31,0.508,3.1162,,,3.1162,,,
TAP_A01,3030,Inga marginata,Fabaceae,727312.64,9664497.26,O,34.5,D,,7.5,20100116-20100213,34.5,D,,4.31,20110704-20110711,493.008928009,24.01,7.5,measured,0.0,observed,-2.0,34.5,7.5,34.5,False,O,7.5,measured,34.5,7.5,0.5518,146.6707,146.6707,135.1595,146.6707,146.6707,135.1595,
TAP_A01,3031,,,727322.6,9664494.73,O,13.9,A,7.2,13.11,20100116-20100213,14.3,A,8.18,12.27,20110704-20110711,493.008928009,13.69,13.11,measured,0.4,observed,-2.0,13.5,12.59,13.9,True,O,13.11,measured,13.1,12.578278945367794,0.5819,42.8949,31.9366,31.9366,36.6948,27.4216,27.4216,
TAP_A01,3032,,,727332.46,9664494.14,O,9.0,A,6.04,11.14,20100116-20100213,9.1,A,5.19,8.53,20110704-20110711,493.008928009,9.92,11.14,measured,0.1,observed,-2.0,8.9,10.96,9.0,True,O,11.14,measured,8.8,10.957970796162602,0.5819,15.664,11.7192,11.7192,14.7526,11.0541,11.0541,
TAP_A01,3033,Theobroma glaucum,Malvaceae,727337.68,9664494.29,O,10.3,A,9.1,12.28,20100116-20100213,10.3,A,10.67,12.62,20110704-20110711,493.008928009,10.85,12.28,measured,0.0,observed,-2.0,10.3,12.28,10.3,True,O,12.28,measured,10.3,12.28,0.5297,22.417,16.6226,16.6226,22.417,16.6226,16.6226,
TAP_A01,3034,,,727337.88,9664494.29,O,10.1,A,9.0,11.14,20100116-20100213,10.2,A,9.54,11.93,20110704-20110711,493.008928009,10.78,11.14,measured,0.1,observed,-2.0,10.0,10.97,10.1,True,O,11.14,measured,9.9,10.979745585005112,0.5819,19.6181,14.7589,14.7589,18.602,14.0131,14.0131,
TAP_A01,3035,,,727356.22,9664494.03,O,8.5,A,7.12,12.7,20100116-20100213,11.8,A,0.82,1.51,20110704-20110711,493.008928009,11.96,12.7,measured,3.3,observed,-2.0,5.2,6.92,8.5,True,O,12.7,measured,1.9000000000000004,3.992189034768883,0.5819,15.922,11.6361,11.6361,0.2763,0.2256,0.2256,
