site,n_test,rmse,r2,rrmse_pct
ANA_A01_2015_2018_inventory_plots,28,132.54,-0.7048,44.54
AND_A01_2013_2018_inventory_plots,18,46.14,0.4466,40.6
CAU_A01_2014_2018_inventory,21,102.06,-14.5416,70.49
DUC_A01_2009_2011_inventory_plots,5,49.43,-3.0162,32.73
FST_A01_2013_inventory_plots,4,38.88,-0.003,16.94
HUM_A01_2014_inventory_plots,10,55.09,0.0344,41.27
JAM_A02_2011_inventory_plots,1,106.07,,82.42
JAM_A02_2013_inventory_plots,1,40.33,,29.4
JAM_A03_2013_inventory_plots,1,21.21,,13.94
PAR_A01_2013_2018_inventory_plots,7,40.86,-0.6976,61.91
SAN_A01_2014_2016_inventory_plots,5,86.54,-0.0602,71.14
SAN_A01b_2016_2018_inventory_plots,6,55.98,0.4533,30.11
SAN_A02_2014_inventory_plots,6,34.81,0.0054,34.43
TAC_A01_2014_inventory_plots,10,108.5,-0.1602,81.61
TAC_A01_2015_inventory_plots,12,80.15,-0.3329,46.04
TAN_A01_2012_inventory_plots,1,40.29,,98.86
TAP_A01_2015_2018_inventory_plots,7,83.39,0.1579,30.65
