genus,wood_density
Abarema,0.56675
Abies,0.3662083333333333
Abuta,0.45
Acacia,0.7746683673469388
Acalypha,0.3
Acanthosyris,0.6303333333333333
Acca,0.75
Acer,0.5379166666666666
Aceratium,0.5435
Acioa,0.84
Acmanthera,0.69
Acmena,0.5771999999999999
Acmenosperma,0.758
Acokanthera,0.784
Acosmium,0.7628333333333334
Acradenia,0.7233333333333333
Acrocarpus,0.5915
Acronychia,0.5419047619047619
Actinodaphne,0.51
Actinostemon,0.907
Adansonia,0.276
Adelia,0.7065
Adenanthera,0.7063846153846154
Adenostoma,0.75
Adina,0.7464444444444445
Adinandra,0.5176363636363637
Adinauclea,0.65
Adiscanthus,0.82
Aegiceras,0.595
Aegiphila,0.6566666666666666
Aegle,0.8255
Aesculus,0.4486666666666667
Aetoxylon,0.74
Afrocrania,0.663
Afzelia,0.6927111111111112
Agathis,0.41394444444444445
Aglaia,0.6578545454545455
Agonandra,0.8220000000000001
Agrostistachys,0.705
Aidia,0.7526666666666667
Ailanthus,0.4254
Aiouea,0.37
Aistopetalum,0.76
Akania,0.573
Alangium,0.6171
Albizia,0.5446470588235295
Alchornea,0.41278947368421054
Alchorneopsis,0.38966666666666666
Aldina,0.7386
Alectryon,0.958
Aleurites,0.37438461538461537
Alexa,0.5614285714285715
Alibertia,0.7325
Allanblackia,0.6463636363636364
Allantoma,0.5449999999999999
Allocasuarina,0.8050555555555555
Allophylus,0.5133076923076924
Alloxylon,0.4412
Alluaudia,0.3828
Alniphyllum,0.3826666666666667
Alnus,0.4048333333333333
Alphitonia,0.5287272727272727
Alphonsea,0.738
Alseis,0.643
Alseodaphne,0.573076923076923
Alstonia,0.43978181818181816
Altingia,0.6673333333333333
Alvaradoa,0.58
Amaioua,0.625
Amanoa,0.8318
Ambelania,0.521
Amblygonocarpus,0.9164999999999999
Amburana,0.524
Amelanchier,0.66
Amentotaxus,0.65425
Amesiodendron,0.8345
Amherstia,0.6563333333333333
Amomyrtella,0.612
Ampelocera,0.705
Amphimas,0.6374545454545455
Amphipterygium,0.41
Amphirrhox,0.71
Amphitecna,0.46
Amyris,0.9750000000000001
Amyxa,0.63
Anacardium,0.4492333333333333
Anadenanthera,0.8713000000000001
Anaxagorea,0.53
Andira,0.7203076923076923
Androstachys,0.5846666666666667
Angophora,0.7394000000000001
Aniba,0.6710769230769231
