species,wood_density
Abarema jupunba,0.5851428571428572
Abarema macradenia,0.438
Abies alba,0.353
Abies amabilis,0.4
Abies arizonica,0.289
Abies balsamea,0.33
Abies concolor,0.37
Abies delavayi,0.4
Abies ernestii,0.36
Abies fabri,0.373
Abies fargesii,0.34
Abies faxoniana,0.385
Abies forrestii,0.35
Abies georgei,0.433
Abies grandis,0.35
Abies guatemalensis,0.43
Abies holophylla,0.336
Abies lasiocarpa,0.31
Abies magnifica,0.36
Abies nephrolepis,0.3235
Abies pindrow,0.38
Abies pinsapo,0.41
Abies procera,0.37
Abies religiosa,0.38
Abuta rufescens,0.45
Acacia acradenia,0.904
Acacia acuminata,0.9515
Acacia adsurgens,0.887
Acacia albicorticata,0.49
Acacia alleniana,0.56
Acacia ampliceps,0.568
Acacia amythethophylla,1.007
Acacia aneura,0.9798888888888888
Acacia angustissima,0.85
Acacia arabica,0.86
Acacia aroma,0.808
Acacia atkinsiana,0.89
Acacia aulacocarpa,0.6549999999999999
Acacia auriculiformis,0.68
Acacia bakeri,0.771
Acacia bidwillii,0.67
Acacia bivenosa,0.635
Acacia brachystachya,0.99
Acacia cambagei,1.083
Acacia catechu,0.801
Acacia caven,0.7825
Acacia chisholmii,0.7935
Acacia chundra,0.98
Acacia citrinoviridis,0.845
Acacia cochliacantha,0.94
Acacia colei,0.688
Acacia collinsii,0.8
Acacia concurrens,0.758
Acacia confusa,0.7322500000000001
Acacia coriacea,0.938
Acacia craspedocarpa,0.887
Acacia crassicarpa,0.5965
Acacia dealbata,0.58675
Acacia decurrens,0.55575
Acacia dictyophleba,0.762
Acacia difficilis,0.777
Acacia doratoxylon,0.788
Acacia elata,0.51
Acacia erioloba,1.059
Acacia eriopoda,0.9
Acacia excelsa,0.9375
Acacia fasciculifera,0.964
Acacia ferruginea,0.88
Acacia furcatispina,0.869
Acacia galpinii,0.659
Acacia georginae,0.775
Acacia gerrardii,0.775
Acacia glaucocarpa,0.78
Acacia goetzei,0.883
Acacia grasbyi,0.9820000000000001
Acacia harpophylla,0.89625
Acacia hemignosta,0.646
Acacia hemsleyi,0.6
Acacia hindsii,0.78
Acacia holosericea,0.749
Acacia implexa,0.639
Acacia irrorata,0.551
Acacia jennerae,0.742
Acacia karroo,0.689
Acacia laccata,0.723
Acacia lasiocalyx,0.684
Acacia leucophloea,0.45
Acacia longifolia,0.51
Acacia maconochieana,0.8005
Acacia macracantha,0.73
Acacia maidenii,0.62
Acacia mangium,0.507
Acacia mayana,0.73
Acacia mearnsii,0.6596666666666667
Acacia melanoxylon,0.530625
Acacia mellifera,0.947
Acacia modesta,0.835
Acacia murrayana,0.519
Acacia nilotica,0.7233333333333333
Acacia omalophylla,1.063
Acacia oraria,0.92
Acacia oshanesii,0.771
Acacia oswaldii,0.976
